"","Micrarchaeia","Methanobacteria","Methanococci","Methanomicrobia","Woesearchaeia","Nitrososphaeria","uncultured","Acidobacteriia","Aminicenantia","Blastocatellia.Subgroup.4..","Blastocatellia.Subgroup.4.","Holophagae","Subgroup17.","Subgroup17","Subgroup21.","Subgroup22.","Subgroup6.","Subgroup6","Thermoanaerobaculia","c5LKS83","Acidimicrobiia","Actinobacteria","Coriobacteriia","Thermoleophilia","Armatimonadia","Chthonomonadetes","Fimbriimonadia","metagenome","unculturedbacterium.","unculturedorganism.","Bacteroidia","Ignavibacteria","OC31","Rhodothermia","Calditrichia","Chlamydiae","LD1PA32.","LD1PA32","Anaerolineae","Chloroflexia","JG30KF.CM66.","JG30KF.CM66","KD496.","KD496","OLB14","TK10","Cloacimonadia","Melainabacteria","Oxyphotobacteria","Sericytochromatia","Dadabacteriia","Deinococci","Babeliae","Elusimicrobia","Endomicrobia","LineageIIa.","LineageIIa","LineageIIb.","LineageIIc.","Campylobacteria","Desulfurellia","Chitinivibrionia","Fibrobacteria","Bacilli","Clostridia","Erysipelotrichia","Negativicutes","Fusobacteriia","BD211.terrestrial.group.","Gemmatimonadetes","MD2902B12.","Hydrogenedentia","Kiritimatiellae","Latescibacteria","unculturedLatescibacteria.bacterium.","unculturedPelobacter.sp..","unculturedsoil.bacterium.PBS.III.30.","unculturedsoil.bacterium.","Oligosphaeria","Nitrospinia","Nitrospira","Omnitrophia","OmnitrophicaWOR_2.bacterium.RIFOXYA2_FULL_38_17.","mixedculture.isolate.koll11.","uncultureddeep.sea.bacterium.","unculturedplanctomycete.","ABY1","Gracilibacteria","Microgenomatia","Parcubacteria","Saccharimonadia","WWE3","028H05P.BN.P5.","028H05P.BN.P5","BD711.","BD711","Brocadiae","OM190","Phycisphaerae","Pla3lineage.","Pla4lineage.","Pla4lineage","Planctomycetacia","vadinHA49","Alphaproteobacteria","Deltaproteobacteria","Gammaproteobacteria","Brachyspirae","Leptospirae","MVP15","Spirochaetia","V2072189E03.","Synergistia","Mollicutes","Thermotogae","Verrucomicrobiae","hydrothermalvent.metagenome.","unculturedFirmicutes.bacterium."
"2014/2/18",0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,5,40,0,2,0,0,0,0,9,0,245,2,0,0,167,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,14,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,28,0,84,14,355,0,0,0,0,0,0,0,0,0,0,0
"2014/3/4",0,2,0,0,39,173,174,13,0,7,0,142,0,0,0,0,0,8,22,0,144,256,2,90,0,0,17,3,56,9,5582,551,84,14,582,36,3,0,400,97,11,3,0,0,79,2,0,111,8,8,47,2,27,0,0,0,0,0,0,136,0,24,6,56,308,22,9,16,11,22,0,22,64,101,7,0,2,0,0,108,493,37,0,0,0,2,12,85,0,16,7,2,4,0,47,6,0,264,79,9,6,0,612,0,2553,1468,8953,0,198,0,5,0,9,0,0,185,6,0
"2014/3/18",0,0,0,0,0,0,0,4,0,14,0,0,0,0,0,0,0,23,0,0,0,6,0,4,0,0,0,0,0,0,377,2,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,18,0,2,0,0,0,0,0,0,0,0,3,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,19,37,118,0,0,0,0,0,0,0,0,11,0,0
"2014/4/1",0,0,0,0,86,555,169,21,0,14,0,203,0,0,0,0,0,53,81,0,196,488,3,286,0,0,22,7,141,22,8087,722,201,12,1118,58,10,0,820,226,32,10,4,0,190,0,0,152,7,7,85,6,64,0,0,0,0,0,0,172,0,60,10,66,323,10,13,15,31,46,0,34,46,209,35,0,13,0,0,237,762,70,2,0,0,7,3,59,2,20,9,4,11,2,69,12,0,654,174,45,13,21,902,0,4529,2463,14629,0,368,0,19,0,4,0,0,348,7,0
"2014/4/15",0,2,2,0,217,6,225,34,0,4,0,230,0,0,0,0,0,20,79,0,259,497,10,261,0,0,6,22,122,16,7895,838,4,30,1005,47,9,0,1680,301,32,2,2,0,290,0,0,282,8,25,20,5,611,0,0,0,0,0,0,61,0,61,2,56,495,25,13,6,16,21,2,24,79,321,0,0,6,0,4,42,1412,40,0,2,3,2,5,44,4,2,0,0,7,3,63,6,0,264,141,9,61,0,1455,0,4626,2342,18331,0,356,2,47,0,6,2,0,381,58,0
"2014/4/29",0,0,0,2,335,8,76,13,0,2,0,131,0,0,3,0,0,4,54,0,139,230,3,111,0,0,5,12,66,24,4457,242,5,16,565,27,70,0,1083,83,15,0,0,0,90,0,2,224,5,34,4,4,67,2,0,0,0,0,0,59,0,47,0,34,266,18,4,12,6,9,2,14,38,38,0,0,11,0,0,7,676,46,0,0,2,2,0,72,8,86,2,2,4,0,39,6,0,103,77,40,15,0,563,0,2967,1320,14877,0,190,0,51,0,15,0,4,210,19,0
"2014/5/16",0,2,0,3,461,14,171,18,0,2,0,176,0,0,2,0,2,11,76,0,245,405,10,175,0,0,0,27,97,25,7987,334,0,16,876,27,87,0,1991,155,12,0,3,0,120,0,6,316,7,14,10,5,62,8,0,0,0,0,0,164,0,85,0,34,441,14,11,27,3,7,0,21,66,44,0,0,15,0,0,18,1208,74,0,0,0,0,5,138,2,83,13,9,0,2,60,5,0,183,154,49,19,0,1305,0,4823,2374,23161,0,183,0,89,4,64,7,23,327,36,0
"2014/6/3",0,3,0,0,0,0,3,6,0,38,0,2,0,0,0,0,0,40,0,0,0,4,0,5,0,0,0,0,0,0,689,0,5,0,0,0,0,0,6,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,7,0,0,17,0,23,0,3,0,0,0,0,0,0,0,0,2,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,34,66,194,0,3,0,0,0,0,0,0,24,0,0
"2014/6/18",0,0,0,0,152,9,133,14,0,3,0,97,0,0,0,0,0,13,47,0,113,211,3,117,0,0,0,8,76,16,3905,363,5,16,551,38,12,0,729,105,8,0,3,0,130,0,0,154,6,27,11,2,160,5,0,0,0,0,0,45,0,28,2,26,231,17,17,6,4,15,0,4,67,141,0,0,2,0,0,15,640,29,0,0,0,2,2,39,11,2,0,0,0,2,13,6,0,93,87,27,2,0,802,0,2054,1001,9145,0,120,0,51,0,13,0,8,218,18,0
"2014/6/30",0,3,0,0,83,454,275,24,0,17,0,228,0,0,0,0,0,18,52,0,244,531,3,190,0,0,39,4,122,30,11339,880,167,25,1224,52,2,2,795,184,31,2,0,0,150,0,0,167,5,18,68,17,31,0,0,0,0,0,0,217,0,55,19,70,366,10,10,19,28,66,0,15,143,250,24,0,18,0,0,193,826,54,0,0,0,0,13,98,5,16,7,7,4,3,71,15,0,580,162,39,11,12,1331,0,5646,3422,20865,0,440,0,20,0,12,0,4,429,14,0
"2014/7/16",0,0,0,0,0,0,0,5,0,12,0,2,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,0,0,0,498,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,9,0,0,11,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,17,0,30,30,183,0,4,0,0,0,0,0,0,3,0,0
"2014/7/28",0,4,0,0,60,50,238,16,0,4,0,67,0,0,0,0,0,40,25,0,554,1406,9,259,0,0,12,3,74,4,11494,501,34,13,1407,26,2,0,715,110,69,0,0,0,98,0,0,92,3,0,21,15,12,2,0,0,0,0,0,231,0,35,17,26,243,8,9,14,11,42,0,13,141,136,25,0,8,0,0,189,747,60,0,0,0,0,34,112,3,14,18,2,19,0,45,9,0,619,157,20,11,3,761,0,5821,3093,18046,0,150,0,8,0,11,0,2,472,21,0
"2014/8/18",0,54,0,0,123,0,125,141,3,640,2,349,74,12,0,10,2,157,71,6,79,232,0,56,0,0,58,56,14,5,6824,308,33,7,0,69,0,0,1195,94,10,0,7,0,42,2,3,251,0,4,2,4,131,180,3,13,5,70,0,71,2,0,30,78,546,15,10,43,0,164,0,27,12,0,0,5,0,9,0,0,741,40,0,0,0,0,6,44,8,72,36,5,5,0,0,0,0,168,93,0,13,0,822,3,2093,2655,7217,0,651,0,53,25,2,12,0,827,0,3
"2014/9/5",0,0,0,0,0,0,0,5,0,12,0,2,0,0,0,0,0,9,0,0,0,2,0,3,0,0,0,0,0,0,533,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,34,18,178,0,2,0,0,3,0,0,0,12,0,0
