"","Acidobacteriia","Blastocatellia.Subgroup.4..","Blastocatellia.Subgroup.4.","Acidimicrobiia","Actinobacteria","Coriobacteriia","uncultured","Fimbriimonadia","Bacteroidia","Chlorobia","Ignavibacteria","Caldisericia","Anaerolineae","Chloroflexia","TK10","Cloacimonadia","Melainabacteria","Oxyphotobacteria","Babeliales","Campylobacteria","Chitinivibrionia","Fibrobacteria","Bacilli","Clostridia","Erysipelotrichia","Fusobacteriia","Gemmatimonadetes","ABY1","Gracilibacteria","Microgenomatia","Parcubacteria","Saccharimonadia","Phycisphaerae","Planctomycetacia","Alphaproteobacteria","Gammaproteobacteria","Leptospirae","Spirochaetia","Synergistia","Thermotogae","Verrucomicrobiae"
"2008-10-28",15,0,113,0,8391,0,15230,0,1838,0,0,0,11,76,5,0,19,7,14,45,0,3,112,348,15,0,27,0,0,0,0,8,2,429,3809,3578,5,0,0,0,5
"2009-02-04",8,0,0,0,39868,3,23858,0,1993,0,0,0,12,60,0,0,3,0,0,46,26,0,257,173,10,0,14,0,3,0,0,624,0,469,8856,3844,1,0,0,0,3
"2009-05-06",0,0,0,0,2264,4,7221,0,407,0,8,0,1,4,0,0,0,0,0,12,3,0,28,193,7,0,2,0,2,0,0,39,0,111,2815,1334,0,0,0,0,32
"2009-08-19",126,0,136,0,8583,5,37111,3,3528,0,54,0,32,164,7,0,84,21,9,78,0,6,118,751,15,0,71,7,39,2,0,266,46,1697,7426,11509,16,2,0,0,14
"2009-10-28",2,0,0,0,11451,21,63435,4,5454,0,20,0,40,4,0,0,3,4,140,91,17,0,459,1489,92,0,24,2,10,68,0,253,9,1660,16233,8822,0,0,0,0,20
"2010-02-04",16,0,0,0,17728,5,20672,0,2503,0,25,0,2,19,0,0,15,0,0,71,10,0,116,394,45,0,21,0,10,0,0,190,0,265,5620,5235,3,2,0,0,8
"2010-05-06",0,0,0,0,2806,2,11058,0,1964,0,12,0,1,8,0,0,2,3,0,76,3,0,131,332,25,0,3,0,2,0,0,9,0,169,5009,4505,0,0,2,0,0
"2010-08-19",92,0,0,0,5134,2,52633,3,3164,0,267,0,9,3,0,0,43,16,0,224,15,0,472,619,31,0,118,0,57,8,11,146,15,726,8790,23994,51,2,0,0,27
"2010-10-28",21,0,0,0,25484,16,24930,0,2369,0,16,0,12,29,0,0,5,0,0,71,4,0,206,356,23,0,5,0,0,0,0,258,0,367,8143,6228,2,0,0,2,10
"2011-02-04",19,0,0,0,6327,9,24219,0,3040,0,35,0,5,0,0,0,15,4,4,143,4,0,230,535,35,0,18,0,0,0,0,14,2,330,6815,7393,8,0,0,2,0
"2011-05-06",0,0,0,0,4699,4,8514,0,662,0,0,0,0,0,0,0,3,0,0,56,0,0,161,221,17,0,0,0,0,0,0,44,0,100,3477,2114,0,0,0,0,6
"2011-08-19",9,0,0,0,19140,12,37100,2,2068,0,37,5,0,19,0,0,34,2,0,10,3,0,61,653,34,0,12,0,0,0,0,280,6,455,11981,6313,0,0,0,0,10
"2011-10-28",0,0,0,0,3470,3,8315,0,693,0,2,0,0,0,0,0,3,0,0,35,0,0,66,315,9,0,0,0,0,0,0,127,0,109,3020,2508,16,0,0,0,0
"2012-02-04",0,0,0,0,966,0,2586,0,162,0,11,0,8,0,0,0,2,0,0,47,5,0,4,48,2,0,0,0,6,0,0,0,0,23,530,266,0,0,0,0,0
"2012-05-06",2,0,0,0,1008,0,3143,0,217,0,0,0,0,2,0,0,6,0,0,8,0,0,25,29,0,0,5,0,4,0,0,2,0,6,1296,480,4,0,0,0,0
"2012-08-19",16,0,0,0,25711,0,75548,5,10187,0,65,0,53,466,0,0,87,43,6,192,3,0,1123,562,26,0,121,0,8,0,0,853,52,1710,15885,12079,2,2,0,0,19
"2012-10-28",19,0,0,0,22446,2,27237,0,4111,0,31,0,5,28,0,0,34,0,0,116,21,0,162,478,34,0,14,0,0,0,0,803,8,383,8217,5980,11,0,0,0,21
"2013-02-04",2,0,0,0,1683,2,10648,0,831,0,19,0,3,2,0,0,2,0,0,11,4,0,40,324,7,0,13,0,5,0,0,7,0,187,3234,1982,0,0,0,0,0
"2013-05-06",3,0,0,0,20834,13,23497,0,1193,0,0,0,3,4,0,0,0,14,0,143,0,0,123,905,20,0,0,0,0,0,0,132,0,560,13187,2330,0,0,3,0,4
"2013-08-19",0,0,0,0,1359,0,2527,0,385,0,3,0,3,0,0,0,0,0,0,16,0,0,25,37,4,0,0,0,0,0,0,4,0,20,999,705,0,0,0,0,0
"2013-10-28",3,0,0,0,6895,2,20079,0,1642,0,64,0,16,55,0,0,3,2,2,27,23,0,93,512,13,0,16,0,11,0,0,612,2,531,4206,4236,0,0,0,0,2
