"","Acidobacteriia","Blastocatellia.Subgroup.4..","Blastocatellia.Subgroup.4.","Acidimicrobiia","Actinobacteria","Coriobacteriia","uncultured","Fimbriimonadia","Bacteroidia","Chlorobia","Ignavibacteria","Caldisericia","Anaerolineae","Chloroflexia","TK10","Cloacimonadia","Melainabacteria","Oxyphotobacteria","Babeliales","Campylobacteria","Chitinivibrionia","Fibrobacteria","Bacilli","Clostridia","Erysipelotrichia","Fusobacteriia","Gemmatimonadetes","ABY1","Gracilibacteria","Microgenomatia","Parcubacteria","Saccharimonadia","Phycisphaerae","Planctomycetacia","Alphaproteobacteria","Gammaproteobacteria","Leptospirae","Spirochaetia","Synergistia","Thermotogae","Verrucomicrobiae"
"2006-02-04",22,0,2,0,3421,7,21272,0,2736,0,154,0,2,0,0,0,39,2,0,210,16,0,147,499,47,0,15,0,18,2,5,251,7,304,5380,16388,24,0,0,0,9
"2006-05-06",12,0,0,0,12090,21,78050,0,8329,0,63,0,95,94,2,0,0,21,0,34,41,0,480,1737,95,0,60,16,77,41,4,206,15,1181,15447,16604,4,4,2,0,18
"2006-08-19",3,0,0,0,3183,3,4944,0,555,0,0,0,0,0,0,0,0,11,0,8,0,0,41,173,10,0,0,0,0,0,0,17,0,121,2286,767,3,0,0,0,0
"2006-10-28",36,0,0,0,13591,1,34439,5,2727,0,5,0,0,55,0,0,32,8,0,92,12,0,225,439,7,0,25,0,27,2,0,480,33,901,10210,10955,3,0,0,0,7
"2007-02-04",12,0,0,0,7942,3,30673,0,2344,0,35,0,4,112,0,0,10,20,9,15,11,0,172,304,7,0,9,0,0,0,0,85,2,912,10276,4834,4,0,0,0,2
"2007-05-06",0,0,0,0,2708,4,9124,0,1185,0,9,0,3,14,0,0,4,9,0,13,4,0,50,240,18,0,18,0,4,0,0,19,0,326,4421,3266,0,0,0,0,0
"2007-08-19",2,0,0,0,3142,0,10870,0,907,0,34,0,2,0,0,0,2,0,0,95,6,0,79,105,8,0,4,0,25,0,0,82,0,44,3048,1219,40,0,0,0,2
"2007-10-28",0,0,0,0,1343,3,4862,0,262,0,3,0,2,0,0,0,0,0,0,2,0,0,28,106,6,0,0,0,0,0,0,29,0,45,2175,812,0,0,0,0,0
"2008-02-04",0,0,0,0,24844,2,25081,0,2347,0,3,0,9,6,0,0,27,20,0,57,12,0,355,327,22,0,14,0,2,0,0,111,14,467,10390,6787,0,0,0,0,3
"2008-05-06",0,0,0,0,1335,0,3015,0,182,0,0,0,0,0,0,0,0,0,0,8,0,0,45,63,8,0,7,0,0,3,0,19,0,27,953,335,0,0,0,0,0
"2008-08-19",3,0,0,0,2715,0,5929,0,772,0,11,0,0,0,0,0,0,0,0,39,0,0,96,116,12,0,0,0,0,0,0,0,0,60,1981,902,9,0,0,0,5
