"","Acidobacteriia","Blastocatellia.Subgroup.4..","Blastocatellia.Subgroup.4.","Acidimicrobiia","Actinobacteria","Coriobacteriia","uncultured","Fimbriimonadia","Bacteroidia","Chlorobia","Ignavibacteria","Caldisericia","Anaerolineae","Chloroflexia","TK10","Cloacimonadia","Melainabacteria","Oxyphotobacteria","Babeliales","Campylobacteria","Chitinivibrionia","Fibrobacteria","Bacilli","Clostridia","Erysipelotrichia","Fusobacteriia","Gemmatimonadetes","ABY1","Gracilibacteria","Microgenomatia","Parcubacteria","Saccharimonadia","Phycisphaerae","Planctomycetacia","Alphaproteobacteria","Gammaproteobacteria","Leptospirae","Spirochaetia","Synergistia","Thermotogae","Verrucomicrobiae"
"2006-02-04",0,0,3,0,15014,14,17849,0,406,0,0,0,3,0,0,0,0,2,0,3,0,0,218,469,32,0,0,0,0,0,0,32,3,301,17356,2743,0,0,0,0,72
"2006-05-06",0,0,0,0,27147,5,30941,0,2717,0,0,0,33,3,0,0,41,78,0,21,0,0,404,416,35,0,11,0,0,0,0,709,10,338,12020,6397,0,0,0,0,0
"2006-08-19",13,20,180,0,12168,5,46939,0,6143,0,109,0,30,2,9,0,43,96,0,10,1,0,54,782,21,0,71,0,0,0,3,569,0,760,107412,7183,2,0,0,0,0
"2006-10-28",41,0,0,0,7953,10,27409,0,1157,0,540,0,31,8,0,0,2,8,2,28,6,0,283,720,12,0,14,0,18,0,0,294,3,722,9660,3852,0,0,0,0,9
"2007-02-04",0,0,0,0,20135,36,28199,0,872,0,5,0,15,56,0,0,0,29,0,10,5,0,85,923,20,0,3,0,3,5,0,362,2,605,9292,1963,0,0,0,0,0
"2007-08-19",2,0,0,0,8865,10,29386,0,2905,0,3,0,5,0,0,0,24,0,0,243,2,0,297,576,18,0,25,0,2,0,0,19,2,257,9449,6346,2,0,0,2,0
"2007-10-28",0,2,0,0,14530,18,24217,0,1054,0,0,0,6,21,0,0,2,0,0,75,0,0,80,912,18,0,5,0,0,0,0,47,0,604,13522,2056,0,0,0,0,49
"2008-02-04",8,0,0,0,8970,4,20943,0,1276,0,8,0,5,73,0,0,7,0,5,14,24,0,65,450,12,0,11,7,6,7,0,415,6,540,4715,5041,5,0,0,0,0
"2008-05-06",4,0,0,0,2027,0,8926,0,735,0,12,0,0,0,0,0,7,0,0,104,4,0,129,111,13,0,0,2,19,0,0,98,0,85,1875,877,46,0,0,0,0
"2008-08-19",0,0,0,0,5456,7,10015,0,1281,0,4,0,0,0,0,0,31,6,0,26,0,0,76,226,23,0,5,0,0,0,0,9,0,222,11269,4066,0,0,0,0,0
"2008-10-28",7,0,0,0,2729,3,9409,0,837,0,17,0,0,0,0,0,2,0,0,61,14,0,135,176,18,0,3,0,0,0,0,25,0,80,2162,2243,3,0,0,0,7
"2009-02-04",20,0,6,0,8733,7,33280,0,1746,0,15,0,31,2,0,0,16,10,4,25,24,0,75,1107,27,0,11,3,19,0,0,285,11,1068,8801,4680,6,0,0,0,2
"2009-05-06",0,0,0,0,2291,1,4635,0,339,0,0,0,0,2,0,0,6,0,0,11,3,0,10,125,2,0,4,0,9,0,0,2,0,88,1231,784,0,0,0,0,0
"2009-10-28",9,0,0,0,8349,11,31958,2,2931,0,153,0,18,0,0,0,25,3,0,150,18,0,173,538,34,0,8,0,14,0,4,82,2,461,10511,8032,2,0,2,0,2
"2010-02-04",4,0,63,0,1984,3,4929,0,568,0,0,0,5,0,0,0,12,0,0,5,0,0,47,168,9,0,0,0,0,0,0,11,0,233,2481,1147,0,0,0,0,7
"2010-05-06",0,0,0,0,935,0,2438,0,167,0,11,0,7,0,0,0,3,2,0,38,5,0,33,34,0,0,0,0,3,0,0,8,0,4,453,335,18,0,0,0,0
"2010-08-19",29,2,0,0,11922,4,28347,4,2358,0,29,0,2,37,0,0,27,67,3,8,33,0,47,808,18,0,32,0,31,0,0,1974,4,512,8599,9407,0,0,0,0,0
"2010-10-28",2,0,0,0,2009,0,3205,0,203,0,2,0,2,3,0,0,0,2,0,0,0,0,10,76,2,0,4,0,0,0,0,5,0,55,879,568,0,0,0,0,0
"2011-02-04",5,0,0,0,1941,1,9838,0,1205,0,17,0,2,0,2,0,8,0,0,48,3,0,107,268,11,0,8,0,8,0,2,19,2,252,2105,2519,10,0,0,0,0
"2011-08-19",0,0,0,0,3166,7,7916,0,588,0,2,0,7,0,0,0,0,0,2,13,8,0,130,270,15,0,0,0,0,0,0,176,0,143,3032,2298,0,0,0,0,0
"2011-10-28",0,0,29,0,16317,15,21359,0,1483,0,0,0,33,4,0,0,0,7,0,53,0,0,129,1649,44,0,2,0,0,0,0,145,0,1532,13817,3320,0,0,0,0,6
