"","Methanobacteria","Methanococci","Methanomicrobia","Thermococci","Woesearchaeia","Nitrososphaeria","Acidobacteriia","Aminicenantia","Blastocatellia.Subgroup.4..","Holophagae","Subgroup17.","Subgroup17","Subgroup21.","Subgroup22.","Subgroup6.","Subgroup6","Thermoanaerobaculia","Acidimicrobiia","Actinobacteria","Coriobacteriia","Thermoleophilia","Chthonomonadetes","Fimbriimonadia","unculturedbacterium.","uncultured","Caldatribacteriia","Omnitrophicabacterium.OLB16.","metagenome","unculturedorganism.","unculturedsoil.bacterium.PBS.III.18.","Bacteroidia","Ignavibacteria","OC31","Rhodothermia","Caldisericia","Calditrichia","Chlamydiae","LD1PA32.","LD1PA32","Anaerolineae","Chloroflexia","Dehalococcoidia","GittGS.136.","JG30KF.CM66.","JG30KF.CM66","KD496.","KD496","Ktedonobacteria","OLB14","TK10","Cloacimonadia","Melainabacteria","Oxyphotobacteria","Sericytochromatia","Dadabacteriia","Deinococci","Babeliae","Elusimicrobia","LineageIIa.","LineageIIb.","LineageIIc.","Campylobacteria","Chitinivibrionia","Fibrobacteria","BRHc20a.","Bacilli","Clostridia","Erysipelotrichia","Negativicutes","Fusobacteriia","BD211.terrestrial.group.","Gemmatimonadetes","MD2902B12.","Hydrogenedentia","Kiritimatiellae","Latescibacteria","unculturedAcidobacterium.sp..","unculturedBacteroidetes.bacterium.","unculturedFibrobacteres.bacterium.","unculturedLatescibacteria.bacterium.","unculturedPelobacter.sp..","unculturedprokaryote.","unculturedproteobacterium.","unculturedsoil.bacterium.PBS.III.30.","unculturedsoil.bacterium.","Lentisphaeria","Oligosphaeria","Moduliflexia","Nitrospinia","Nitrospira","Omnitrophia","OmnitrophicaWOR_2.bacterium.RIFOXYA2_FULL_38_17.","mixedculture.isolate.koll11.","uncultureddeep.sea.bacterium.","unculturedplanctomycete.","ABY1","Berkelbacteria","Gracilibacteria","Microgenomatia","Parcubacteria","Saccharimonadia","WWE3","028H05P.BN.P5.","028H05P.BN.P5","BD711.","BD711","Brocadiae","OM190","Phycisphaerae","Pla3lineage.","Pla3lineage","Pla4lineage.","Pla4lineage","Planctomycetacia","vadinHA49","Alphaproteobacteria","Deltaproteobacteria","Gammaproteobacteria","NC10","Brachyspirae","Leptospirae","MVP15.","MVP15","Spirochaetia","V2072189E03.","Synergistia","Mollicutes","Thermotogae","Verrucomicrobiae","hydrothermalvent.metagenome.","bacteriumenrichment.culture.clone.Anammox_55."
"2013/12/5",0,0,0,0,58,198,13,0,8,184,0,0,0,0,0,15,26,285,522,11,158,0,26,96,279,0,0,8,14,0,9868,573,121,12,0,1050,27,0,0,957,132,0,0,20,3,0,0,0,49,0,0,171,3,7,52,14,10,0,0,0,0,232,61,49,0,54,230,8,6,24,26,59,0,14,82,179,0,0,0,26,0,0,0,13,0,0,0,0,126,468,57,0,0,0,3,10,0,108,0,2,8,0,6,3,70,9,0,511,110,24,0,7,7,952,0,3440,2390,17058,0,0,304,0,0,8,0,12,0,2,445,4,0
"2013/12/6",0,0,0,0,70,178,7,0,8,170,0,0,0,0,0,13,40,373,621,0,123,0,27,89,228,0,4,10,11,0,9830,594,90,17,0,1035,28,0,0,778,135,0,0,19,4,0,0,0,71,2,2,114,2,7,74,4,20,0,0,0,0,226,42,30,0,35,317,11,12,20,18,58,0,9,66,150,0,0,0,24,0,0,0,6,0,0,2,0,117,470,46,0,0,0,0,2,0,91,0,15,14,0,2,2,54,6,0,447,115,30,0,7,6,878,0,4267,2413,16571,0,0,338,0,0,23,0,3,0,7,436,9,0
"2013/12/8",0,0,0,0,57,170,6,0,7,166,0,0,0,0,2,21,27,350,590,3,161,0,30,95,228,0,1,8,14,0,10943,609,120,20,0,1281,21,0,0,863,122,0,0,24,4,0,0,0,70,0,2,128,0,3,54,6,22,0,0,0,0,224,65,36,0,54,280,3,12,20,19,37,0,12,71,172,0,0,0,22,0,0,0,14,0,0,0,0,123,408,43,0,0,0,0,9,0,102,4,8,2,3,5,3,59,10,0,505,147,17,0,11,6,820,0,4441,2292,18156,0,0,298,0,0,5,0,7,0,0,471,7,0
"2013/12/9",0,0,0,0,63,135,10,0,10,174,0,0,0,0,0,14,32,367,667,3,147,0,39,96,216,0,0,0,13,0,9828,521,86,22,0,1174,19,0,0,765,124,0,0,30,3,0,0,0,54,2,0,115,0,7,41,10,15,0,0,0,0,158,47,7,0,47,274,10,2,23,11,44,0,15,77,142,0,0,0,22,0,0,0,11,0,0,0,0,121,456,44,2,0,0,0,2,0,119,0,7,9,4,7,5,62,13,0,483,141,26,0,9,4,677,0,4107,2165,16718,0,0,364,0,0,11,0,6,2,3,461,5,0
"2013/12/10",0,0,0,0,116,143,11,0,7,152,0,0,0,0,0,28,18,248,428,3,119,0,30,132,165,0,0,6,16,0,9001,656,90,16,0,1264,28,0,2,892,106,0,0,22,2,0,0,0,42,0,0,130,0,7,50,14,21,2,0,0,0,112,63,18,0,36,205,5,4,7,9,38,0,9,79,129,0,0,0,19,0,0,0,11,0,0,0,0,139,513,63,0,0,0,0,2,0,136,2,7,12,0,5,2,58,4,0,441,165,20,0,16,5,677,0,3590,2117,14387,0,0,285,0,0,3,0,3,0,0,399,13,0
"2013/12/11",0,0,0,0,90,146,23,0,8,214,0,0,0,0,0,18,46,518,819,3,208,0,27,144,268,0,0,7,14,0,13868,866,130,26,0,1803,54,0,0,1159,140,0,0,28,10,0,0,0,103,0,0,137,10,3,59,13,28,0,0,0,0,230,71,6,0,57,406,6,8,35,12,46,0,23,109,212,0,0,0,30,0,0,0,17,0,0,0,0,174,635,77,0,0,0,0,8,0,134,2,18,22,0,17,3,94,9,0,732,195,28,0,24,3,1016,3,5880,3167,23503,0,0,437,0,0,9,0,2,0,2,514,11,0
"2013/12/12",0,0,4,0,136,153,19,0,2,225,0,0,0,0,0,21,42,546,809,7,250,0,32,207,309,0,0,10,20,0,14893,875,122,24,0,1933,75,2,0,1541,165,0,0,32,0,0,0,0,91,0,0,221,2,7,51,13,48,2,0,0,0,260,97,6,0,64,388,25,18,27,27,53,0,15,140,265,0,0,0,22,0,0,0,17,0,0,0,0,194,598,96,2,0,0,0,16,0,154,4,33,54,0,18,10,127,11,0,802,304,29,0,16,5,1095,0,5929,3767,24294,0,0,498,0,0,20,0,14,0,3,620,17,0
"2013/12/15",0,0,0,0,58,130,19,0,8,185,0,0,0,0,0,17,32,433,684,5,188,0,22,143,218,0,0,4,12,0,11138,769,120,21,0,1487,41,3,0,998,168,0,0,36,5,0,0,0,76,0,2,136,0,2,44,9,47,2,0,0,0,309,71,7,0,44,324,16,10,19,11,54,0,7,115,172,0,0,0,24,0,0,0,9,0,0,0,0,149,717,62,2,0,0,0,12,0,115,2,8,37,3,9,0,77,10,0,607,188,31,0,11,8,910,0,5211,2836,20179,0,0,389,0,0,2,0,7,3,0,417,7,0
"2013/12/16",2,0,0,0,97,96,14,0,5,136,0,0,0,0,0,18,34,412,726,7,202,0,18,128,216,0,0,4,9,0,10653,525,92,12,0,1440,84,2,0,911,95,0,0,40,5,0,0,0,78,0,2,122,2,0,38,6,33,0,0,0,0,224,72,10,0,53,324,12,10,18,10,59,0,12,111,160,0,0,0,16,0,0,0,17,0,0,0,0,93,486,73,0,0,0,3,17,0,80,0,17,38,0,8,5,77,6,0,602,185,14,0,10,9,761,0,4588,3223,20064,0,0,339,0,0,10,0,17,8,2,376,15,0
"2013/12/17",0,0,2,0,79,97,18,0,6,117,0,0,0,0,0,16,34,442,748,7,226,0,23,143,204,0,0,3,22,0,9627,572,68,14,0,1314,54,0,0,856,139,0,0,32,5,0,0,0,58,0,0,113,2,2,45,3,44,3,0,0,0,236,47,5,0,48,356,13,6,10,2,57,0,9,99,166,0,0,0,19,0,0,0,7,0,0,3,0,109,617,60,0,0,0,4,26,0,84,2,7,45,0,13,0,114,11,0,647,188,15,0,13,8,711,0,4658,3050,19711,0,0,311,0,0,9,0,14,2,2,388,2,0
