"","Methanobacteria","Methanococci","Methanomicrobia","Thermococci","Woesearchaeia","Nitrososphaeria","Acidobacteriia","Aminicenantia","Blastocatellia.Subgroup.4..","Holophagae","Subgroup17.","Subgroup17","Subgroup21.","Subgroup22.","Subgroup6.","Subgroup6","Thermoanaerobaculia","Acidimicrobiia","Actinobacteria","Coriobacteriia","Thermoleophilia","Chthonomonadetes","Fimbriimonadia","unculturedbacterium.","uncultured","Caldatribacteriia","Omnitrophicabacterium.OLB16.","metagenome","unculturedorganism.","unculturedsoil.bacterium.PBS.III.18.","Bacteroidia","Ignavibacteria","OC31","Rhodothermia","Caldisericia","Calditrichia","Chlamydiae","LD1PA32.","LD1PA32","Anaerolineae","Chloroflexia","Dehalococcoidia","GittGS.136.","JG30KF.CM66.","JG30KF.CM66","KD496.","KD496","Ktedonobacteria","OLB14","TK10","Cloacimonadia","Melainabacteria","Oxyphotobacteria","Sericytochromatia","Dadabacteriia","Deinococci","Babeliae","Elusimicrobia","LineageIIa.","LineageIIb.","LineageIIc.","Campylobacteria","Chitinivibrionia","Fibrobacteria","BRHc20a.","Bacilli","Clostridia","Erysipelotrichia","Negativicutes","Fusobacteriia","BD211.terrestrial.group.","Gemmatimonadetes","MD2902B12.","Hydrogenedentia","Kiritimatiellae","Latescibacteria","unculturedAcidobacterium.sp..","unculturedBacteroidetes.bacterium.","unculturedFibrobacteres.bacterium.","unculturedLatescibacteria.bacterium.","unculturedPelobacter.sp..","unculturedprokaryote.","unculturedproteobacterium.","unculturedsoil.bacterium.PBS.III.30.","unculturedsoil.bacterium.","Lentisphaeria","Oligosphaeria","Moduliflexia","Nitrospinia","Nitrospira","Omnitrophia","OmnitrophicaWOR_2.bacterium.RIFOXYA2_FULL_38_17.","mixedculture.isolate.koll11.","uncultureddeep.sea.bacterium.","unculturedplanctomycete.","ABY1","Berkelbacteria","Gracilibacteria","Microgenomatia","Parcubacteria","Saccharimonadia","WWE3","028H05P.BN.P5.","028H05P.BN.P5","BD711.","BD711","Brocadiae","OM190","Phycisphaerae","Pla3lineage.","Pla3lineage","Pla4lineage.","Pla4lineage","Planctomycetacia","vadinHA49","Alphaproteobacteria","Deltaproteobacteria","Gammaproteobacteria","NC10","Brachyspirae","Leptospirae","MVP15.","MVP15","Spirochaetia","V2072189E03.","Synergistia","Mollicutes","Thermotogae","Verrucomicrobiae","hydrothermalvent.metagenome.","bacteriumenrichment.culture.clone.Anammox_55."
"2014/4/16",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,4030,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,79,0,0,0,0,0,0,0,0,0,254,203,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40500,594,35096,0,0,0,0,0,0,0,2,0,0,2,0,0
"2014/4/17",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20944,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,79,1050,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51340,634,9799,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014/4/22",0,0,0,0,0,0,24,4,401,12,51,4,0,0,144,26,173,65,408,0,11,0,43,10,3,0,0,27,0,0,6357,486,0,0,0,0,13,0,0,1836,22,0,0,0,0,0,0,0,169,2,0,7,0,0,0,0,32,24,0,0,0,0,0,0,0,72,74,6,3,0,0,43,0,29,21,0,0,58,0,0,2,0,0,0,2,0,0,0,0,229,0,0,0,0,0,7,0,39,3,59,260,0,3,0,0,0,0,185,121,0,0,20,0,1370,4,2891,1191,11481,0,0,11,0,0,8,0,3,0,0,3952,0,0
"2014/4/23",0,0,2,0,0,0,20,2,387,13,52,5,0,0,149,42,162,36,222,0,8,0,48,4,0,0,0,25,0,0,5624,314,0,0,0,0,5,0,0,1365,21,0,0,0,0,6,0,0,100,0,0,6,0,4,0,0,51,28,0,0,0,0,0,0,0,40,44,3,4,0,0,48,0,17,14,0,0,35,0,0,0,0,0,0,3,0,0,0,0,282,0,0,0,0,0,9,0,20,0,18,110,3,6,0,0,0,0,197,121,0,0,23,0,1452,3,2367,1085,14788,0,0,5,0,0,0,0,2,0,0,2975,0,0
"2014/4/24",0,0,2,0,0,0,18,3,428,12,68,4,0,0,161,29,197,28,165,0,4,0,84,7,2,0,0,26,0,0,8394,404,0,0,0,0,12,0,0,1633,2,0,0,0,0,5,2,0,90,3,0,3,0,11,0,0,41,36,0,0,0,0,0,0,0,486,26,0,4,0,0,61,0,17,9,0,0,33,0,0,5,0,0,0,2,0,0,0,0,415,0,0,0,0,0,4,0,12,0,9,63,3,12,0,0,0,0,186,163,0,0,16,0,1825,10,2375,2307,10680,0,0,29,0,0,0,0,2,0,0,2420,0,2
"2014/4/25",0,0,2,0,0,0,136,0,835,47,184,8,0,0,412,89,452,57,404,0,27,0,181,25,10,0,0,64,0,0,13489,828,0,0,0,0,24,0,0,2447,42,0,0,0,0,5,0,0,223,10,0,20,0,7,0,0,61,67,0,0,0,2,0,0,0,453,51,0,6,2,0,165,0,52,17,0,2,119,0,0,16,0,0,0,5,0,0,0,0,804,0,0,0,0,0,23,0,13,0,41,438,5,26,0,0,0,0,691,302,0,0,36,0,2405,28,4462,4248,16620,0,0,84,0,0,12,0,0,0,0,2647,0,3
"2014/4/28",2,0,0,0,0,0,134,0,643,59,169,10,0,0,391,110,447,46,163,0,15,0,208,24,3,0,0,44,0,0,13567,712,0,0,0,0,16,0,0,2658,30,0,0,2,0,6,0,0,190,0,0,8,0,22,0,0,60,85,0,0,0,5,0,0,0,389,37,0,14,2,0,186,0,70,13,0,0,88,0,0,6,0,0,0,2,0,0,0,0,981,0,0,0,0,0,4,0,0,2,40,304,5,64,0,2,0,0,691,332,0,0,45,0,3628,31,3705,4377,14742,0,0,46,0,0,8,0,3,0,0,1844,0,0
"2014/4/29",0,0,3,0,0,0,79,0,243,34,114,4,0,0,147,97,232,15,90,0,21,0,62,6,0,0,0,27,0,0,7690,244,0,0,0,0,13,0,0,763,5,0,0,0,0,3,0,0,71,2,0,8,0,6,0,0,27,50,0,0,0,0,0,0,0,123,16,0,4,0,0,126,0,11,2,0,0,42,0,0,5,0,0,0,0,0,0,0,0,559,0,0,0,0,0,0,0,0,0,10,68,2,17,0,0,0,0,416,80,0,0,7,0,1234,0,1943,1136,11200,0,0,58,0,0,8,0,0,0,0,557,0,0
"2014/4/30",0,0,0,0,0,0,218,0,274,102,100,10,0,0,237,334,318,17,75,0,17,0,56,2,0,0,0,149,0,0,20748,197,0,0,0,0,30,0,0,1314,20,0,0,0,0,5,0,0,96,0,0,3,0,0,0,0,474,9,0,0,0,26,0,0,0,372,40,0,71,2,0,258,0,5,0,0,0,33,0,0,3,0,0,0,0,0,0,0,0,841,0,0,0,0,0,0,0,0,0,19,80,2,2,0,2,0,0,423,70,0,0,13,0,2422,34,2822,2045,19748,0,0,160,0,0,31,0,8,0,0,841,0,0
"2014/5/2",0,0,0,0,0,0,112,0,179,29,37,5,0,0,95,263,161,50,585,0,31,0,22,7,5,0,0,52,0,0,14360,203,0,0,0,0,125,0,0,435,40,0,0,0,2,24,0,0,27,10,0,85,0,0,0,0,323,8,0,0,0,13,0,0,0,3137,55,0,20,2,0,199,0,8,2,0,0,39,0,0,3,0,0,0,0,0,0,0,0,1376,0,0,0,0,0,0,0,0,0,24,151,0,0,0,0,0,0,302,81,0,0,5,0,1293,27,2336,1542,19452,0,0,115,0,0,16,0,5,0,0,470,0,2
