"","Methanobacteria","Methanococci","Methanomicrobia","Thermococci","Woesearchaeia","Nitrososphaeria","Acidobacteriia","Aminicenantia","Blastocatellia.Subgroup.4..","Holophagae","Subgroup17.","Subgroup17","Subgroup21.","Subgroup22.","Subgroup6.","Subgroup6","Thermoanaerobaculia","Acidimicrobiia","Actinobacteria","Coriobacteriia","Thermoleophilia","Chthonomonadetes","Fimbriimonadia","unculturedbacterium.","uncultured","Caldatribacteriia","Omnitrophicabacterium.OLB16.","metagenome","unculturedorganism.","unculturedsoil.bacterium.PBS.III.18.","Bacteroidia","Ignavibacteria","OC31","Rhodothermia","Caldisericia","Calditrichia","Chlamydiae","LD1PA32.","LD1PA32","Anaerolineae","Chloroflexia","Dehalococcoidia","GittGS.136.","JG30KF.CM66.","JG30KF.CM66","KD496.","KD496","Ktedonobacteria","OLB14","TK10","Cloacimonadia","Melainabacteria","Oxyphotobacteria","Sericytochromatia","Dadabacteriia","Deinococci","Babeliae","Elusimicrobia","LineageIIa.","LineageIIb.","LineageIIc.","Campylobacteria","Chitinivibrionia","Fibrobacteria","BRHc20a.","Bacilli","Clostridia","Erysipelotrichia","Negativicutes","Fusobacteriia","BD211.terrestrial.group.","Gemmatimonadetes","MD2902B12.","Hydrogenedentia","Kiritimatiellae","Latescibacteria","unculturedAcidobacterium.sp..","unculturedBacteroidetes.bacterium.","unculturedFibrobacteres.bacterium.","unculturedLatescibacteria.bacterium.","unculturedPelobacter.sp..","unculturedprokaryote.","unculturedproteobacterium.","unculturedsoil.bacterium.PBS.III.30.","unculturedsoil.bacterium.","Lentisphaeria","Oligosphaeria","Moduliflexia","Nitrospinia","Nitrospira","Omnitrophia","OmnitrophicaWOR_2.bacterium.RIFOXYA2_FULL_38_17.","mixedculture.isolate.koll11.","uncultureddeep.sea.bacterium.","unculturedplanctomycete.","ABY1","Berkelbacteria","Gracilibacteria","Microgenomatia","Parcubacteria","Saccharimonadia","WWE3","028H05P.BN.P5.","028H05P.BN.P5","BD711.","BD711","Brocadiae","OM190","Phycisphaerae","Pla3lineage.","Pla3lineage","Pla4lineage.","Pla4lineage","Planctomycetacia","vadinHA49","Alphaproteobacteria","Deltaproteobacteria","Gammaproteobacteria","NC10","Brachyspirae","Leptospirae","MVP15.","MVP15","Spirochaetia","V2072189E03.","Synergistia","Mollicutes","Thermotogae","Verrucomicrobiae","hydrothermalvent.metagenome.","bacteriumenrichment.culture.clone.Anammox_55."
"2013/10/8",0,0,3,0,149,1261,30,0,35,118,0,0,0,0,0,27,49,256,288,0,204,0,34,80,149,0,2,29,40,0,7676,523,905,40,0,1072,207,0,2,772,250,0,0,42,5,2,0,0,232,0,0,177,9,8,101,0,103,0,0,0,0,113,113,2,0,101,296,13,9,19,44,99,0,38,36,524,0,0,0,32,0,0,0,31,0,2,6,0,244,976,69,0,0,0,5,23,0,29,0,47,13,0,2,0,79,0,0,648,265,63,0,15,13,993,3,3374,2587,15026,0,0,643,0,0,17,0,6,0,0,209,8,0
"2013/10/9",2,0,0,0,138,1279,35,0,40,143,0,0,0,0,0,17,60,345,327,2,207,0,50,85,193,0,1,23,37,0,9572,732,797,40,0,1201,205,2,0,843,245,2,0,36,5,0,2,0,310,3,0,172,4,12,154,4,169,0,0,0,0,108,91,0,0,99,372,13,2,8,38,90,0,26,37,499,0,0,0,33,0,0,0,49,0,2,0,0,231,944,58,0,0,0,7,26,0,50,2,40,14,0,4,0,77,2,0,571,273,73,0,24,15,978,5,3991,2750,15343,0,0,970,0,0,24,0,2,2,0,207,7,0
"2013/10/10",0,0,0,0,171,1673,38,0,50,133,0,0,0,0,0,35,54,337,333,6,244,0,40,128,168,0,3,32,38,0,9548,801,995,33,0,1246,197,0,0,922,266,2,0,42,3,0,0,0,379,5,0,222,8,8,189,3,146,0,0,0,0,161,112,3,0,116,391,8,10,14,41,113,0,40,39,537,0,0,0,45,0,0,0,48,0,4,0,0,327,966,77,0,0,0,9,28,0,53,0,39,24,2,9,0,83,5,0,659,350,68,0,18,23,1204,0,4319,2670,17021,0,0,1009,0,0,29,0,6,0,0,343,17,0
"2013/10/11",0,0,0,0,183,1596,30,0,44,101,0,0,0,0,0,41,69,327,399,3,213,0,37,95,198,0,0,22,33,0,8996,765,743,57,0,1243,166,0,0,906,309,0,0,43,3,0,0,0,359,0,0,230,11,5,196,3,71,0,0,0,0,192,123,7,0,119,339,21,12,12,55,117,0,42,35,529,0,0,0,39,0,0,0,36,0,3,0,0,307,1265,77,0,0,0,13,19,0,37,6,52,34,0,4,0,87,4,0,708,321,66,0,9,15,1134,4,4485,2860,17361,0,0,1092,0,0,48,0,0,0,2,338,15,0
"2013/10/15",6,0,0,0,175,956,28,0,30,99,0,0,0,0,2,18,54,336,340,4,199,0,39,92,225,0,0,35,33,0,8899,702,570,44,0,1267,174,4,0,904,201,2,0,29,0,0,0,0,424,5,2,274,9,13,132,0,48,0,0,0,0,156,89,4,0,120,416,17,7,17,50,74,0,35,56,405,0,0,0,39,0,0,0,38,0,0,0,0,201,1187,53,0,0,0,9,14,0,66,3,54,35,2,6,2,86,0,0,613,276,88,0,17,10,1087,4,3839,2856,16538,0,0,404,0,0,14,0,7,0,7,317,11,0
"2013/10/16",2,2,0,0,170,1557,35,0,41,181,0,0,0,0,2,28,68,448,529,4,334,0,54,128,259,0,0,26,65,0,13831,927,736,51,0,1873,194,2,2,1297,340,0,0,39,7,2,0,0,605,4,0,475,8,8,221,2,47,0,0,0,0,254,110,20,0,122,572,17,11,26,51,107,0,46,73,544,0,0,0,39,0,0,0,35,0,3,0,0,353,1312,90,0,0,0,7,33,0,92,3,82,43,0,10,0,137,4,0,894,393,104,0,26,7,1613,0,5768,3905,22207,0,2,505,0,0,45,0,8,0,0,446,20,0
"2013/10/17",0,0,0,0,141,1373,33,0,53,173,0,0,2,0,2,27,73,420,425,5,262,0,48,126,263,0,0,32,51,0,12842,778,499,53,0,1584,146,0,0,1020,327,0,0,36,4,0,0,0,330,2,2,408,5,7,191,0,47,0,0,0,0,236,114,4,0,131,483,19,15,29,53,65,0,61,81,537,0,0,0,53,0,0,0,27,0,6,2,0,349,1207,86,0,0,0,9,17,0,122,6,51,49,4,9,5,128,7,0,803,382,72,0,20,13,1583,3,4864,3589,22353,0,0,454,0,0,36,0,20,3,2,462,14,0
"2013/10/18",2,0,0,0,80,998,38,0,50,149,0,0,0,0,0,17,68,401,529,10,250,0,47,123,256,0,1,29,54,0,12354,839,448,52,0,1773,168,2,0,1084,271,5,0,48,3,3,0,0,443,5,2,317,7,25,145,5,29,0,0,0,0,240,104,11,0,138,520,20,15,5,46,80,0,39,60,489,0,0,0,41,0,0,0,37,0,0,0,0,317,1646,91,0,0,0,10,25,0,127,8,39,48,0,3,4,127,0,0,764,334,77,0,17,16,1312,0,5298,3638,21589,0,0,460,0,0,50,0,16,0,4,421,15,0
"2013/10/21",5,5,2,0,100,852,26,0,32,215,0,0,0,0,0,25,87,354,651,3,248,0,58,126,246,0,7,21,35,0,12713,747,381,48,0,1970,120,6,0,1121,261,0,0,26,5,2,0,0,255,3,3,357,9,36,159,3,28,2,0,0,0,226,111,32,0,92,485,8,8,17,54,65,0,52,88,465,0,0,0,36,0,0,0,26,0,2,0,0,214,1186,95,0,0,0,8,19,0,110,8,58,34,0,5,0,163,0,0,801,336,71,0,18,14,1355,4,5723,3225,24738,0,0,442,0,0,48,0,13,7,5,430,19,0
"2013/10/22",3,2,2,0,79,573,34,0,27,154,0,0,2,0,0,15,47,302,543,3,213,0,18,108,191,0,0,14,39,0,8732,570,226,26,0,1377,111,0,0,979,270,0,0,23,4,0,0,0,236,3,0,311,9,29,102,4,49,2,0,0,0,187,83,29,0,63,309,17,9,23,31,29,0,17,69,373,0,0,0,26,0,0,0,20,0,0,0,0,162,1073,92,0,0,0,2,17,0,93,7,39,20,0,0,0,116,4,0,669,305,38,0,23,15,1141,0,4653,2369,20338,0,0,405,0,0,25,0,17,2,2,412,17,0
