"","Methanobacteria","Methanococci","Methanomicrobia","Thermococci","Woesearchaeia","Nitrososphaeria","Acidobacteriia","Aminicenantia","Blastocatellia.Subgroup.4..","Holophagae","Subgroup17.","Subgroup17","Subgroup21.","Subgroup22.","Subgroup6.","Subgroup6","Thermoanaerobaculia","Acidimicrobiia","Actinobacteria","Coriobacteriia","Thermoleophilia","Chthonomonadetes","Fimbriimonadia","unculturedbacterium.","uncultured","Caldatribacteriia","Omnitrophicabacterium.OLB16.","metagenome","unculturedorganism.","unculturedsoil.bacterium.PBS.III.18.","Bacteroidia","Ignavibacteria","OC31","Rhodothermia","Caldisericia","Calditrichia","Chlamydiae","LD1PA32.","LD1PA32","Anaerolineae","Chloroflexia","Dehalococcoidia","GittGS.136.","JG30KF.CM66.","JG30KF.CM66","KD496.","KD496","Ktedonobacteria","OLB14","TK10","Cloacimonadia","Melainabacteria","Oxyphotobacteria","Sericytochromatia","Dadabacteriia","Deinococci","Babeliae","Elusimicrobia","LineageIIa.","LineageIIb.","LineageIIc.","Campylobacteria","Chitinivibrionia","Fibrobacteria","BRHc20a.","Bacilli","Clostridia","Erysipelotrichia","Negativicutes","Fusobacteriia","BD211.terrestrial.group.","Gemmatimonadetes","MD2902B12.","Hydrogenedentia","Kiritimatiellae","Latescibacteria","unculturedAcidobacterium.sp..","unculturedBacteroidetes.bacterium.","unculturedFibrobacteres.bacterium.","unculturedLatescibacteria.bacterium.","unculturedPelobacter.sp..","unculturedprokaryote.","unculturedproteobacterium.","unculturedsoil.bacterium.PBS.III.30.","unculturedsoil.bacterium.","Lentisphaeria","Oligosphaeria","Moduliflexia","Nitrospinia","Nitrospira","Omnitrophia","OmnitrophicaWOR_2.bacterium.RIFOXYA2_FULL_38_17.","mixedculture.isolate.koll11.","uncultureddeep.sea.bacterium.","unculturedplanctomycete.","ABY1","Berkelbacteria","Gracilibacteria","Microgenomatia","Parcubacteria","Saccharimonadia","WWE3","028H05P.BN.P5.","028H05P.BN.P5","BD711.","BD711","Brocadiae","OM190","Phycisphaerae","Pla3lineage.","Pla3lineage","Pla4lineage.","Pla4lineage","Planctomycetacia","vadinHA49","Alphaproteobacteria","Deltaproteobacteria","Gammaproteobacteria","NC10","Brachyspirae","Leptospirae","MVP15.","MVP15","Spirochaetia","V2072189E03.","Synergistia","Mollicutes","Thermotogae","Verrucomicrobiae","hydrothermalvent.metagenome.","bacteriumenrichment.culture.clone.Anammox_55."
"2014/6/3",4,0,0,0,162,4,10,0,0,49,0,0,0,0,2,13,7,458,1259,4,73,0,13,78,240,0,0,7,12,0,11357,463,0,26,0,1140,9,0,0,1826,93,0,0,44,0,0,0,0,56,0,3,107,41,2,10,19,43,8,0,0,0,330,4,2,0,25,425,10,11,10,11,9,0,21,116,19,0,0,0,0,0,0,0,0,0,0,0,0,572,896,14,0,0,0,0,48,0,158,15,57,41,6,35,0,34,0,0,299,147,0,0,14,2,1267,0,6668,2550,19305,0,0,136,0,0,14,0,9,4,5,526,16,0
"2014/6/4",4,0,0,0,159,8,10,0,6,76,0,0,0,0,4,22,10,642,1555,7,118,0,16,143,317,0,1,0,11,0,16928,569,3,28,0,1743,26,5,0,2114,161,0,0,44,0,0,0,0,68,0,0,114,0,2,15,18,31,2,0,0,0,383,7,13,0,51,546,17,18,19,7,11,0,23,137,22,0,0,0,0,0,0,0,0,0,0,0,0,616,1622,26,0,0,0,0,55,0,166,25,80,55,3,72,0,40,2,0,341,194,0,0,14,4,1707,0,8384,3322,29742,0,0,189,0,0,4,0,19,6,4,675,37,0
"2014/6/5",5,0,2,0,178,13,16,0,0,51,0,0,0,0,3,21,13,680,1530,9,102,0,15,117,324,0,1,0,10,0,15540,578,0,26,0,1494,31,2,0,2166,169,0,0,39,0,0,0,0,74,0,0,136,0,4,11,20,52,12,0,0,0,376,7,2,0,64,616,17,18,22,9,5,0,18,161,29,0,0,0,0,0,0,0,7,0,0,0,0,650,1520,20,0,0,0,0,55,0,185,15,108,61,4,67,2,47,6,0,340,186,4,0,13,2,1904,0,8096,3274,28765,0,0,204,0,0,10,0,19,7,7,633,52,0
"2014/6/6",2,0,0,0,74,0,11,0,0,67,0,0,0,0,0,5,32,173,328,7,68,0,19,162,164,0,0,3,5,0,5013,279,0,21,0,614,23,0,0,587,67,0,0,22,2,0,0,0,37,0,0,181,0,4,2,5,25,17,0,0,0,67,18,0,0,33,201,6,12,9,2,9,0,4,21,25,0,0,0,0,0,0,0,0,0,0,0,0,26,723,10,0,0,0,0,10,0,26,0,2,0,0,6,0,44,0,0,99,88,0,0,13,0,630,0,2234,1549,11057,0,0,78,0,0,28,0,10,3,4,189,27,0
"2014/6/9",0,0,0,0,38,0,2,0,0,27,0,0,0,0,0,4,23,118,285,2,66,0,5,86,65,0,0,0,2,0,2389,124,0,10,0,276,4,0,0,346,67,0,0,11,0,0,0,0,28,0,0,103,7,0,0,3,2,3,0,0,0,22,15,0,0,12,150,6,5,6,3,0,0,0,27,13,0,0,0,0,0,0,0,0,0,0,2,0,13,430,13,0,0,0,0,3,0,13,0,0,0,2,2,0,28,3,0,57,33,0,0,10,7,623,0,1418,762,7490,0,0,39,0,0,12,0,9,2,0,147,15,0
"2014/6/10",0,0,0,0,74,0,10,0,0,87,0,0,0,0,0,3,37,217,564,5,153,0,3,138,164,0,0,5,0,0,4274,226,0,22,0,466,8,0,0,728,139,0,0,18,0,0,0,0,30,0,0,137,0,2,2,6,20,4,0,0,0,73,20,2,0,45,248,9,11,8,0,2,0,10,50,23,0,0,0,0,0,0,0,0,0,0,0,0,32,801,13,0,0,0,2,7,0,28,0,2,2,3,9,0,74,0,0,122,93,0,0,9,4,1241,0,2369,1480,13344,0,0,115,0,0,16,0,14,0,2,220,42,0
"2014/6/11",7,0,0,0,47,0,10,0,0,79,0,0,0,0,0,5,43,153,421,4,137,0,7,98,112,0,0,5,9,0,3480,230,0,7,0,362,10,3,0,469,94,0,0,23,0,0,0,0,47,0,0,135,0,0,5,4,27,6,0,0,0,36,22,6,0,32,222,11,6,2,7,4,0,5,58,13,0,0,0,0,0,0,0,0,0,0,0,0,20,834,22,2,0,0,0,0,0,16,2,0,0,0,2,5,29,0,0,85,70,0,0,9,5,1032,0,2060,1148,10380,0,0,82,0,0,14,0,7,0,0,196,35,0
"2014/6/12",0,0,0,2,63,0,12,0,0,76,0,0,0,0,0,2,40,205,363,0,94,0,2,103,127,0,0,3,0,0,3037,219,0,14,0,340,5,0,0,482,73,0,0,12,0,2,0,0,56,0,0,138,2,0,5,8,22,4,0,0,0,40,27,2,0,23,176,5,2,0,2,2,0,2,76,26,0,0,0,0,0,0,0,0,0,0,4,0,26,765,9,0,0,0,0,4,0,33,0,2,6,0,5,0,39,0,0,91,84,0,0,9,5,940,0,1986,1211,9504,0,2,96,0,0,13,0,7,4,0,198,41,0
"2014/6/13",0,0,0,0,29,0,12,0,0,62,0,0,0,0,2,4,34,119,341,3,118,0,2,86,84,0,0,3,9,0,2294,171,0,17,0,273,5,0,0,396,57,0,0,13,0,0,0,0,49,0,0,102,0,0,0,3,11,2,0,0,0,33,7,0,0,20,130,3,2,6,0,8,0,3,45,21,0,0,0,0,0,0,0,2,0,0,0,0,19,555,9,0,0,0,0,2,0,15,0,0,2,0,0,0,29,0,0,76,67,0,0,14,3,651,0,1565,847,7030,0,0,93,0,0,11,0,2,0,0,125,26,0
"2014/6/16",0,0,0,0,63,0,6,0,0,109,0,0,0,0,0,0,61,350,555,2,188,0,7,85,148,0,0,2,8,0,3991,250,0,24,0,416,11,0,0,623,111,0,0,26,0,3,0,0,44,0,0,145,3,0,3,12,21,0,0,0,0,53,13,0,0,31,268,7,6,7,11,8,0,13,83,50,0,0,0,2,0,0,0,0,0,0,0,0,20,927,19,0,0,0,0,4,0,26,0,0,7,0,2,3,59,3,0,166,100,0,0,10,14,1070,0,2756,1566,12848,0,0,126,0,0,15,0,5,0,0,226,44,0
