"","Methanobacteria","Methanococci","Methanomicrobia","Thermococci","Woesearchaeia","Nitrososphaeria","Acidobacteriia","Aminicenantia","Blastocatellia.Subgroup.4..","Holophagae","Subgroup17.","Subgroup17","Subgroup21.","Subgroup22.","Subgroup6.","Subgroup6","Thermoanaerobaculia","Acidimicrobiia","Actinobacteria","Coriobacteriia","Thermoleophilia","Chthonomonadetes","Fimbriimonadia","unculturedbacterium.","uncultured","Caldatribacteriia","Omnitrophicabacterium.OLB16.","metagenome","unculturedorganism.","unculturedsoil.bacterium.PBS.III.18.","Bacteroidia","Ignavibacteria","OC31","Rhodothermia","Caldisericia","Calditrichia","Chlamydiae","LD1PA32.","LD1PA32","Anaerolineae","Chloroflexia","Dehalococcoidia","GittGS.136.","JG30KF.CM66.","JG30KF.CM66","KD496.","KD496","Ktedonobacteria","OLB14","TK10","Cloacimonadia","Melainabacteria","Oxyphotobacteria","Sericytochromatia","Dadabacteriia","Deinococci","Babeliae","Elusimicrobia","LineageIIa.","LineageIIb.","LineageIIc.","Campylobacteria","Chitinivibrionia","Fibrobacteria","BRHc20a.","Bacilli","Clostridia","Erysipelotrichia","Negativicutes","Fusobacteriia","BD211.terrestrial.group.","Gemmatimonadetes","MD2902B12.","Hydrogenedentia","Kiritimatiellae","Latescibacteria","unculturedAcidobacterium.sp..","unculturedBacteroidetes.bacterium.","unculturedFibrobacteres.bacterium.","unculturedLatescibacteria.bacterium.","unculturedPelobacter.sp..","unculturedprokaryote.","unculturedproteobacterium.","unculturedsoil.bacterium.PBS.III.30.","unculturedsoil.bacterium.","Lentisphaeria","Oligosphaeria","Moduliflexia","Nitrospinia","Nitrospira","Omnitrophia","OmnitrophicaWOR_2.bacterium.RIFOXYA2_FULL_38_17.","mixedculture.isolate.koll11.","uncultureddeep.sea.bacterium.","unculturedplanctomycete.","ABY1","Berkelbacteria","Gracilibacteria","Microgenomatia","Parcubacteria","Saccharimonadia","WWE3","028H05P.BN.P5.","028H05P.BN.P5","BD711.","BD711","Brocadiae","OM190","Phycisphaerae","Pla3lineage.","Pla3lineage","Pla4lineage.","Pla4lineage","Planctomycetacia","vadinHA49","Alphaproteobacteria","Deltaproteobacteria","Gammaproteobacteria","NC10","Brachyspirae","Leptospirae","MVP15.","MVP15","Spirochaetia","V2072189E03.","Synergistia","Mollicutes","Thermotogae","Verrucomicrobiae","hydrothermalvent.metagenome.","bacteriumenrichment.culture.clone.Anammox_55."
"2014/8/1",0,0,0,0,109,0,23,0,0,305,0,0,0,0,0,9,50,211,219,0,87,0,7,138,306,0,0,14,27,0,9219,601,0,27,0,1082,31,0,0,855,75,0,0,24,0,0,0,0,72,0,0,301,3,17,3,6,2209,4,0,0,0,76,179,2,0,31,228,13,2,15,18,15,0,11,60,326,0,0,0,2,0,0,0,2,0,0,5,0,8,1636,63,0,0,0,0,8,0,50,0,0,2,0,5,6,57,0,0,196,178,0,0,44,7,673,0,2867,2474,15747,0,0,291,0,0,18,0,9,0,2,293,30,0
"2014/8/4",4,0,0,0,94,0,18,0,2,247,0,0,0,0,0,6,47,203,315,0,113,0,3,105,205,0,0,6,23,0,7129,483,0,24,0,916,30,0,0,862,144,0,0,29,0,0,0,0,85,0,0,275,5,6,3,0,2040,2,0,0,0,76,110,8,0,27,279,18,11,5,8,12,0,13,63,283,0,0,0,0,0,0,0,3,0,0,6,0,10,1498,38,0,0,0,0,0,0,28,0,0,0,0,5,0,44,0,0,131,162,0,0,20,4,759,0,2865,1769,14805,0,0,225,0,0,8,0,4,0,1,283,31,0
"2014/8/5",0,0,0,0,91,0,11,0,0,120,0,0,0,0,0,2,14,134,203,0,73,0,4,65,164,0,0,7,19,0,4729,326,0,16,0,591,24,4,0,618,98,0,0,16,0,0,0,0,86,0,0,164,5,15,0,7,1525,3,0,0,0,71,84,2,0,15,208,20,4,2,0,5,0,0,16,275,0,0,0,0,0,0,0,3,0,0,6,0,5,1067,31,0,3,0,0,12,0,27,0,4,7,0,2,3,28,0,0,94,79,0,0,14,0,498,0,1938,1073,9542,0,0,186,0,0,8,0,3,0,0,203,14,0
"2014/8/6",0,0,0,0,129,0,13,0,0,138,0,0,0,0,0,3,44,276,616,5,276,0,4,96,274,0,0,9,27,0,7208,468,0,13,0,700,58,2,0,1356,304,0,0,24,0,0,0,0,87,0,0,180,3,21,3,7,1667,5,0,0,0,95,122,0,0,48,440,28,19,6,6,7,0,4,52,409,0,0,0,0,0,0,0,4,0,0,3,0,23,1910,57,0,0,0,0,7,2,48,0,0,0,0,3,4,35,2,0,141,139,0,0,22,3,1405,0,3639,1647,16894,0,0,264,0,0,13,0,11,0,2,360,50,0
"2014/8/7",0,0,0,0,125,0,20,0,0,151,0,0,0,0,0,3,31,187,345,2,100,0,3,104,202,0,0,16,16,0,8910,614,2,28,0,932,49,0,0,915,149,0,0,18,0,6,0,0,86,0,0,163,0,32,8,6,1784,2,0,0,0,129,119,0,0,41,369,24,11,12,10,9,0,8,42,386,0,0,0,0,0,0,0,4,0,0,0,0,8,1625,54,0,0,0,0,3,0,32,2,5,7,0,7,4,25,0,0,138,122,0,0,9,6,864,0,2982,1680,16124,0,0,256,0,0,22,0,16,3,4,225,17,0
"2014/8/8",2,0,3,0,183,7,13,0,0,130,0,0,0,0,0,11,34,210,364,5,166,0,3,104,188,0,0,13,21,0,8604,584,0,29,0,838,28,0,0,1243,199,0,0,16,0,0,0,0,113,0,0,176,7,25,8,5,1461,3,0,0,0,148,110,0,0,66,419,14,23,11,11,10,0,10,45,354,0,0,0,0,0,0,0,5,0,0,3,0,17,1659,52,0,2,0,0,7,2,45,0,0,7,3,2,2,41,0,0,170,139,0,0,16,6,1056,0,3466,1503,15162,0,0,292,0,2,25,0,29,6,3,374,20,0
"2014/8/11",5,0,0,0,187,2,20,0,0,138,0,0,0,0,0,10,31,216,485,7,155,0,0,100,183,0,0,10,16,0,9443,538,0,25,0,747,24,0,0,1087,196,0,0,32,0,0,0,0,92,0,0,159,2,23,7,7,1512,3,0,0,0,157,93,0,0,64,448,14,12,24,11,7,0,16,41,454,0,0,0,0,0,0,0,2,0,0,8,0,21,1881,55,0,0,0,0,8,0,59,0,9,4,0,9,4,22,0,0,120,138,6,0,4,5,994,0,3710,1517,16876,0,2,299,0,0,26,0,17,8,3,346,31,0
"2014/8/12",5,2,0,0,258,8,37,0,2,115,0,0,0,0,0,14,52,363,683,5,251,0,2,126,147,0,0,18,19,0,10549,736,0,24,0,852,56,0,0,1244,254,0,0,59,2,2,0,0,192,0,0,161,12,11,13,6,1678,3,0,0,0,65,82,6,0,31,466,15,8,10,15,12,0,9,39,572,0,0,0,2,0,0,0,2,0,0,3,0,18,1949,44,0,0,0,0,2,0,57,2,7,10,3,2,0,44,6,0,183,169,10,0,6,5,984,0,4460,1914,19513,0,2,167,0,2,53,0,29,4,3,345,17,0
"2014/8/13",2,0,0,0,252,7,17,0,2,108,0,0,0,0,0,12,49,295,523,4,221,0,4,108,152,0,0,14,15,0,10348,670,0,25,0,804,33,5,0,1502,272,0,0,27,0,4,0,0,155,0,0,169,4,12,13,5,1619,2,0,0,0,63,115,0,0,57,410,7,18,11,12,12,0,12,37,613,0,0,0,4,0,0,0,6,0,0,6,0,12,1549,50,0,0,0,0,4,0,74,0,9,9,0,7,3,35,3,0,198,146,4,0,20,3,1230,0,4069,1794,16997,0,0,147,0,4,40,0,16,0,6,326,33,0
"2014/8/14",2,2,0,0,265,2,17,0,0,122,0,0,0,0,0,17,41,225,501,5,237,0,9,90,186,0,0,19,20,0,7305,615,0,28,0,695,44,0,0,1110,176,0,0,36,0,2,0,0,204,0,3,245,5,0,7,3,1105,7,0,0,0,130,94,0,0,44,384,12,14,14,8,4,0,0,35,321,0,0,0,0,0,0,0,7,0,0,7,0,27,1298,53,0,3,0,2,0,0,80,0,2,3,0,0,3,39,0,0,186,147,6,0,16,5,847,0,3529,1744,12794,0,0,116,0,0,28,0,4,0,4,278,20,0
