"","Solibacterales","Blastocatellales","uncultured","Microtrichales","Propionibacteriales","Streptomycetales","Streptosporangiales","Coriobacteriales","Fimbriimonadales","Bacteroidales","Chitinophagales","Cytophagales","Flavobacteriales","Sphingobacteriales","Chlorobiales","Ignavibacteriales","OPB56","SJA28.","SJA28","Caldisericales","Anaerolineales","Ardenticatenales","SBR1031","Chloroflexales","Thermomicrobiales","Cloacimonadales","Obscuribacterales","Chloroplast","Nostocales","Campylobacterales","Fibrobacterales","Bacillales","Lactobacillales","Clostridiales","Erysipelotrichales","Fusobacteriales","Gemmatimonadales","CandidatusKomeilibacteria.","CandidatusPeregrinibacteria.","CandidatusPeribacteria.","CandidatusPeribacteria","JGI0000069.P22","CandidatusCurtissbacteria.","CandidatusRoizmanbacteria.","CandidatusNomurabacteria","CandidatusZambryskibacteria.","Saccharimonadales","Phycisphaerales","Tepidisphaerales","Gemmatales","Isosphaerales","Pirellulales","Planctomycetales","Acetobacterales","AlphaproteobacteriaIncertae.Sedis.","Azospirillales","Caulobacterales","Holosporales","Micavibrionales","Puniceispirillales","Rhizobiales","Rhodobacterales","Sphingomonadales","Tistrellales","Betaproteobacteriales","Pseudomonadales","Leptospirales","Spirochaetales","Synergistales","Kosmotogales","Petrotogales","Thermotogales","Verrucomicrobiales"
"2006-02-04",28,0,35444,0,472,2,0,14,0,69,313,28,40,0,0,9,4,0,146,3,4,13,9,10,0,0,0,3,2,64,0,2,3,516,19,0,11,11,0,0,19,0,0,0,0,0,539,11,0,36,7,0,178,7,0,0,168,0,0,0,2853,2100,1266,0,1542,2,0,0,0,0,0,0,7
"2006-05-06",0,0,48191,0,263,8,2,30,0,29,418,7,163,0,0,0,0,0,0,0,5,0,2,11,0,0,0,0,0,86,0,8,12,1105,26,0,3,0,0,0,0,0,0,0,0,0,32,0,0,7,22,0,461,11,0,0,91,0,0,0,6878,5452,2159,2,1602,3,0,0,0,0,0,0,11
"2006-10-28",0,0,2046,0,7,0,0,0,0,0,19,0,3,0,0,0,0,0,0,0,0,9,0,2,0,0,4,0,0,14,0,0,0,30,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,14,0,0,0,133,97,143,0,77,0,4,0,0,0,0,0,0
"2007-02-04",0,0,5843,0,2,0,0,2,0,22,37,0,53,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,52,0,2,7,56,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,25,0,0,0,417,170,287,0,156,0,20,0,0,0,0,0,0
"2007-05-06",7,0,49781,0,53,2,0,10,0,171,514,41,137,3,0,0,42,0,0,0,4,2,0,0,0,0,7,0,0,63,0,3,10,634,33,0,22,0,0,0,8,0,0,0,0,0,542,10,0,0,5,0,450,27,0,0,197,3,0,0,3194,2237,2143,0,2382,3,11,0,6,0,0,0,10
"2007-08-19",0,0,4664,0,423,0,0,0,0,5,141,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,73,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,8,2,0,0,2,0,0,0,290,215,91,0,86,0,0,0,0,0,0,0,0
"2007-10-28",4,0,46193,0,317,2,0,5,0,52,1960,399,963,2,0,0,3,0,0,0,0,0,6,52,0,0,72,35,0,155,0,4,11,702,40,0,37,0,0,0,0,0,0,0,0,0,179,17,0,108,20,0,178,21,0,0,194,0,0,0,3361,4015,1938,0,4973,30,3,0,0,0,0,0,12
"2008-02-04",12,0,10371,0,108,0,0,2,0,16,194,16,52,0,0,0,0,0,0,0,0,0,3,2,0,0,8,13,0,12,0,2,0,159,8,0,8,0,0,3,5,0,0,0,0,0,22,0,0,27,0,0,49,3,0,0,56,0,0,0,621,418,343,0,356,0,0,0,0,0,0,0,0
"2008-05-06",6,0,12033,0,28,0,0,2,0,36,174,5,2,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,10,0,19,0,234,8,0,5,0,0,2,0,0,0,0,0,0,9,4,0,26,4,0,68,4,0,0,44,0,0,0,671,203,489,0,478,0,9,0,0,0,0,0,0
"2008-08-19",0,0,8225,0,11,0,0,3,0,43,106,29,231,8,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,41,0,0,3,93,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2,0,0,22,0,0,0,524,1078,692,0,1168,10,0,0,0,0,0,0,0
"2008-10-28",0,0,22901,0,9,0,0,1,0,65,189,12,44,3,0,0,6,2,0,0,5,1,0,23,0,0,0,0,0,7,0,0,0,123,7,0,4,0,0,0,4,0,0,0,0,0,60,0,0,0,2,0,39,3,0,0,55,0,4,0,1096,603,553,0,349,0,0,0,0,0,0,0,3
"2009-02-04",11,0,28942,0,47,3,0,7,0,35,187,47,55,0,0,0,11,0,0,0,0,0,0,3,0,0,4,0,0,38,0,1,3,272,16,0,28,0,0,0,0,0,0,0,0,0,159,0,0,2,7,0,101,0,2,0,72,0,4,0,1586,1870,768,0,790,4,2,0,0,0,0,0,4
"2009-05-06",24,0,60000,0,190,139,0,13,0,257,1145,422,1967,2,0,0,45,0,0,0,0,3,4,4,0,0,94,15,0,395,4,3,19,648,39,0,29,0,0,0,11,0,0,0,0,0,85,3,0,63,7,2,253,97,0,0,111,0,0,0,4627,4132,2248,0,5340,19,97,2,0,0,0,0,16
"2009-08-19",0,0,3672,0,3,0,0,0,0,20,28,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,2,0,6,2,25,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,4,0,0,0,9,0,0,0,158,88,98,0,127,0,4,0,0,0,0,0,0
"2009-10-28",2,0,9129,0,42,0,0,0,0,14,111,7,22,2,0,0,0,0,0,0,0,0,0,2,0,0,3,18,0,0,0,0,5,229,8,0,0,0,0,0,0,0,0,0,0,0,76,0,0,18,0,0,27,0,0,0,25,0,0,0,843,353,341,0,138,0,0,0,0,0,0,0,0
"2010-02-04",2,0,57411,3,76,2,0,6,0,59,1757,504,1172,18,0,0,2,0,0,0,0,2,0,7,0,0,44,5,2,61,0,20,11,744,47,0,24,0,0,0,0,0,0,2,0,0,327,5,0,41,6,0,457,18,0,0,384,0,0,0,5451,4929,2643,0,4466,17,3,0,0,0,0,0,11
"2010-05-06",0,0,10683,0,56,0,0,4,0,26,126,2,8,2,0,0,0,0,0,0,0,0,0,2,0,0,15,0,0,52,0,0,0,133,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,25,3,0,0,28,0,0,0,594,773,217,0,237,0,0,0,0,0,0,0,3
"2010-08-19",7,0,35102,0,185,4,0,14,0,148,286,124,242,14,0,0,42,0,0,0,2,2,0,5,0,0,11,0,0,56,0,11,14,447,21,0,13,4,0,0,0,0,0,0,0,0,60,2,5,3,0,0,180,13,5,0,121,5,0,0,1471,1666,1346,0,1653,6,6,0,0,0,0,0,5
"2010-10-28",12,0,53424,0,105,0,0,7,0,225,376,14,124,0,0,0,3,0,0,0,8,0,0,153,0,0,20,4,0,10,0,1,12,603,33,0,30,0,0,0,0,0,0,0,0,0,438,22,0,2,58,0,269,5,2,0,62,0,0,0,4936,3649,1679,0,1098,0,3,0,0,0,0,0,9
"2011-02-04",3,0,59356,0,33,0,0,3,3,2,477,26,5,0,0,0,14,0,0,0,0,0,12,24,0,0,0,8,1,7,0,0,1,450,9,0,34,0,5,0,0,0,0,0,0,0,123,2,2,37,14,0,124,5,0,0,77,0,0,0,1761,1342,734,0,898,0,0,0,0,0,0,0,4
"2011-08-19",2,0,42794,0,21,2,0,14,0,119,597,40,79,0,0,0,24,0,0,0,6,4,0,0,115,0,0,0,2,19,0,5,11,887,49,0,43,3,4,0,2,0,0,0,0,0,88,0,0,0,10,2,208,9,0,0,67,0,0,0,4032,2507,1450,0,1810,3,5,0,0,0,0,0,6
"2012-02-04",15,0,30391,0,85,0,0,1,0,0,986,45,96,0,0,0,12,0,0,0,0,0,10,27,0,0,21,4,0,35,0,48,5,412,21,0,118,0,0,0,0,0,0,8,0,0,60,3,0,32,62,0,76,19,0,0,101,0,0,0,1869,1670,615,0,1483,0,2,0,0,0,0,0,0
"2012-05-06",8,0,65049,0,45,3,0,8,2,125,1413,33,277,0,0,0,57,0,0,0,2,2,24,26,0,0,18,6,5,47,0,22,41,951,68,0,17,0,0,0,14,0,0,0,0,0,868,9,0,66,29,0,177,20,4,0,203,0,0,0,3862,3158,2741,0,3223,0,9,0,0,0,0,0,0
"2012-08-19",7,0,27801,0,61,3,0,0,3,14,330,6,22,0,0,0,4,0,0,0,0,2,0,28,0,0,50,2,0,38,0,2,0,201,4,0,16,0,0,0,6,0,0,0,0,0,234,10,0,5,14,2,142,7,0,0,50,0,0,0,1726,1403,503,0,2205,0,0,0,0,0,0,0,0
"2012-10-28",0,0,25347,0,110,4,0,18,0,10,126,233,188,4,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,63,0,0,19,310,28,0,2,0,0,0,0,0,0,0,0,0,37,2,0,0,3,0,111,0,0,0,83,0,0,0,1462,2592,569,0,940,0,0,0,0,0,0,0,5
"2013-02-04",0,0,10758,0,17,0,0,0,0,40,106,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,30,0,105,8,0,5,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,56,13,0,0,27,0,0,0,589,280,389,0,822,0,9,0,0,0,0,0,0
"2013-05-06",6,0,17523,0,63,4,0,6,0,94,139,67,240,8,0,0,11,0,0,0,0,0,0,0,0,0,8,0,0,81,0,0,0,195,22,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,86,17,0,0,78,0,0,0,764,1120,832,0,1435,0,16,2,0,0,0,0,5
"2013-08-19",3,0,61576,0,607,6,0,2,0,3,1109,135,282,13,0,0,0,2,0,0,4,2,0,84,0,0,17,4,0,61,0,6,3,168,12,0,22,0,0,0,0,0,0,0,0,0,320,4,0,2,5,0,253,2,0,0,55,0,0,0,5041,3970,895,0,1036,3,0,0,3,0,0,0,0
"2013-10-28",65,0,46826,0,13,2,2,10,0,0,893,26,2,0,0,29,17,2,0,0,9,0,29,48,0,0,3,0,2,2,0,13,2,839,17,0,13,3,0,0,2,0,0,0,0,0,392,9,2,97,199,2,103,6,0,0,220,0,0,0,4281,1623,925,3,1461,0,0,0,0,0,0,0,2
