"","unculturedarchaeon.","Methanobacteriales","Methanococcales","Methanomicrobiales","CandidatusAmesbacteria.bacterium.GW2011_GWC1_47_15.","CandidatusDiapherotrites.archaeon.ADurb.Bin253.","CandidatusPacearchaeota.archaeon.CG1_02_32_21.","CandidatusStaskawiczbacteria.bacterium.RIFOXYA2_FULL_32_7.","Euryarchaeotaarchaeon.SCGC.AAA286.E23.","metagenome","unculturedbacterium.","unculturedeuryarchaeote.","uncultured","Nitrosopumilales","Solibacterales","Aminicenantales","1124.","1124","Blastocatellales","DS100.","Pyrinomonadales","Acanthopleuribacterales","Holophagales","Subgroup7.","unculturedorganism.","Acidobacteriabacterium.SCN.69.37.","unculturedAcidobacteriales.bacterium.","unculturedsludge.bacterium.H3.","Thermoanaerobaculales","Actinomarinales","IMCC26256","Microtrichales","Actinomycetales","Bifidobacteriales","Corynebacteriales","Frankiales","Kineosporiales","Micrococcales","PeM15","Propionibacteriales","Coriobacteriales","Gaiellales","Solirubrobacterales","Armatimonadales","Chthonomonadales","Fimbriimonadales","Bacteroidales","BacteroidetesVC2.1.Bac22.","Chitinophagales","Cytophagales","Flavobacteriales","SM1A07","Sphingobacteriales","Ignavibacteriales","Kryptoniales","OPB56","SJA28.","SJA28","Rhodothermales","Calditrichales","Chlamydiales","120.","Anaerolineales","Ardenticatenales","C10SB1A.","Caldilineales","RBG13.54.9.","RBG13.54.9","SBR1031","SJA15.","Chloroflexales","Thermomicrobiales","unculturedChloroflexi.bacterium.","unculturedChloroflexus.sp..","Cloacimonadales","Caenarcaniphilales","Gastranaerophilales","Obscuribacterales","Vampirovibrionales","Chloroplast","Nostocales","Dadabacteriales","Deinococcales","Babeliales","Elusimicrobiales","LineageIV.","MVP88.","Endomicrobiales","unculturedactinobacterium.","Campylobacterales","Desulfurellales","Fibrobacterales","Bacillales","Lactobacillales","Clostridiales","Erysipelotrichales","Selenomonadales","Fusobacteriales","unculturedGemmatimonadetes.bacterium.","Gemmatimonadales","Hydrogenedentiales","Kiritimatiellales","WCHB141.","WCHB141","Latescibacterales","unculturedLatescibacteria.bacterium.","unculturedPelobacter.sp..","unculturedsoil.bacterium.PBS.III.30.","unculturedsoil.bacterium.","SS1B.02.17.","Nitrospinales","Nitrospirales","Omnitrophales","unculturedOmnitrophica.bacterium.","OmnitrophicaWOR_2.bacterium.RIFOXYA2_FULL_38_17.","mixedculture.isolate.koll11.","uncultureddeep.sea.bacterium.","unculturedplanctomycete.","CandidatusFalkowbacteria.","CandidatusKuenenbacteria.","CandidatusMagasanikbacteria.","CandidatusMagasanikbacteria","Absconditabacteriales.SR1..","Absconditabacteriales.SR1.","CandidatusPeregrinibacteria.","CandidatusPeregrinibacteria","CandidatusPeribacteria.","Gracilibacteriabacterium.canine.oral.taxon.291.","JGI0000069.P22.","JGI0000069.P22","groundwatermetagenome.","wastewatermetagenome.","CandidatusWoesebacteria.","CandidatusWoesebacteria","CandidatusCampbellbacteria.","CandidatusCampbellbacteria","CandidatusKaiserbacteria.","CandidatusKaiserbacteria","CandidatusLloydbacteria.","CandidatusMoranbacteria.","CandidatusMoranbacteria","CandidatusNomurabacteria.","CandidatusVogelbacteria.","unculturedParcubacteria.group.bacterium.","Saccharimonadales","Brocadiales","unculturedCrater.Lake.bacterium.CL500.15.","unculturedPlanctomyces.sp..","unculturedPlanctomycetaceae.bacterium.","unculturedPlanctomycetales.bacterium.","C86","CCM11a","Phycisphaerales","Pla1lineage.","S70.","S70","Tepidisphaerales","mle18.","mle18","unculturedrumen.bacterium.","Gemmatales","Isosphaerales","Pirellulales","Planctomycetales","unculturedAntarctic.bacterium.LB3.147.","Acetobacterales","Azospirillales","Caedibacterales","Caulobacterales","Dongiales","Elsterales","Holosporales","Kordiimonadales","Micavibrionales","Micropepsales","Paracaedibacterales","Parvibaculales","Puniceispirillales","Reyranellales","Rhizobiales","Rhodobacterales","Rhodospirillales","Rhodovibrionales","Rickettsiales","Sneathiellales","Sphingomonadales","Thalassobaculales","Tistrellales","Bdellovibrionales","Bradymonadales","Desulfarculales","Desulfobacterales","Desulfovibrionales","Desulfuromonadales","MBNT15","Myxococcales","NB1j.","NB1j","Oligoflexales","PB19","SAR324clade.Marine.group.B..","SAR324clade.Marine.group.B.","Sva0485","Syntrophobacterales","Acidiferrobacterales","Aeromonadales","Alteromonadales","Arenicellales","BD72BR169","Beggiatoales","Betaproteobacteriales","CCD24","CCM19a","CHABXI.27.","CHABXI.27","Cardiobacteriales","Cellvibrionales","Chromatiales","Competibacterales","Coxiellales","Diplorickettsiales","EC3","EPR3968O8a.Bc78.","EV818SWSAP88","Ectothiorhodospirales","Enterobacteriales","F9P41300M23.","Francisellales","Ga0077536","GammaproteobacteriaIncertae.Sedis.","HOC36","Immundisolibacterales","JG36GS.52.","JG36TzT.191.","JTB23","KI89Aclade.","KI89Aclade","Legionellales","MBAE14","Methylococcales","Nitrococcales","Nitrosococcales","OM182clade.","OM182clade","Oceanospirillales","PLTA13","Pasteurellales","Piscirickettsiales","Pseudomonadales","R7C24","RunSP154.","Steroidobacterales","Tenderiales","Thiohalorhabdales","Thiotrichales","Vibrionales","WD260","Xanthomonadales","eub62A3","Brachyspirales","Leptospirales","Brevinematales","Spirochaetales","unculturedSpirochaetales.bacterium.","Synergistales","Izimaplasmatales","MollicutesRF39.","MollicutesRF39","Kosmotogales","Petrotogales","Chthoniobacterales","LD1PB3.","Methylacidiphilales","Opitutales","Pedosphaerales","Verrucomicrobiales","hydrothermalvent.metagenome.","unculturedFirmicutes.bacterium."
"2014/2/18",0,0,0,0,0,0,0,0,0,0,16,0,28,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,2,0,0,40,0,0,0,0,0,0,0,2,0,0,0,7,0,120,9,107,0,2,0,0,0,2,0,0,167,0,0,0,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,14,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,48,0,0,12,0,4,0,11,0,0,0,4,0,0,0,6,0,2,0,0,0,0,0,0,0,0,2,0,0,0,104,0,2,0,0,0,71,35,2,0,0,0,0,0,0,0,0,0,0,16,0,4,0,0,0,2,0,0,18,0,0,0,0,0,19,0,0,0,18,0,0,0,0,0,0,41,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014/3/4",2,2,0,0,0,0,0,0,9,15,517,20,830,173,13,0,0,0,7,0,0,142,0,0,9,0,0,0,22,22,14,108,2,21,106,0,0,47,70,10,2,2,88,0,0,17,51,0,3011,679,1713,2,126,8,0,99,442,2,14,582,36,32,0,151,0,116,0,0,101,0,0,97,9,0,0,0,0,84,27,8,0,47,2,27,0,0,0,0,0,136,0,6,27,29,308,22,9,16,6,22,22,0,40,24,101,7,0,2,0,0,108,493,26,0,0,0,3,6,0,0,12,0,9,9,41,12,2,0,0,0,3,0,0,0,0,0,10,2,0,4,0,0,0,0,7,0,0,11,0,12,2,6,55,0,2,3,0,6,5,0,7,0,215,390,0,3,3,8,122,0,0,12,58,291,0,4,0,37,0,760,713,22,19,151,0,119,29,55,217,67,11,11,3,2,0,666,20,9,36,277,27,24,18,9,0,5,23,0,5,0,3558,0,41,0,0,2,1201,946,3,21,10,2,2,3,0,25,0,7,25,478,11,13,0,0,3,14,7,4,179,0,19,17,41,6,338,7,16,2,654,0,0,0,19,0,2,236,0,617,34,0,198,0,5,0,9,0,0,0,0,0,0,0,4,12,21,148,6,0
"2014/3/18",0,0,0,0,0,0,0,0,0,0,2,0,32,0,4,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,0,0,0,23,0,291,0,5,0,58,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,18,0,2,0,0,0,0,0,0,0,0,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,12,0,0,0,0,0,0,15,0,0,6,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"2014/4/1",8,0,0,0,8,0,0,0,2,46,1242,46,1295,555,21,0,0,0,14,0,0,203,0,0,25,0,0,0,81,35,16,143,0,36,249,0,0,50,125,28,3,18,268,0,0,22,56,0,3502,1150,3107,0,272,4,0,249,466,3,12,1118,58,37,13,246,0,174,0,0,350,0,0,226,23,0,0,3,0,116,33,7,0,85,6,64,0,0,0,0,0,172,0,10,40,26,323,10,13,15,12,46,34,0,40,6,209,35,0,13,0,0,237,762,43,8,2,0,3,27,0,0,3,0,11,0,0,7,2,8,2,9,4,5,0,2,2,0,16,2,0,0,0,0,0,0,9,0,0,21,2,12,4,14,112,4,4,0,0,22,14,0,50,0,371,479,0,9,16,0,201,2,0,22,80,418,4,2,2,28,0,1409,1394,56,55,217,0,215,54,49,396,41,43,17,15,0,0,1195,59,9,75,399,69,24,17,6,0,2,28,0,5,0,7296,0,55,0,0,0,2059,1372,5,35,9,14,5,0,21,20,0,26,53,152,11,10,0,0,10,21,15,0,195,0,97,34,33,11,485,9,9,0,977,0,0,0,10,0,3,259,0,689,111,0,368,0,19,0,4,0,0,0,0,0,0,0,5,12,40,291,7,0
"2014/4/15",11,2,2,0,0,2,0,6,5,63,829,84,1680,6,34,0,0,0,4,0,0,230,0,0,25,0,0,0,79,10,8,238,0,47,218,0,0,26,163,43,10,28,233,0,0,6,70,2,4415,1039,2061,3,301,33,0,274,531,0,30,1005,47,259,15,625,0,433,0,0,348,0,0,301,20,0,0,4,0,190,88,8,0,20,5,611,0,0,0,0,0,61,0,2,11,45,495,25,13,6,12,21,24,0,49,23,321,0,0,6,0,4,42,1412,38,0,0,2,6,4,0,0,5,0,18,0,11,0,0,0,0,3,0,2,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,50,2,25,84,4,0,0,0,2,24,0,48,0,609,798,0,3,7,2,171,0,0,13,77,666,7,3,0,46,0,1608,1080,45,16,208,2,200,71,136,408,23,17,64,21,0,2,931,17,19,166,199,144,65,10,57,0,6,11,4,4,0,8911,0,69,2,0,0,2143,3819,348,20,2,13,8,10,23,17,0,8,76,124,151,14,0,0,23,24,0,0,325,0,175,52,11,13,196,18,4,2,341,0,0,0,25,0,0,60,0,449,8,0,356,0,47,0,6,2,0,0,0,0,5,0,0,21,59,296,58,0
"2014/4/29",20,0,0,2,0,0,0,2,191,33,371,76,745,8,13,0,0,0,2,0,0,127,4,0,97,0,0,0,54,2,0,137,0,19,77,0,0,17,100,17,3,11,100,0,0,5,55,2,2686,419,1082,0,213,10,0,94,138,0,16,565,27,133,18,535,0,219,0,0,178,0,0,83,9,0,2,0,0,173,51,5,0,4,4,67,0,0,2,0,0,59,0,0,0,34,266,18,4,12,2,9,14,0,28,2,38,0,0,11,0,0,7,676,36,0,0,0,2,5,0,0,0,0,33,0,19,0,0,0,7,9,0,0,2,6,0,0,86,0,0,0,0,0,0,0,2,0,0,4,0,13,0,6,42,2,3,2,0,12,10,2,13,0,240,310,0,4,0,0,74,0,0,11,42,1080,2,2,0,2,0,780,416,49,7,113,3,132,77,61,340,31,3,105,31,2,2,441,10,14,30,143,40,25,6,10,0,13,10,2,0,0,3359,0,55,0,0,0,1301,7416,687,0,0,10,4,2,0,8,0,0,53,31,28,15,0,0,4,14,0,0,115,2,404,21,6,4,337,6,6,0,391,0,0,0,33,0,0,101,0,70,20,0,190,2,49,0,15,0,0,0,0,4,0,2,0,27,33,148,19,0
"2014/5/16",13,2,0,3,0,0,0,14,295,48,520,78,1200,14,18,0,0,0,2,0,0,176,0,0,114,2,0,0,76,10,11,219,5,39,115,0,0,32,183,31,10,14,161,0,0,0,169,0,4735,667,2036,0,369,15,0,137,182,0,16,876,27,295,36,886,0,564,0,0,210,0,0,155,9,0,6,0,0,220,96,7,0,10,5,62,0,0,8,0,0,164,0,0,0,34,441,14,11,27,0,7,21,0,36,25,44,0,0,15,0,0,18,1208,68,0,0,0,7,2,0,3,2,0,76,0,25,0,0,0,2,13,0,0,2,0,0,0,83,0,0,0,0,0,0,0,13,0,0,0,3,16,3,13,86,2,8,6,0,18,18,4,25,0,529,751,0,0,4,0,112,0,0,4,80,1479,3,6,5,24,0,1536,682,65,26,188,3,182,105,99,512,43,14,418,71,2,0,699,12,13,40,224,121,48,9,24,0,18,16,6,0,0,5597,0,67,0,0,2,1710,11988,1212,8,0,13,4,6,0,34,0,3,71,34,24,19,0,0,3,20,0,0,142,7,413,24,0,11,406,4,28,0,402,0,0,0,22,0,4,183,0,114,65,0,183,0,89,0,64,7,0,0,4,19,4,0,0,23,52,248,36,0
"2014/6/3",0,3,0,0,0,0,0,0,0,0,5,0,52,0,6,0,31,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,27,0,504,11,11,0,136,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,7,0,17,0,0,23,0,3,0,0,0,0,0,0,0,0,0,2,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,0,13,0,11,0,0,20,0,0,0,0,0,0,27,2,0,11,3,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,5,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
"2014/6/18",17,0,0,0,2,0,0,2,21,20,366,63,738,9,14,0,0,0,3,0,0,97,0,0,28,0,0,0,47,8,3,102,0,19,87,0,0,23,72,10,3,2,115,0,0,0,54,3,2224,474,948,0,202,14,0,118,231,0,16,551,38,113,5,287,0,226,0,0,98,0,0,105,4,0,0,2,0,106,46,6,0,11,2,160,0,0,5,0,0,45,0,2,5,21,231,17,17,6,2,15,4,0,42,23,141,0,0,2,0,0,15,640,29,0,0,0,2,4,0,0,2,0,4,0,23,0,0,0,4,2,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,9,53,4,2,0,0,8,8,0,31,0,309,460,0,0,2,0,94,0,0,4,37,366,0,2,0,25,0,680,434,31,9,126,0,83,34,41,219,10,8,37,10,0,0,301,10,6,80,127,40,44,4,9,0,10,3,0,0,0,3677,0,46,0,0,0,1023,2392,238,11,0,34,0,0,24,18,0,4,31,48,122,3,0,0,12,13,2,2,123,0,247,25,4,4,137,10,7,0,267,0,0,0,13,0,0,66,0,187,23,0,120,0,51,0,13,0,0,0,0,8,2,0,0,14,26,176,18,0
"2014/6/30",9,3,0,0,0,0,0,0,12,32,1055,38,1627,454,24,0,0,0,17,0,0,228,0,0,30,0,0,0,52,15,26,203,2,38,210,0,0,134,124,23,3,11,179,0,0,39,78,0,5768,1456,3860,0,177,10,0,191,679,0,25,1224,52,40,3,221,2,218,0,0,311,0,0,184,29,0,0,0,0,128,39,5,0,68,17,31,0,0,0,0,0,217,0,19,40,30,366,10,10,19,8,66,15,0,120,23,250,24,0,18,0,0,193,826,33,2,0,0,9,12,0,0,13,0,14,5,44,14,0,2,5,0,10,12,0,5,0,0,11,5,0,0,0,0,0,0,7,0,0,10,2,13,2,22,99,0,8,4,0,14,13,0,16,0,387,928,0,3,11,14,288,0,0,21,120,500,3,4,0,68,0,1501,1926,47,36,319,0,297,54,81,549,160,34,26,11,3,0,1480,30,16,74,725,70,38,29,11,0,2,28,2,7,0,10515,0,83,3,0,0,2535,1837,2,26,25,19,6,0,37,15,0,20,49,841,27,21,0,0,5,19,15,3,282,0,62,45,42,10,590,12,35,4,1157,0,0,0,14,0,9,399,0,1368,67,0,440,0,20,0,12,0,0,0,4,0,0,0,4,19,28,378,14,0
"2014/7/16",0,0,0,0,0,0,0,0,0,0,4,0,16,0,5,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,0,427,4,2,0,51,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,9,0,11,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,3,0,18,0,0,6,0,4,0,0,0,0,16,0,0,2,0,2,0,0,0,0,4,0,0,0,0,138,0,0,0,0,0,12,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"2014/7/28",2,4,0,0,0,0,0,0,20,21,719,6,1323,50,16,0,0,0,4,0,0,67,0,0,17,0,0,0,25,6,289,257,0,31,257,0,0,945,143,30,9,22,237,0,0,12,53,0,4554,924,5731,7,225,35,0,84,381,1,13,1407,26,31,8,206,0,133,0,0,337,0,0,110,69,0,0,11,0,70,11,3,0,21,15,12,0,0,2,0,0,231,0,17,8,18,243,8,9,14,5,42,13,0,126,15,136,25,0,8,0,0,189,747,36,0,0,0,0,102,0,0,34,0,26,6,4,0,0,5,0,11,3,26,0,3,0,0,4,10,0,0,0,0,0,0,18,0,0,10,8,41,0,27,111,0,4,6,0,3,6,0,15,0,330,416,0,2,16,0,210,0,0,0,168,231,4,25,5,137,0,1442,2559,26,15,136,0,280,42,258,528,38,15,22,9,0,0,1830,22,14,79,344,48,29,9,3,0,6,52,4,5,0,9242,0,67,2,0,2,3007,1053,4,69,0,0,6,4,4,14,5,14,41,339,19,32,0,0,2,11,4,0,403,0,12,34,30,8,476,2,33,0,880,0,0,0,9,0,41,509,0,640,439,0,150,0,8,0,11,0,0,0,2,0,0,0,3,24,26,419,21,0
"2014/8/18",12,54,0,0,0,0,0,0,0,113,423,103,606,0,141,3,159,4,365,109,3,0,337,12,15,0,2,0,71,0,8,71,9,14,89,0,11,5,59,45,0,7,49,0,0,58,387,0,3930,597,612,58,1222,10,0,261,37,0,7,0,69,21,150,35,318,187,80,2,342,58,54,40,7,2,3,0,2,165,84,0,0,2,4,131,0,2,178,3,4,71,2,30,2,76,546,15,10,43,0,164,27,0,6,6,0,0,5,0,9,0,0,741,40,0,0,0,0,4,2,0,0,4,5,0,0,6,5,0,0,0,0,0,0,8,0,2,0,0,0,61,0,5,0,0,36,0,9,0,0,0,0,0,49,0,7,0,28,9,0,0,330,84,124,265,0,59,111,0,339,451,0,6,0,100,18,57,0,0,31,359,62,132,9,148,0,127,0,13,315,0,22,19,6,2,0,1688,26,0,337,27,114,29,0,6,0,36,0,0,0,0,5665,6,17,0,0,0,53,26,230,3,71,6,0,0,4,30,0,0,37,35,0,0,9,2,0,0,0,13,0,82,0,0,0,0,102,34,0,0,363,16,103,36,0,0,10,0,2,115,0,0,651,2,51,12,2,0,0,12,0,0,6,0,0,74,582,161,0,3
"2014/9/5",0,0,0,0,0,0,0,0,0,0,0,0,31,0,5,0,8,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,15,0,440,4,7,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,4,0,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,12,0,20,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,11,0,0,0,0,0,0,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,10,0,2,0,0
