"","Solibacterales","Blastocatellales","uncultured","Microtrichales","Propionibacteriales","Streptomycetales","Streptosporangiales","Coriobacteriales","Fimbriimonadales","Bacteroidales","Chitinophagales","Cytophagales","Flavobacteriales","Sphingobacteriales","Chlorobiales","Ignavibacteriales","OPB56","SJA28.","SJA28","Caldisericales","Anaerolineales","Ardenticatenales","SBR1031","Chloroflexales","Thermomicrobiales","Cloacimonadales","Obscuribacterales","Chloroplast","Nostocales","Campylobacterales","Fibrobacterales","Bacillales","Lactobacillales","Clostridiales","Erysipelotrichales","Fusobacteriales","Gemmatimonadales","CandidatusKomeilibacteria.","CandidatusPeregrinibacteria.","CandidatusPeribacteria.","CandidatusPeribacteria","JGI0000069.P22","CandidatusCurtissbacteria.","CandidatusRoizmanbacteria.","CandidatusNomurabacteria","CandidatusZambryskibacteria.","Saccharimonadales","Phycisphaerales","Tepidisphaerales","Gemmatales","Isosphaerales","Pirellulales","Planctomycetales","Acetobacterales","AlphaproteobacteriaIncertae.Sedis.","Azospirillales","Caulobacterales","Holosporales","Micavibrionales","Puniceispirillales","Rhizobiales","Rhodobacterales","Sphingomonadales","Tistrellales","Betaproteobacteriales","Pseudomonadales","Leptospirales","Spirochaetales","Synergistales","Kosmotogales","Petrotogales","Thermotogales","Verrucomicrobiales"
"2006-02-04",92,0,54675,0,133,0,2,16,0,38,874,102,503,0,0,0,9,0,0,0,4,0,2,18,0,0,29,7,0,59,0,2,9,871,54,0,21,0,0,0,0,0,0,0,0,0,472,6,0,15,12,0,123,30,0,0,508,2,0,0,5496,4558,2173,0,3660,4,0,0,0,0,0,0,9
"2006-05-06",0,0,14878,0,0,0,0,5,0,15,233,22,25,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,2,225,10,0,7,0,0,0,0,0,0,0,0,0,174,0,0,0,7,0,34,0,0,0,107,3,0,0,1136,1472,483,0,1140,0,0,0,0,0,0,0,0
"2006-08-19",8,0,39839,0,293,6,0,18,0,24,876,384,435,0,0,2,11,0,0,0,0,52,8,40,0,0,20,4,0,22,0,2,21,682,56,0,16,0,2,2,0,0,0,0,0,0,125,4,0,60,13,8,300,8,0,0,122,3,2,0,2748,3819,1245,0,1731,5,0,2,0,0,0,0,6
"2006-10-28",5,0,40404,0,33,0,2,6,0,38,269,113,55,0,0,0,17,0,0,0,6,42,6,20,2,0,2,2,8,21,0,4,7,677,28,0,10,5,0,0,11,0,0,0,0,0,169,4,0,0,8,0,222,29,0,0,255,0,0,0,2967,3344,1341,0,2420,3,0,0,0,0,0,0,4
"2007-02-04",0,0,10510,0,2,3,0,0,0,26,29,20,9,2,0,0,8,5,0,0,0,19,0,6,0,0,0,0,0,0,0,0,0,59,3,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,3,0,0,0,32,0,0,0,476,272,238,0,148,0,0,0,0,0,0,0,0
"2007-05-06",0,47,14247,0,0,0,0,0,0,12,8,74,827,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,6,0,44,0,0,0,0,0,0,0,0,0,0,0,0,8,41,0,0,0,0,42,134,0,0,11,0,0,0,4742,780,948,0,192,0,0,0,0,0,0,0,0
"2007-08-19",2,0,26925,0,145,0,2,10,0,18,475,64,51,0,0,6,10,0,2,0,2,31,5,52,0,0,8,2,4,7,0,7,7,385,10,0,15,2,0,2,0,0,3,0,0,0,97,0,0,66,24,12,150,4,4,0,89,0,0,0,1883,1506,589,0,811,0,0,0,0,0,0,0,4
"2007-10-28",44,17,53296,0,469,3,0,9,2,21,1544,67,204,3,0,0,30,0,0,0,0,9,26,20,0,0,70,0,5,105,0,5,21,1380,60,0,127,5,0,6,22,0,6,0,0,0,16,8,2,74,37,18,239,19,0,0,136,0,0,0,3583,2135,2088,0,3102,0,3,0,0,0,0,0,8
"2008-02-04",0,0,5138,0,21,0,0,2,0,28,16,2,42,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,23,0,0,3,41,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,5,0,0,0,254,140,290,0,140,0,15,0,0,0,0,0,0
"2008-05-06",0,0,5099,0,10,0,0,4,0,8,32,7,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,101,3,0,0,0,0,0,0,0,0,0,0,0,66,0,0,2,0,0,13,0,0,0,14,0,0,0,482,360,190,0,369,0,0,0,0,0,0,0,2
