"","unculturedarchaeon.","Methanobacteriales","Methanococcales","Methanomicrobiales","CandidatusAmesbacteria.bacterium.GW2011_GWC1_47_15.","CandidatusDiapherotrites.archaeon.ADurb.Bin253.","CandidatusPacearchaeota.archaeon.CG1_02_32_21.","CandidatusStaskawiczbacteria.bacterium.RIFOXYA2_FULL_32_7.","Euryarchaeotaarchaeon.SCGC.AAA286.E23.","metagenome","unculturedbacterium.","unculturedeuryarchaeote.","uncultured","Nitrosopumilales","Solibacterales","Aminicenantales","1124.","1124","Blastocatellales","DS100.","Pyrinomonadales","Acanthopleuribacterales","Holophagales","Subgroup7.","unculturedorganism.","Acidobacteriabacterium.SCN.69.37.","unculturedAcidobacteriales.bacterium.","unculturedsludge.bacterium.H3.","Thermoanaerobaculales","Actinomarinales","IMCC26256","Microtrichales","Actinomycetales","Bifidobacteriales","Corynebacteriales","Frankiales","Kineosporiales","Micrococcales","PeM15","Propionibacteriales","Coriobacteriales","Gaiellales","Solirubrobacterales","Armatimonadales","Chthonomonadales","Fimbriimonadales","Bacteroidales","BacteroidetesVC2.1.Bac22.","Chitinophagales","Cytophagales","Flavobacteriales","SM1A07","Sphingobacteriales","Ignavibacteriales","Kryptoniales","OPB56","SJA28.","SJA28","Rhodothermales","Calditrichales","Chlamydiales","120.","Anaerolineales","Ardenticatenales","C10SB1A.","Caldilineales","RBG13.54.9.","RBG13.54.9","SBR1031","SJA15.","Chloroflexales","Thermomicrobiales","unculturedChloroflexi.bacterium.","unculturedChloroflexus.sp..","Cloacimonadales","Caenarcaniphilales","Gastranaerophilales","Obscuribacterales","Vampirovibrionales","Chloroplast","Nostocales","Dadabacteriales","Deinococcales","Babeliales","Elusimicrobiales","LineageIV.","MVP88.","Endomicrobiales","unculturedactinobacterium.","Campylobacterales","Desulfurellales","Fibrobacterales","Bacillales","Lactobacillales","Clostridiales","Erysipelotrichales","Selenomonadales","Fusobacteriales","unculturedGemmatimonadetes.bacterium.","Gemmatimonadales","Hydrogenedentiales","Kiritimatiellales","WCHB141.","WCHB141","Latescibacterales","unculturedLatescibacteria.bacterium.","unculturedPelobacter.sp..","unculturedsoil.bacterium.PBS.III.30.","unculturedsoil.bacterium.","SS1B.02.17.","Nitrospinales","Nitrospirales","Omnitrophales","unculturedOmnitrophica.bacterium.","OmnitrophicaWOR_2.bacterium.RIFOXYA2_FULL_38_17.","mixedculture.isolate.koll11.","uncultureddeep.sea.bacterium.","unculturedplanctomycete.","CandidatusFalkowbacteria.","CandidatusKuenenbacteria.","CandidatusMagasanikbacteria.","CandidatusMagasanikbacteria","Absconditabacteriales.SR1..","Absconditabacteriales.SR1.","CandidatusPeregrinibacteria.","CandidatusPeregrinibacteria","CandidatusPeribacteria.","Gracilibacteriabacterium.canine.oral.taxon.291.","JGI0000069.P22.","JGI0000069.P22","groundwatermetagenome.","wastewatermetagenome.","CandidatusWoesebacteria.","CandidatusWoesebacteria","CandidatusCampbellbacteria.","CandidatusCampbellbacteria","CandidatusKaiserbacteria.","CandidatusKaiserbacteria","CandidatusLloydbacteria.","CandidatusMoranbacteria.","CandidatusMoranbacteria","CandidatusNomurabacteria.","CandidatusVogelbacteria.","unculturedParcubacteria.group.bacterium.","Saccharimonadales","Brocadiales","unculturedCrater.Lake.bacterium.CL500.15.","unculturedPlanctomyces.sp..","unculturedPlanctomycetaceae.bacterium.","unculturedPlanctomycetales.bacterium.","C86","CCM11a","Phycisphaerales","Pla1lineage.","S70.","S70","Tepidisphaerales","mle18.","mle18","unculturedrumen.bacterium.","Gemmatales","Isosphaerales","Pirellulales","Planctomycetales","unculturedAntarctic.bacterium.LB3.147.","Acetobacterales","Azospirillales","Caedibacterales","Caulobacterales","Dongiales","Elsterales","Holosporales","Kordiimonadales","Micavibrionales","Micropepsales","Paracaedibacterales","Parvibaculales","Puniceispirillales","Reyranellales","Rhizobiales","Rhodobacterales","Rhodospirillales","Rhodovibrionales","Rickettsiales","Sneathiellales","Sphingomonadales","Thalassobaculales","Tistrellales","Bdellovibrionales","Bradymonadales","Desulfarculales","Desulfobacterales","Desulfovibrionales","Desulfuromonadales","MBNT15","Myxococcales","NB1j.","NB1j","Oligoflexales","PB19","SAR324clade.Marine.group.B..","SAR324clade.Marine.group.B.","Sva0485","Syntrophobacterales","Acidiferrobacterales","Aeromonadales","Alteromonadales","Arenicellales","BD72BR169","Beggiatoales","Betaproteobacteriales","CCD24","CCM19a","CHABXI.27.","CHABXI.27","Cardiobacteriales","Cellvibrionales","Chromatiales","Competibacterales","Coxiellales","Diplorickettsiales","EC3","EPR3968O8a.Bc78.","EV818SWSAP88","Ectothiorhodospirales","Enterobacteriales","F9P41300M23.","Francisellales","Ga0077536","GammaproteobacteriaIncertae.Sedis.","HOC36","Immundisolibacterales","JG36GS.52.","JG36TzT.191.","JTB23","KI89Aclade.","KI89Aclade","Legionellales","MBAE14","Methylococcales","Nitrococcales","Nitrosococcales","OM182clade.","OM182clade","Oceanospirillales","PLTA13","Pasteurellales","Piscirickettsiales","Pseudomonadales","R7C24","RunSP154.","Steroidobacterales","Tenderiales","Thiohalorhabdales","Thiotrichales","Vibrionales","WD260","Xanthomonadales","eub62A3","Brachyspirales","Leptospirales","Brevinematales","Spirochaetales","unculturedSpirochaetales.bacterium.","Synergistales","Izimaplasmatales","MollicutesRF39.","MollicutesRF39","Kosmotogales","Petrotogales","Chthoniobacterales","LD1PB3.","Methylacidiphilales","Opitutales","Pedosphaerales","Verrucomicrobiales","hydrothermalvent.metagenome.","unculturedFirmicutes.bacterium."
"2014/2/18",0,0,0,0,0,0,0,0,0,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,9,0,0,0,0,0,0,0,0,0,0,92,0,124,0,2,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,5,2,0,0,0,3,0,0,98,2,0,0,0,17,0,12,4,3,0,0,0,0,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,116,14,0,0,0,0,0,0,2,0,0,0,0,16,0,0,0,0,0,0,0,0,15,0,0,0,2,0,10,0,2,0,2,0,0,0,0,0,0,25,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014/3/4",24,5,5,0,0,0,0,4,103,50,533,64,1072,21,21,0,0,0,3,0,0,112,0,0,100,0,0,0,52,2,2,214,0,22,133,0,0,22,119,30,5,18,133,0,0,0,65,0,3879,617,1595,2,275,17,0,135,300,0,30,634,34,196,20,522,0,375,0,0,397,0,0,194,12,0,0,0,0,132,61,6,2,15,5,140,0,0,2,0,0,56,0,7,5,28,327,16,18,2,6,9,10,0,21,22,156,0,0,4,0,3,28,1065,35,0,0,0,2,7,0,2,0,0,35,0,7,0,0,0,0,3,0,0,0,8,0,0,10,0,0,0,0,0,0,0,8,0,0,4,0,10,0,10,86,2,4,2,0,19,27,0,48,0,499,797,0,0,4,0,122,0,0,10,45,795,7,19,0,22,0,1149,696,61,11,165,2,141,76,66,289,47,18,93,28,0,0,591,20,15,47,174,48,50,10,8,0,10,10,0,2,0,7388,0,54,0,0,2,1523,6056,731,14,2,33,4,0,5,13,0,6,48,51,70,5,0,0,8,14,0,0,132,0,972,13,3,4,251,13,5,0,496,0,0,0,5,2,0,67,0,165,10,0,158,0,69,0,20,5,0,0,2,11,0,0,0,20,33,262,32,0
"2014/3/18",0,0,0,0,0,0,0,0,0,0,4,0,30,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,115,25,174,0,2,0,0,0,2,0,0,279,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,21,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,2,0,0,0,7,2,0,0,0,7,0,6,88,0,0,10,0,6,0,19,0,2,0,0,0,0,0,2,0,0,0,23,0,2,0,0,0,0,0,0,0,0,102,0,0,0,0,0,106,38,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,11,0,0,0,3,0,8,0,3,0,3,0,0,0,0,0,0,44,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"2014/4/1",0,51,0,0,0,0,0,0,0,99,554,5,767,0,152,0,239,3,749,57,2,0,424,5,7,0,0,6,46,0,7,74,14,35,49,45,12,31,59,67,0,2,138,0,0,56,1811,0,5879,680,936,14,3090,10,13,408,33,0,8,0,40,19,55,6,170,262,43,3,120,4,82,51,8,0,0,0,0,112,26,0,0,6,7,65,0,3,91,4,0,178,2,202,4,70,945,11,33,41,0,97,33,0,13,6,0,0,8,0,22,0,0,817,7,0,0,0,0,3,0,0,0,4,78,0,0,0,0,0,0,0,0,3,3,11,0,0,0,0,7,25,0,26,0,0,113,0,6,0,0,0,0,0,141,0,7,0,28,6,0,0,183,67,98,420,2,203,81,12,283,339,0,4,0,57,57,61,0,0,26,458,164,114,3,224,0,273,0,42,628,0,37,8,35,2,0,2923,22,0,409,48,69,17,0,5,0,41,0,0,0,0,11743,0,5,0,0,0,456,7,339,9,70,7,0,4,4,41,0,0,39,87,0,0,10,4,0,0,0,14,0,67,0,0,0,0,493,53,0,0,1548,38,20,26,0,0,4,0,11,218,0,5,959,0,162,35,6,0,0,10,0,0,12,0,0,210,734,311,0,0
"2014/4/15",26,0,0,0,0,0,0,6,269,47,623,69,1400,20,28,0,0,0,0,0,0,260,0,0,112,0,0,0,78,0,0,198,2,40,142,0,0,30,167,31,6,10,165,0,0,0,115,0,4959,906,2203,0,388,15,0,188,288,0,26,959,40,231,35,867,0,459,0,0,363,0,0,169,13,0,0,0,0,226,110,15,2,21,0,97,0,0,3,0,0,142,0,7,5,50,492,18,14,24,9,14,20,0,31,19,61,0,0,8,0,0,16,1523,69,0,0,0,5,6,0,0,0,0,63,0,19,0,0,0,18,11,0,5,0,11,0,0,122,0,0,0,0,0,0,0,5,0,0,0,0,13,0,21,93,0,4,3,0,21,27,5,48,0,469,749,0,4,0,0,165,0,0,6,56,1884,0,4,3,24,0,1336,683,57,17,225,0,221,95,70,580,38,15,185,74,0,0,640,20,12,70,199,96,55,13,22,0,12,17,4,0,2,6854,0,88,0,0,0,2185,10823,1225,2,0,16,4,20,0,24,0,0,73,44,46,26,0,0,5,18,5,9,192,4,715,30,8,12,396,13,18,0,865,0,0,0,24,0,3,176,0,141,17,0,265,3,118,0,54,2,0,0,2,12,3,4,0,46,68,294,35,0
"2014/4/29",50,4,3,0,0,0,0,3,137,47,801,98,1650,35,21,2,0,0,0,0,0,255,2,0,166,0,0,0,78,7,12,232,3,38,135,0,0,31,136,33,11,18,197,0,0,0,116,0,5736,862,2364,5,467,25,0,211,366,0,33,1041,46,268,30,1110,0,558,0,0,511,0,0,205,14,0,0,5,0,215,94,10,0,12,11,198,0,0,0,0,0,119,0,0,2,53,474,12,14,12,10,15,22,2,43,31,83,8,0,9,0,0,24,2056,87,0,0,0,11,5,0,0,0,0,54,0,19,0,0,0,10,17,0,3,0,6,0,0,369,0,0,0,0,0,0,0,8,3,0,0,0,15,2,8,78,3,3,0,0,9,14,3,47,0,504,919,0,8,4,2,163,0,0,17,73,1474,2,14,0,30,0,1582,907,67,22,284,2,233,73,105,600,44,26,145,42,0,0,796,16,22,85,238,94,86,19,30,0,18,20,0,0,2,9148,0,101,10,0,0,2172,11122,1185,17,0,37,3,42,28,19,2,2,69,55,85,35,0,0,9,29,8,4,183,0,1173,26,3,12,409,12,17,0,830,0,0,0,28,0,2,103,0,173,8,0,258,2,72,0,38,3,0,0,0,16,8,0,0,61,72,356,53,0
"2014/5/16",18,0,0,0,0,0,0,6,73,41,452,63,930,18,22,0,0,0,0,0,0,122,0,0,65,2,0,0,52,7,0,219,2,17,143,0,0,15,148,36,5,10,149,0,0,0,68,3,2868,481,1183,0,239,17,0,122,234,0,15,595,26,130,13,598,0,287,0,0,362,0,0,156,6,0,2,2,0,135,62,14,3,10,8,90,0,0,3,0,0,66,0,3,6,33,280,17,11,7,6,16,12,0,18,24,150,0,0,8,0,0,20,846,31,0,0,0,5,12,0,0,0,0,8,0,19,0,0,0,12,3,0,3,0,7,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,10,79,0,4,3,0,11,12,0,41,0,408,476,0,5,8,0,108,0,0,11,42,630,0,7,0,21,0,923,604,50,30,142,2,125,83,78,263,41,29,77,35,0,3,526,22,15,50,158,50,45,15,16,0,15,8,4,0,0,5868,0,69,0,0,0,1529,4925,733,6,0,28,0,0,0,12,0,0,41,41,91,7,0,0,11,22,0,0,142,0,747,21,15,9,202,12,15,0,454,0,0,0,26,0,2,62,0,174,22,0,188,0,78,0,27,2,0,0,0,5,2,0,3,14,41,242,32,0
"2014/6/3",0,0,0,0,0,0,0,0,0,0,12,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,9,0,0,11,0,0,0,0,7,0,0,0,0,0,156,17,147,0,8,0,0,0,2,0,0,315,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,111,0,0,4,0,10,2,39,7,0,0,2,0,0,0,10,0,0,0,26,0,0,0,0,0,0,6,0,0,0,155,0,0,0,0,0,172,52,0,0,0,0,0,0,0,0,0,3,0,42,0,0,0,0,0,0,0,0,13,0,0,0,2,0,9,0,0,0,2,0,0,0,0,0,0,41,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"2014/6/18",0,0,0,0,0,0,0,0,0,0,2,0,20,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,44,13,77,0,0,0,0,0,0,0,0,162,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,5,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,6,2,0,0,0,3,0,7,37,0,0,2,0,14,0,5,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,44,0,0,0,0,0,56,15,0,0,0,0,0,0,0,0,0,2,2,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"2014/6/30",0,2,0,0,0,0,0,0,0,0,2,0,19,0,7,0,8,0,0,0,0,0,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,334,4,3,0,30,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,17,0,4,0,0,0,0,0,0,0,0,0,6,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,4,0,8,0,8,0,0,2,0,0,0,0,0,0,6,2,0,2,0,2,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,4,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
"2014/7/16",14,0,0,0,0,0,0,0,0,16,662,32,680,334,9,0,0,0,5,0,0,58,0,0,11,0,0,0,99,13,0,79,0,22,73,0,0,25,53,15,0,10,104,0,0,32,46,2,2715,939,1437,0,147,2,0,83,260,0,21,642,116,13,2,97,0,94,0,0,85,0,0,96,9,0,0,0,0,46,12,0,0,41,0,76,0,0,0,0,0,117,0,2,41,28,261,12,7,9,7,49,15,0,14,8,152,3,0,35,0,0,76,177,33,0,2,0,3,24,0,0,6,0,13,0,3,8,0,3,0,2,4,0,0,0,0,0,16,0,0,2,0,0,0,0,5,0,0,11,3,16,0,12,78,0,0,3,0,23,4,0,24,0,174,306,0,8,12,0,196,0,0,14,42,131,4,6,0,11,2,608,809,23,38,71,0,71,14,2,297,38,8,8,7,0,0,782,9,5,61,165,40,20,10,23,0,3,6,0,2,0,3483,0,37,0,0,0,958,502,2,22,5,6,2,0,3,30,0,12,33,66,4,10,0,0,7,11,5,2,130,0,74,21,10,5,168,3,15,2,141,0,0,0,8,0,0,88,0,496,28,0,220,0,12,0,0,0,0,0,0,0,0,0,22,17,28,128,9,0
"2014/7/28",2,3,0,0,0,0,0,0,29,55,1263,23,2178,130,22,0,0,0,4,0,0,154,4,0,34,0,0,0,54,23,115,494,6,59,335,0,0,236,280,50,12,15,261,0,0,42,103,0,6606,1565,5854,0,393,39,0,128,641,0,21,1916,114,78,12,361,0,282,0,0,509,0,0,234,29,0,0,3,0,106,54,0,0,45,18,41,0,0,2,0,0,381,0,10,25,49,457,26,12,18,9,65,22,0,159,22,268,28,0,14,0,0,262,789,71,4,2,0,3,50,0,0,52,0,70,5,2,6,0,0,0,3,11,21,0,6,0,0,12,8,0,0,0,0,0,0,51,0,0,14,4,52,2,54,220,0,6,11,0,6,19,0,26,0,513,681,0,8,15,4,276,4,0,2,207,353,8,28,0,129,0,1704,2506,64,34,241,0,307,63,252,869,82,27,14,10,0,0,2330,23,22,167,573,119,43,18,8,0,12,65,2,6,0,10355,0,105,3,0,2,3193,2733,12,98,6,14,7,48,43,34,0,13,100,635,16,21,0,0,3,22,13,38,462,0,24,49,83,14,756,4,45,2,1841,0,0,0,18,0,42,740,0,952,80,0,477,0,16,0,18,0,0,0,2,3,0,2,3,16,42,564,10,0
"2014/8/18",38,12,3,0,0,0,0,0,99,25,564,72,1194,24,16,0,0,0,0,0,0,166,3,0,114,0,0,0,50,3,5,198,5,33,123,0,0,29,106,28,5,8,155,0,0,0,65,0,4261,738,2135,0,345,25,0,154,298,0,14,731,29,220,20,629,0,368,0,0,284,0,0,189,8,0,4,0,0,116,47,5,0,12,4,156,0,0,2,0,0,68,0,6,13,24,368,10,18,17,8,12,16,0,21,18,98,3,0,7,0,2,28,1643,56,0,0,0,0,3,0,0,0,0,41,0,6,0,2,0,7,7,0,5,0,4,0,0,88,0,0,0,0,0,0,3,8,0,0,2,2,15,0,12,80,4,3,2,0,16,19,0,32,0,469,721,0,7,0,0,135,0,0,16,44,1000,4,7,3,9,0,1304,701,41,10,151,0,127,66,69,352,43,18,95,39,0,2,637,12,14,65,175,69,65,20,14,0,5,11,2,0,0,9813,0,72,12,0,0,1769,8180,820,17,2,29,3,3,11,9,5,5,60,36,74,19,0,0,9,19,6,0,172,0,1206,21,9,2,306,10,7,0,562,0,0,0,29,3,0,81,0,150,3,0,182,0,51,0,30,3,0,0,0,13,0,0,0,32,45,203,32,0
"2014/9/5",0,0,0,0,0,0,0,0,15,15,590,5,905,101,7,0,0,0,4,0,0,91,0,0,13,0,0,0,31,10,51,205,0,50,204,0,0,102,142,23,7,13,161,0,0,20,50,0,3184,720,2637,0,202,20,0,62,258,0,7,846,41,46,9,227,0,160,0,0,241,0,0,127,13,0,0,2,0,69,25,0,0,27,5,13,0,0,0,0,0,173,0,4,8,22,280,12,5,9,2,29,4,0,54,10,120,8,0,5,0,0,110,444,16,0,0,0,0,20,0,0,11,0,30,2,0,0,0,0,0,2,4,14,0,2,4,0,2,7,0,0,0,0,0,0,24,0,0,8,0,12,0,25,97,0,0,0,0,2,5,0,19,0,294,396,0,0,10,3,151,0,0,0,72,159,0,14,0,72,0,860,942,23,18,118,0,125,27,101,394,55,22,6,6,0,0,998,7,9,69,266,38,14,8,6,0,2,42,0,4,0,4280,0,50,4,0,2,1208,1209,3,31,0,0,0,26,13,17,0,8,39,364,7,26,0,0,2,9,2,27,242,0,19,20,31,5,441,4,18,4,1033,0,0,0,10,3,13,303,0,422,44,0,195,0,5,0,4,3,0,0,0,0,0,0,0,10,21,244,9,0
