"","Solibacterales","Blastocatellales","uncultured","Microtrichales","Propionibacteriales","Streptomycetales","Streptosporangiales","Coriobacteriales","Fimbriimonadales","Bacteroidales","Chitinophagales","Cytophagales","Flavobacteriales","Sphingobacteriales","Chlorobiales","Ignavibacteriales","OPB56","SJA28.","SJA28","Caldisericales","Anaerolineales","Ardenticatenales","SBR1031","Chloroflexales","Thermomicrobiales","Cloacimonadales","Obscuribacterales","Chloroplast","Nostocales","Campylobacterales","Fibrobacterales","Bacillales","Lactobacillales","Clostridiales","Erysipelotrichales","Fusobacteriales","Gemmatimonadales","CandidatusKomeilibacteria.","CandidatusPeregrinibacteria.","CandidatusPeribacteria.","CandidatusPeribacteria","JGI0000069.P22","CandidatusCurtissbacteria.","CandidatusRoizmanbacteria.","CandidatusNomurabacteria","CandidatusZambryskibacteria.","Saccharimonadales","Phycisphaerales","Tepidisphaerales","Gemmatales","Isosphaerales","Pirellulales","Planctomycetales","Acetobacterales","AlphaproteobacteriaIncertae.Sedis.","Azospirillales","Caulobacterales","Holosporales","Micavibrionales","Puniceispirillales","Rhizobiales","Rhodobacterales","Sphingomonadales","Tistrellales","Betaproteobacteriales","Pseudomonadales","Leptospirales","Spirochaetales","Synergistales","Kosmotogales","Petrotogales","Thermotogales","Verrucomicrobiales"
"2006-02-04",22,0,42339,0,0,0,0,7,0,84,388,26,113,2,0,0,154,0,0,0,0,0,2,0,0,0,39,0,0,210,0,9,20,481,47,0,15,0,0,0,13,0,2,0,0,0,251,7,0,0,4,0,71,19,0,0,77,0,45,0,1970,1653,751,0,2123,6,24,0,0,0,0,0,5
"2006-05-06",12,0,110512,0,93,4,3,21,0,133,1102,698,355,7,0,2,61,0,0,0,15,75,5,90,4,0,0,9,12,34,0,17,31,1663,95,0,60,16,3,5,45,0,41,0,0,0,206,15,0,0,21,0,490,29,0,0,198,0,0,0,4440,5175,3113,0,5897,14,4,4,2,0,0,0,12
"2006-08-19",3,0,9161,0,35,2,0,3,0,18,155,62,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,8,0,2,6,163,10,0,0,0,0,0,0,0,0,0,0,0,17,0,0,10,0,0,86,0,0,0,21,0,0,0,813,714,551,0,171,0,3,0,0,0,0,0,0
"2006-10-28",36,0,59951,0,87,0,0,1,5,26,635,42,43,0,0,0,5,0,0,0,0,0,0,55,0,0,32,4,0,92,0,15,4,408,7,0,25,0,0,0,25,0,0,2,0,0,480,33,0,9,9,5,367,20,0,0,96,0,0,0,3479,2592,1172,0,4546,3,3,0,0,0,0,0,3
"2007-02-04",12,0,51247,0,52,2,0,3,0,83,411,39,133,0,0,0,35,0,0,0,0,4,0,112,0,0,10,16,0,15,0,17,15,304,7,0,9,0,0,0,0,0,0,0,0,0,85,2,0,146,26,0,291,6,6,0,83,0,0,0,2023,1274,669,0,654,0,4,0,0,0,0,0,2
"2007-05-06",0,0,15020,0,25,0,0,4,0,52,320,15,111,7,0,0,9,0,0,0,0,3,0,0,14,0,4,9,0,13,0,0,4,228,18,0,18,0,0,0,4,0,0,0,0,0,19,0,0,0,0,0,240,12,2,0,40,0,0,0,1270,1462,1123,0,1393,0,0,0,0,0,0,0,0
"2007-08-19",2,0,16298,0,12,0,0,0,0,72,44,2,36,0,0,11,23,0,0,0,0,2,0,0,0,0,2,0,0,95,0,2,9,105,8,0,4,0,0,0,4,0,0,0,0,0,82,0,0,0,10,0,15,3,0,0,19,0,0,0,1186,344,815,0,469,0,40,0,0,0,0,0,2
"2007-10-28",0,0,7002,0,16,0,0,3,0,15,38,21,10,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3,97,6,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,13,2,0,0,35,0,0,0,809,859,270,0,443,0,0,0,0,0,0,0,0
"2008-02-04",0,0,59320,0,348,0,0,2,0,9,515,74,345,6,0,0,3,0,0,0,4,5,0,6,0,0,27,20,0,57,0,9,3,313,22,0,14,0,0,0,0,0,0,0,0,0,111,14,0,11,6,0,184,5,0,0,93,0,0,0,3583,4086,763,0,937,2,0,0,0,0,0,0,3
"2008-05-06",0,0,4878,0,4,0,0,0,0,5,22,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,61,8,0,7,0,0,0,0,0,3,0,0,0,19,0,0,0,2,0,6,0,0,0,9,0,0,0,383,254,204,0,110,0,0,0,0,0,0,0,0
"2008-08-19",3,0,9764,0,35,2,0,0,0,78,59,31,136,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,9,112,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,5,0,0,30,0,0,0,526,462,793,0,463,2,9,0,0,0,0,0,5
"2008-10-28",15,0,27933,0,68,0,0,0,0,14,539,76,96,0,0,0,0,0,0,0,4,0,7,76,0,0,19,3,0,45,3,2,8,329,15,0,27,0,0,0,0,0,0,0,0,0,8,2,0,30,9,0,177,15,0,0,99,0,0,0,1736,788,403,0,1551,0,5,0,0,0,0,0,3
"2009-02-04",8,0,69485,0,705,0,0,3,0,17,524,25,55,0,0,0,0,0,0,0,0,12,0,60,0,0,3,0,0,46,0,1,0,164,10,0,14,0,3,0,0,0,0,0,0,0,624,0,0,11,7,0,223,2,0,0,77,0,0,0,4525,2442,520,0,564,0,1,0,0,0,0,0,0
"2009-05-06",0,0,10972,0,24,0,0,4,0,2,71,21,11,0,0,0,8,0,0,0,0,1,0,2,2,0,0,0,0,12,0,0,2,187,7,0,2,0,2,0,0,0,0,0,0,0,39,0,0,0,0,0,62,2,0,0,42,0,0,0,842,1166,528,0,447,0,0,0,0,0,0,0,29
"2009-08-19",126,0,58461,0,120,0,0,5,3,13,1144,100,158,7,0,0,54,0,0,0,8,0,24,164,0,0,84,0,0,78,6,4,6,721,15,0,71,7,0,26,13,0,2,0,0,0,266,46,0,80,38,15,361,31,0,0,201,0,0,0,3085,755,705,0,4901,0,16,2,0,0,0,0,4
"2009-10-28",2,0,89945,0,150,9,0,21,4,77,1104,139,133,2,0,5,13,2,0,0,8,8,24,4,0,0,3,0,4,91,0,6,73,1430,92,0,24,2,0,3,5,0,68,0,0,0,253,9,0,18,41,0,287,5,2,0,93,0,0,0,5013,5575,2787,0,2273,0,0,0,0,0,0,0,20
"2010-02-04",16,0,44572,0,55,7,0,5,0,147,474,42,180,13,0,0,23,2,0,0,2,0,0,11,8,0,15,0,0,71,0,0,12,370,45,0,21,0,0,0,5,0,0,0,0,0,190,0,0,0,4,0,134,23,0,0,98,0,12,0,1658,2006,1267,0,1474,0,3,2,0,0,0,0,8
"2010-05-06",0,0,17682,0,22,2,0,2,0,52,425,67,398,30,0,0,12,0,0,0,0,1,0,0,8,0,2,3,0,76,0,0,0,314,25,0,3,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,136,13,2,0,30,0,0,0,1153,2352,1149,0,2139,11,0,0,2,0,0,0,0
"2010-08-19",92,0,73400,0,41,2,0,2,3,147,370,262,16,15,0,8,259,0,0,0,9,0,0,3,0,0,43,0,5,224,0,3,19,572,31,0,118,0,0,0,43,0,8,0,0,0,146,10,5,0,7,8,199,92,0,0,185,0,3,0,2975,2977,1207,0,13096,2,51,2,0,0,0,0,12
"2010-10-28",21,0,58590,0,145,3,0,16,0,181,458,15,231,0,0,0,16,0,0,0,0,12,0,29,0,0,5,0,0,71,0,0,10,336,23,0,5,0,0,0,0,0,0,0,0,0,258,0,0,9,4,0,268,2,4,2,59,0,0,0,2610,2014,1512,0,1630,7,2,0,0,0,0,2,7
"2011-02-04",19,0,36912,0,49,0,0,9,0,155,474,154,506,25,0,0,35,0,0,0,0,5,0,0,0,0,15,2,2,143,0,2,16,515,35,0,18,0,0,0,0,0,0,0,0,0,14,2,0,9,0,0,208,17,0,0,153,0,0,0,2088,2574,1400,0,3636,4,8,0,0,0,0,2,0
"2011-05-06",0,0,15239,0,78,0,0,4,0,31,129,6,112,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,56,0,1,8,208,17,0,0,0,0,0,0,0,0,0,0,0,44,0,0,3,0,0,47,0,0,0,49,0,0,0,1451,860,683,0,1039,4,0,0,0,0,0,0,6
"2011-08-19",9,0,63341,0,24,4,0,12,2,115,600,66,248,15,0,5,32,0,0,5,0,0,0,11,8,0,34,0,2,10,0,0,6,628,34,0,12,0,0,0,0,0,0,0,0,0,280,3,3,5,4,0,208,0,4,0,301,0,3,0,3486,4394,1992,0,2327,3,0,0,0,0,0,0,10
