"","Solibacterales","Blastocatellales","uncultured","Microtrichales","Propionibacteriales","Streptomycetales","Streptosporangiales","Coriobacteriales","Fimbriimonadales","Bacteroidales","Chitinophagales","Cytophagales","Flavobacteriales","Sphingobacteriales","Chlorobiales","Ignavibacteriales","OPB56","SJA28.","SJA28","Caldisericales","Anaerolineales","Ardenticatenales","SBR1031","Chloroflexales","Thermomicrobiales","Cloacimonadales","Obscuribacterales","Chloroplast","Nostocales","Campylobacterales","Fibrobacterales","Bacillales","Lactobacillales","Clostridiales","Erysipelotrichales","Fusobacteriales","Gemmatimonadales","CandidatusKomeilibacteria.","CandidatusPeregrinibacteria.","CandidatusPeribacteria.","CandidatusPeribacteria","JGI0000069.P22","CandidatusCurtissbacteria.","CandidatusRoizmanbacteria.","CandidatusNomurabacteria","CandidatusZambryskibacteria.","Saccharimonadales","Phycisphaerales","Tepidisphaerales","Gemmatales","Isosphaerales","Pirellulales","Planctomycetales","Acetobacterales","AlphaproteobacteriaIncertae.Sedis.","Azospirillales","Caulobacterales","Holosporales","Micavibrionales","Puniceispirillales","Rhizobiales","Rhodobacterales","Sphingomonadales","Tistrellales","Betaproteobacteriales","Pseudomonadales","Leptospirales","Spirochaetales","Synergistales","Kosmotogales","Petrotogales","Thermotogales","Verrucomicrobiales"
"2006-02-04",0,0,9822,0,33,0,0,1,0,14,57,11,32,0,0,0,4,0,0,0,2,7,0,0,0,0,0,0,0,65,0,2,3,209,12,0,5,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,60,2,0,0,24,3,0,0,704,449,665,0,286,2,3,0,0,0,0,0,0
"2007-02-04",6,0,11215,0,68,0,0,2,0,24,210,10,64,0,0,0,0,0,0,0,2,0,2,0,0,0,0,6,0,11,0,2,0,195,12,0,4,0,0,0,7,0,0,0,0,0,94,0,0,10,2,0,47,0,0,0,19,0,0,0,714,374,566,0,329,0,2,0,0,0,0,0,0
"2007-08-19",9,0,41245,0,30,3,0,2,0,52,194,48,55,0,0,0,36,0,0,0,0,3,0,27,0,0,4,5,0,53,0,8,21,481,20,0,21,0,0,0,4,0,0,0,0,0,469,3,0,6,6,0,357,13,2,0,122,0,0,0,2788,1686,1709,0,1777,0,6,0,0,0,0,0,8
"2008-05-06",4,0,88406,0,81,2,0,4,0,348,1745,98,1177,0,0,0,76,0,0,2,0,35,5,99,0,0,14,25,2,68,0,265,30,605,44,0,20,0,0,0,0,0,0,0,0,0,186,6,0,55,14,0,602,6,4,0,69,3,3,0,3817,3739,2822,0,2285,5,2,0,0,0,0,0,9
"2008-08-19",46,0,39053,0,50,0,0,18,0,81,288,137,92,9,0,0,29,0,0,0,3,1,0,2,0,0,29,0,0,54,0,2,11,362,29,0,43,0,0,0,2,0,3,0,0,0,94,0,2,2,2,0,108,8,0,0,189,0,0,0,2150,3382,1170,0,2222,0,0,0,0,0,0,0,3
"2008-10-28",6,0,41639,0,15,0,2,0,5,0,1312,74,127,17,0,0,2,0,0,0,4,78,5,359,0,0,7,5,0,14,0,12,0,161,2,0,31,0,0,7,4,0,0,2,0,0,18,9,0,47,47,2,231,7,0,0,61,0,0,0,2215,1235,1368,0,3477,0,0,0,0,0,0,0,0
"2009-02-04",0,0,7439,0,0,0,0,0,0,41,63,2,14,0,0,0,2,0,0,0,0,4,0,4,0,0,2,0,0,8,0,4,0,48,4,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,2,0,19,2,0,0,33,0,0,0,723,153,138,0,94,0,2,0,0,0,0,0,2
"2009-05-06",2,0,10294,0,10,0,0,0,0,35,43,2,47,0,0,23,89,0,0,0,0,4,0,0,0,0,2,0,0,87,0,0,7,91,10,0,2,4,0,0,16,0,0,0,0,0,21,0,0,0,0,0,11,0,0,0,12,0,0,0,646,195,371,0,237,0,58,0,0,0,0,0,2
"2009-10-28",0,0,5826,0,5,0,0,0,0,11,45,18,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,11,0,0,0,95,10,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,17,0,0,0,23,0,0,0,481,491,310,0,506,0,0,0,0,0,0,0,0
"2010-02-04",36,0,38113,0,33,0,0,14,2,75,263,87,99,5,0,0,57,0,0,0,4,0,0,0,0,0,13,0,0,146,0,6,6,453,30,0,67,0,0,0,2,0,2,0,0,0,85,3,0,4,10,0,121,26,0,0,120,0,0,0,2106,2822,1090,0,2582,2,8,0,0,0,0,0,4
