"","Solibacterales","Blastocatellales","uncultured","Microtrichales","Propionibacteriales","Streptomycetales","Streptosporangiales","Coriobacteriales","Fimbriimonadales","Bacteroidales","Chitinophagales","Cytophagales","Flavobacteriales","Sphingobacteriales","Chlorobiales","Ignavibacteriales","OPB56","SJA28.","SJA28","Caldisericales","Anaerolineales","Ardenticatenales","SBR1031","Chloroflexales","Thermomicrobiales","Cloacimonadales","Obscuribacterales","Chloroplast","Nostocales","Campylobacterales","Fibrobacterales","Bacillales","Lactobacillales","Clostridiales","Erysipelotrichales","Fusobacteriales","Gemmatimonadales","CandidatusKomeilibacteria.","CandidatusPeregrinibacteria.","CandidatusPeribacteria.","CandidatusPeribacteria","JGI0000069.P22","CandidatusCurtissbacteria.","CandidatusRoizmanbacteria.","CandidatusNomurabacteria","CandidatusZambryskibacteria.","Saccharimonadales","Phycisphaerales","Tepidisphaerales","Gemmatales","Isosphaerales","Pirellulales","Planctomycetales","Acetobacterales","AlphaproteobacteriaIncertae.Sedis.","Azospirillales","Caulobacterales","Holosporales","Micavibrionales","Puniceispirillales","Rhizobiales","Rhodobacterales","Sphingomonadales","Tistrellales","Betaproteobacteriales","Pseudomonadales","Leptospirales","Spirochaetales","Synergistales","Kosmotogales","Petrotogales","Thermotogales","Verrucomicrobiales"
"2006-02-04",0,0,37795,0,134,52,0,14,0,34,76,5,125,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,3,0,11,9,448,32,0,0,0,0,0,0,0,0,0,0,0,32,3,0,4,2,0,253,3,0,0,250,0,0,0,9363,2883,1535,0,1369,10,0,0,0,0,0,0,70
"2006-05-06",0,0,65435,0,0,123,0,5,0,6,582,147,247,7,0,0,0,0,0,0,0,33,0,3,0,0,41,78,0,21,0,67,70,404,35,0,11,0,0,0,0,0,0,0,0,0,709,10,0,26,2,0,145,4,0,0,175,0,0,0,6434,2659,1648,0,2197,2,0,0,0,0,0,0,0
"2006-08-19",13,20,160210,0,20,0,0,5,0,31,2746,23,215,9,0,0,109,0,0,0,30,0,0,2,0,0,43,93,0,10,0,13,2,744,21,0,71,0,0,0,0,0,0,0,0,0,569,0,0,22,41,0,241,161,0,0,214,0,0,0,8103,5236,1127,0,2473,6,2,0,0,0,0,0,0
"2006-10-28",41,0,41317,0,547,5,2,10,0,55,378,15,31,0,0,43,11,0,486,0,0,17,14,8,0,0,2,5,3,28,0,0,11,674,12,0,14,0,3,0,13,0,0,0,0,0,294,3,0,38,17,6,212,9,7,0,133,0,0,0,3619,2238,1281,0,1171,0,0,0,0,0,0,0,9
"2007-02-04",0,0,51197,0,319,19,8,36,0,9,324,33,156,0,0,0,5,0,0,0,4,7,4,56,0,0,0,23,4,10,0,4,11,893,20,0,3,0,3,0,0,0,0,5,0,0,362,2,0,18,24,0,280,2,0,0,69,0,0,0,3208,3442,1443,0,615,7,0,0,0,0,0,0,0
"2007-08-19",2,0,44502,0,28,2,0,10,0,128,528,421,431,6,0,0,3,0,0,0,0,5,0,0,0,0,24,0,0,243,0,17,5,551,18,0,25,0,2,0,0,0,0,0,0,0,19,2,0,7,3,0,152,13,0,0,169,0,0,0,2920,3093,2089,0,2992,26,2,0,0,0,0,2,0
"2007-10-28",0,2,42175,0,162,14,0,18,0,8,312,23,50,0,0,0,0,0,0,0,0,3,3,5,16,0,2,0,0,75,0,0,7,877,18,0,5,0,0,0,0,0,0,0,0,0,47,0,0,0,9,0,302,13,0,0,107,0,0,0,4926,5674,1559,0,763,7,0,0,0,0,0,0,36
"2008-02-04",8,0,35838,0,101,5,0,4,0,38,464,30,23,3,0,0,8,0,0,0,0,2,3,73,0,0,7,0,0,14,0,3,8,417,12,0,11,7,0,0,6,0,0,7,0,0,415,6,0,78,26,0,109,4,0,0,99,0,0,0,1962,868,806,0,1147,0,5,0,0,0,0,0,0
"2008-05-06",4,0,12520,0,33,0,0,0,0,16,76,3,40,0,0,0,12,0,0,0,0,0,0,0,0,0,7,0,0,104,0,3,2,104,13,0,0,2,0,0,8,0,0,0,0,0,98,0,0,0,0,0,37,2,0,0,21,0,0,0,956,233,425,0,309,0,46,0,0,0,0,0,0
"2008-08-19",0,0,19743,0,100,0,0,7,0,46,300,36,371,6,0,0,4,0,0,0,0,0,0,0,0,0,31,6,0,26,0,0,1,215,23,0,5,0,0,0,0,0,0,0,0,0,9,0,0,3,5,19,121,7,0,0,73,0,0,0,3718,5011,1503,0,1330,3,0,0,0,0,0,0,0
"2008-10-28",7,0,13945,0,29,0,0,3,0,73,138,45,113,2,0,0,17,0,0,0,0,0,0,0,0,0,2,0,0,61,0,2,5,162,18,0,3,0,0,0,0,0,0,0,0,0,25,0,0,3,0,0,66,6,0,0,36,0,0,0,544,777,643,0,1194,2,3,0,0,0,0,0,7
"2009-02-04",20,0,50185,0,178,2,0,7,0,62,583,10,35,0,0,10,5,0,0,0,0,28,3,2,0,0,16,6,0,25,0,0,13,1035,27,0,11,3,5,2,12,0,0,0,0,0,285,11,0,141,71,4,172,0,0,0,154,0,0,0,3233,1489,1197,0,964,0,6,0,0,0,0,0,2
"2009-05-06",0,0,7952,0,38,0,0,1,0,5,98,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,11,0,0,0,120,2,0,4,0,6,0,3,0,0,0,0,0,2,0,0,0,2,0,28,0,0,0,32,0,0,0,391,438,196,0,201,0,0,0,0,0,0,0,0
"2009-10-28",9,0,48584,0,131,4,0,11,2,97,574,45,556,7,0,0,153,0,0,0,9,5,4,0,0,0,25,0,3,150,0,2,7,522,34,0,8,0,0,0,14,0,0,0,0,0,82,2,0,2,7,0,209,15,0,0,367,0,0,0,3984,2754,2224,0,2850,34,2,0,2,0,0,0,2
"2010-02-04",4,0,8373,0,4,2,0,3,0,6,153,68,147,0,0,0,0,0,0,0,0,2,3,0,0,0,12,0,0,5,0,0,1,155,9,0,0,0,0,0,0,0,0,0,0,0,11,0,0,6,4,2,108,2,0,0,27,0,0,0,1346,466,330,0,420,0,0,0,0,0,0,0,7
"2010-05-06",0,0,3859,0,4,0,0,0,0,7,15,2,16,0,0,2,9,0,0,0,0,7,0,0,0,0,3,0,0,38,0,0,5,34,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,184,71,116,0,91,0,18,0,0,0,0,0,0
"2010-08-19",29,2,51905,0,6,0,0,4,4,47,1139,50,12,0,0,0,29,0,0,0,2,0,0,37,0,0,27,0,63,8,0,0,10,796,18,0,32,0,0,0,31,0,0,0,0,0,1974,4,0,27,19,0,110,4,0,0,216,0,0,0,3948,1482,1160,0,1109,0,0,0,0,0,0,0,0
"2010-10-28",2,0,5853,0,44,0,0,0,0,2,59,7,2,0,0,0,2,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,76,2,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,9,0,0,0,23,0,0,0,286,320,123,0,196,0,0,0,0,0,0,0,0
"2011-02-04",5,0,14748,0,21,0,0,1,0,45,169,46,69,5,0,0,17,0,0,0,0,2,0,0,0,0,8,0,0,48,0,5,2,261,11,0,8,0,5,0,3,0,0,0,0,0,19,2,0,15,0,0,134,10,0,0,44,6,0,0,725,512,493,0,932,0,10,0,0,0,0,0,0
"2011-08-19",0,0,13287,0,36,0,3,7,0,20,138,27,54,0,0,0,2,0,0,0,4,3,0,0,0,0,0,0,0,13,0,2,5,254,15,0,0,0,0,0,0,0,0,0,0,0,176,0,0,15,2,0,64,0,0,0,56,0,0,0,1140,873,586,0,991,0,0,0,0,0,0,0,0
"2011-10-28",0,0,43186,0,139,16,4,15,0,27,431,102,315,0,0,0,0,0,0,0,0,3,30,4,0,0,0,2,5,53,0,6,8,1592,44,0,2,0,0,0,0,0,0,0,0,0,145,0,0,73,60,18,717,16,0,0,144,0,0,0,7086,2778,1166,0,1747,4,0,0,0,0,0,0,6
"2012-02-04",18,0,153621,0,189,1459,34,16,3,350,5783,1396,751,29,0,12,135,0,0,0,47,128,73,443,0,0,73,54,51,281,7,14,24,2403,113,0,190,0,3,3,32,0,0,0,0,0,310,55,0,413,110,239,1122,144,170,0,273,0,0,0,11561,8301,4282,80,6635,13,0,2,0,0,0,0,11
"2012-05-06",108,0,66067,0,99,0,0,0,0,8,873,49,6,2,0,29,189,0,0,0,0,2,33,52,0,0,17,3,10,0,6,3,1,815,16,0,20,0,0,16,10,0,0,0,0,0,698,4,5,73,76,1,74,10,0,0,288,0,0,0,3057,1352,1134,0,1960,0,0,0,0,0,0,0,8
"2012-08-19",46,0,38939,0,57,0,0,3,0,92,922,7,133,0,0,0,14,2,0,0,0,1,0,2,0,0,101,7,0,100,4,6,6,993,19,0,15,0,0,0,36,0,0,3,0,0,66,5,3,8,0,0,291,7,2,0,100,0,0,0,2029,834,1044,0,2801,0,58,0,0,0,0,0,11
"2012-10-28",7,0,43132,0,28,2,0,13,0,19,553,97,249,4,0,0,0,0,0,0,0,2,0,0,0,0,4,2,2,88,0,8,8,726,34,0,4,0,0,0,0,0,4,0,0,0,53,0,0,2,9,0,185,10,0,0,99,0,0,0,3758,4808,2255,0,3687,4,0,0,2,0,0,0,4
"2013-05-06",0,0,22374,0,18,0,0,7,0,10,147,316,672,2,0,0,24,0,0,0,3,14,0,13,0,0,0,0,0,14,0,2,7,391,33,0,7,0,0,0,0,0,6,0,0,0,29,0,0,0,10,3,156,4,0,0,81,0,0,0,1318,2084,745,0,2234,9,4,0,0,0,0,0,9
"2013-08-19",2,0,7704,0,14,0,0,0,0,12,30,0,10,0,0,0,24,0,0,0,0,7,0,0,0,0,0,0,0,50,0,0,1,51,7,0,2,0,0,0,11,0,0,0,0,0,8,0,0,0,0,0,7,0,0,0,9,0,0,0,303,209,210,0,138,0,7,0,0,0,0,0,0
"2013-10-28",1,0,39309,0,24,0,0,17,0,29,397,282,349,11,0,0,2,0,2,0,0,1,0,2,0,0,3,15,0,188,0,2,8,563,21,0,0,0,0,0,5,0,0,0,0,0,40,2,0,18,9,2,285,11,0,0,112,0,0,0,3015,2814,1707,0,2124,23,0,0,0,0,0,0,7
