"","unculturedarchaeon.","Koribacteraceae","Solibacteraceae.Subgroup.3..","Solibacteraceae.Subgroup.3.","unculturedbacterium.","metagenome","unculturedAcidobacteriales.bacterium.","unculturedAcidobacterium.sp..","uncultured","Blastocatellaceae","unculturedAcidobacteria.bacterium.","Holophagaceae","freshwatersediment.metagenome.","unculturedbacterium.SJA.36.","unculturedsoil.bacterium.","unculturedorganism.","Acidobacteriabacterium.SCN.69.37.","unculturedsludge.bacterium.H3.","Thermoanaerobaculaceae","Iamiaceae","Ilumatobacteraceae","Microtrichaceae","Actinomycetaceae","Bifidobacteriaceae","Corynebacteriaceae","Mycobacteriaceae","Nocardiaceae","Cryptosporangiaceae","Nakamurellaceae","Kineosporiaceae","Dermatophilaceae","Intrasporangiaceae","Microbacteriaceae","Nocardioidaceae","Propionibacteriaceae","Atopobiaceae","Coriobacteriaceae","Gaiellaceae","6714.","6714","Solirubrobacteraceae","Armatimonadaceae","Fimbriimonadaceae","Bacteroidaceae","BacteroidetesBD2.2.","BacteroidetesvadinHA17.","BacteroidetesvadinHA17","Muribaculaceae","Paludibacteraceae","Prevotellaceae","Prolixibacteraceae","Rikenellaceae","SB5","Tannerellaceae","3713.","3713","Chitinophagaceae","Saprospiraceae","Cyclobacteriaceae","Hymenobacteraceae","Microscillaceae","Crocinitomicaceae","NS9marine.group.","Weeksellaceae","AKYH767","KD393.","KD393","Lentimicrobiaceae","LiUU11.161.","NS1112.marine.group.","envOPS.17.","envOPS.17","LDRB.34.","PHOSHE36.","PHOSHE36","BSV26","MSB3C8.","CandidatusKapabacteria.sp..59.99.","unculturedBacteroidetes.Chlorobi.group.bacterium.","unculturedChlorobiales.bacterium.","unculturedsludge.bacterium.A12b.","Chlorobibacterium.OLB5.","Calditrichaceae","Chlamydiaceae","Parachlamydiaceae","Simkaniaceae","cvE6","unculturedChloroflexia.bacterium.","Anaerolineaceae","Caldilineaceae","hotsprings.metagenome.","unculturedAnaerolineaceae.bacterium.","unculturedCaldilineaceae.bacterium.","unculturedCaldilineae.bacterium.","unculturedanaerobic.ammonium.oxidizing.bacterium.","unculturedbacterium.SBR1108.","unculturedbacterium.UASB_TL14.","unculturedsludge.bacterium.A31.","A4b","unculturedGemmatimonadetes.bacterium.","unculturedsludge.bacterium.H5.","wastewatermetagenome.","unculturedBellilinea.sp..","Roseiflexaceae","JG30KF.CM45.","unculturedChloroflexi.bacterium.","unculturedcandidate.division.SAM.bacterium.","Melosiravarians.","uncultureddiatom.","Cyanobiaceae","unculturedDesulfuromonadaceae.bacterium.","Deinococcaceae","Thermaceae","Babeliaceae","Vermiphilaceae","groundwatermetagenome.","unculturedprokaryote.","Arcobacteraceae","Sulfurospirillaceae","unculturedSyntrophaceae.bacterium.","Bacillaceae","Carnobacteriaceae","Lactobacillaceae","Streptococcaceae","Christensenellaceae","Clostridiaceae1.","Eubacteriaceae","Lachnospiraceae","Peptostreptococcaceae","Ruminococcaceae","Erysipelotrichaceae","Veillonellaceae","Fusobacteriaceae","Leptotrichiaceae","Gemmatimonadaceae","Hydrogenedensaceae","Latescibacteraceae","unculturedPelobacter.sp..","unculturedPlanctomycetales.bacterium.","unculturedsoil.bacterium.PBS.III.30.","Nitrospiraceae","Omnitrophaceae","unculturedbeta.proteobacterium.","unculturedParcubacteria.group.bacterium.","unculturedcandidate.division.SR1.bacterium.","CandidatusAbawacabacteria.bacterium.RBG_16_42_10.","CandidatusPeregrinibacteria.bacterium.RIFCSPLOWO2_01_FULL_48_20.","unculturedbacterium.GKS2.174.","CandidatusHarrisonbacteria.bacterium.RIFCSPHIGHO2_02_FULL_40_20.","Parcubacteriagroup.bacterium.CG1_02_50_68.","Parcubacteriagroup.bacterium.GW2011_GWA1_60_11.","Saccharimonadaceae","soilbacterium.WF55.","unculturedbacterium.SBR2060.","unculturedbacterium.SBR2096.","unculturedcandidate.division.WS5.bacterium.","unculturedgamma.proteobacterium.","CandidatusBerkelbacteria.bacterium.RIFCSPHIGHO2_12_FULL_50_11.","unculturedplanctomycete.","Brocadiaceae","planctomyceteA.2.","unculturedCrater.Lake.bacterium.CL500.15.","Phycisphaeraceae","Gemmataceae","Isosphaeraceae","Acetobacteraceae","AzospirillalesIncertae.Sedis.","Caedibacteraceae","Caulobacteraceae","Hyphomonadaceae","Dongiaceae","Micropepsaceae","Paracaedibacteraceae","Reyranellaceae","A0839","Beijerinckiaceae","Devosiaceae","Hyphomicrobiaceae","Labraceae","Pleomorphomonadaceae","Rhizobiaceae","RhizobialesIncertae.Sedis.","Xanthobacteraceae","Rhodobacteraceae","Rhodopirillaceae","Rhodospirillaceae","Terasakiellaceae","AB1","Midichloriaceae","Mitochondria","Rickettsiaceae","SM2D12","Sphingomonadaceae","unculturedBradyrhizobiaceae.bacterium.","unculturedactinobacterium.","Bacteriovoracaceae","Bdellovibrionaceae","Desulfarculaceae","Desulfomicrobiaceae","Desulfovibrionaceae","unculturedproteobacterium.","Archangiaceae","BIrii41","Blfdi19","Eel36e1D6.","Haliangiaceae","KD310.","KD310","Nannocystaceae","P3OB42.","P3OB42","Phaselicystidaceae","Polyangiaceae","Sandaracinaceae","Vulgatibacteraceae","bacteriap25","mle127.","mle127","unculturedDesulfuromonadales.bacterium.","03196G20.","03196G20","Oligoflexaceae","Acidithiobacillaceae","Aeromonadaceae","Marinobacteraceae","Arenicellaceae","A21b","Aquaspirillaceae","B17BS.","Burkholderiaceae","Chitinimonadaceae","Hydrogenophilaceae","Nitrosomonadaceae","Rhodocyclaceae","SCI.84.","SCI.84","TRA320.","TRA320","Cellvibrionaceae","Porticoccaceae","Spongiibacteraceae","Chromatiaceae","Competibacteraceae","Coxiellaceae","Diplorickettsiaceae","UnknownFamily.","Immundisolibacteraceae","Legionellaceae","Methylococcaceae","Methylomonaceae","Halomonadaceae","Saccharospirillaceae","Moraxellaceae","Pseudomonadaceae","unculturedHalochromatium.sp..","Steroidobacteraceae","Thiotrichaceae","Rhodanobacteraceae","Xanthomonadaceae","Leptospiraceae","Spirochaetaceae","Mycoplasmataceae","Methylacidiphilaceae","Opitutaceae","Puniceicoccaceae","Pedosphaeraceae","Verrucomicrobiaceae","bacteriumenrichment.culture.clone.Anammox_55."
"O8-11",0,0,169,7,2158,1232,16,16,1830,230,192,71,37,17,32,12,0,9,84,34,49,68,0,3,0,5,9,12,0,8,0,22,0,11,37,0,6,0,9,0,31,15,0,0,1055,10,4,0,8,38,3,0,4,7,38,11,297,1101,0,7,185,17,261,0,272,2,0,0,0,8,359,0,33,869,336,98,17,0,0,16,0,11,36,0,19,7,0,182,401,514,0,0,76,0,10,11,7,11,118,0,6,106,6,165,56,63,0,3,0,0,9,0,0,0,4,0,42,14,17,0,0,0,4,251,4,77,9,0,47,0,11,21,0,3,146,0,5,5,25,0,828,8,0,22,0,0,0,0,0,24,0,18,0,3,0,33,28,0,0,39,9,0,103,4,33,78,3,0,12,133,0,0,0,4,144,2,6,61,0,0,0,18,241,27,194,8,0,26,0,0,4,3,127,0,26,0,251,11,0,8,17,51,37,33,5,464,5,0,131,11,20,24,156,52,0,32,120,47,0,112,14,13,17,60,0,44,26,0,74,351,87,128,329,2311,58,8,0,0,0,0,119,18,1591,0,42,34,0,0,0,41,39,0,62,0,76,89,17,51,7,166,7,0,33,3,0,57,58,17
"O8-12",0,0,143,7,2087,1164,7,9,1519,164,160,39,42,11,11,6,0,7,68,36,71,111,0,7,0,5,29,9,0,18,0,66,0,21,59,4,2,0,20,0,26,10,7,0,1007,0,0,0,0,8,0,0,0,0,32,11,310,904,0,2,164,9,164,6,180,6,0,0,0,0,65,0,23,435,133,74,0,0,0,15,0,22,25,0,16,8,0,106,248,583,0,0,108,0,23,7,0,14,99,0,2,140,5,182,81,75,0,0,0,0,0,0,0,0,0,2,39,15,6,0,0,0,7,421,0,112,6,6,102,0,31,22,0,0,133,0,0,0,22,0,1212,0,0,27,0,0,0,9,0,28,3,12,0,0,0,10,18,0,0,18,13,0,89,8,26,48,4,0,7,73,0,0,0,0,88,5,0,124,0,0,4,57,376,39,151,6,0,33,0,0,2,0,152,0,7,0,140,7,0,0,7,30,39,14,6,387,10,0,74,8,7,20,95,33,0,0,76,0,0,26,0,0,27,46,0,36,14,0,78,366,73,142,362,2001,73,10,0,0,0,0,82,12,1868,2,10,26,0,0,3,34,43,0,45,0,25,94,6,30,7,59,6,0,14,0,0,8,37,10
"O8-13",0,0,35,0,390,249,0,0,467,74,31,24,17,0,0,0,0,0,0,3,16,14,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,489,0,0,0,0,0,0,0,0,0,18,6,110,399,0,0,128,9,67,0,79,2,0,0,0,0,39,0,0,181,63,23,0,0,0,2,0,13,23,0,0,0,0,37,71,87,0,0,14,0,7,0,0,0,3,0,0,24,0,34,6,21,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,26,0,35,3,0,2,0,4,0,0,0,53,0,0,0,0,0,259,0,0,13,0,0,0,7,0,6,0,2,0,0,0,9,5,0,0,0,0,0,44,0,0,11,0,0,0,18,0,0,0,0,22,2,0,6,0,0,0,0,64,0,19,0,0,0,0,0,0,0,50,0,4,0,2,0,0,0,0,10,23,0,0,152,0,0,19,5,0,0,50,3,0,4,17,0,0,0,0,0,11,35,0,0,10,0,34,86,39,57,73,620,15,0,0,0,0,0,29,0,427,0,0,0,0,0,0,2,18,0,4,0,21,33,0,14,0,30,0,0,0,0,0,0,5,6
"O8-14",0,0,38,0,701,253,0,0,333,129,85,5,9,0,3,0,0,0,0,0,11,18,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,6,0,0,0,0,3,4,91,316,0,0,65,0,39,0,53,0,0,0,0,0,34,0,0,101,33,13,0,0,0,0,0,8,0,0,10,14,0,44,130,109,0,0,11,0,0,0,0,0,12,0,0,67,3,56,9,22,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,105,0,22,0,0,20,0,8,19,0,0,11,0,0,0,0,0,238,0,0,12,0,0,0,0,0,8,0,13,0,0,0,10,0,0,0,9,0,0,39,2,19,2,0,0,0,7,0,0,0,0,24,0,0,12,0,0,0,0,55,0,25,0,0,0,0,0,0,0,22,0,2,0,5,0,0,0,0,0,16,0,0,93,0,0,16,0,0,0,9,0,0,0,5,0,0,0,0,0,9,20,0,0,0,0,20,22,3,27,37,384,11,0,0,0,0,0,13,0,280,0,0,0,0,0,0,3,7,0,3,0,10,15,0,3,0,16,0,0,0,0,0,15,20,8
"O8-16",0,0,122,0,1614,660,11,5,877,242,177,41,13,1,6,0,0,10,15,24,12,15,0,0,0,0,8,3,0,10,0,24,0,9,8,0,0,0,2,1,11,4,2,0,650,0,0,0,0,8,0,0,0,0,24,5,196,630,0,0,134,6,108,5,139,2,5,0,0,0,135,0,13,258,83,37,0,0,0,4,3,11,20,0,13,0,0,83,304,269,0,0,33,0,17,0,0,8,72,2,9,64,13,154,33,32,0,0,2,0,0,0,0,0,0,0,26,7,6,0,0,0,0,125,0,37,3,3,16,0,5,6,0,0,112,0,0,0,23,0,526,0,0,42,0,0,0,0,0,19,0,19,0,0,0,12,0,0,0,73,0,0,67,12,22,26,6,0,4,27,0,0,0,0,35,2,0,13,0,0,0,0,105,7,55,3,0,0,0,0,0,0,68,0,9,0,92,4,0,0,5,34,34,3,2,337,7,0,50,12,8,7,90,3,0,0,42,3,2,5,0,0,18,40,0,0,10,0,44,174,73,100,183,1116,37,7,0,0,0,0,24,0,727,0,0,6,0,0,0,20,24,0,49,0,14,68,2,29,6,53,0,0,10,0,0,32,29,7
"O8-17",0,0,139,2,778,400,2,0,764,103,49,24,25,4,5,0,0,0,16,11,35,57,0,0,0,4,5,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,821,0,0,0,4,10,0,0,0,0,16,0,192,600,0,0,150,0,86,0,48,2,0,0,0,10,44,0,14,321,110,47,0,0,0,17,0,11,19,0,0,0,0,41,66,128,0,0,24,0,0,0,0,0,11,0,0,58,8,121,14,16,0,0,0,0,0,0,0,0,0,0,6,11,11,0,0,0,0,157,0,50,5,0,24,0,9,0,0,0,132,0,0,0,2,0,644,0,0,34,0,0,0,0,0,5,0,10,0,0,0,10,19,0,0,23,0,0,49,0,0,17,0,0,2,22,0,0,0,0,26,2,2,29,0,0,0,0,115,0,67,3,0,0,0,0,0,0,59,0,9,0,83,8,0,0,2,21,32,0,0,330,0,0,61,0,0,17,59,16,0,0,41,0,0,6,0,0,12,54,0,0,11,0,56,178,71,77,194,1120,58,8,0,0,0,0,46,0,740,0,0,8,0,0,0,15,24,0,22,0,25,77,0,33,11,24,0,0,0,0,0,0,8,2
"O8-18",0,0,148,0,1659,611,12,5,1052,360,208,32,18,5,16,0,0,0,26,16,11,44,0,0,0,0,7,2,0,0,0,11,0,12,0,0,0,0,0,0,3,11,0,0,695,0,0,0,0,0,0,0,0,0,12,0,208,778,0,0,124,0,84,12,102,5,0,0,0,0,29,10,12,331,90,60,0,0,0,8,0,11,16,0,0,0,0,81,386,219,0,0,48,0,14,0,0,0,103,0,0,113,12,166,16,21,0,0,0,0,0,0,0,0,0,0,29,5,0,0,0,0,0,86,0,10,3,0,19,0,0,0,0,0,109,0,0,0,18,0,602,0,0,27,0,0,0,0,0,31,2,18,0,0,0,14,15,0,0,48,0,0,105,16,40,25,0,0,0,37,0,0,0,0,39,0,2,6,0,0,0,0,72,0,62,0,0,0,0,0,0,0,51,0,8,0,65,3,0,0,0,29,31,2,0,371,0,0,71,11,4,0,89,7,0,0,27,8,0,0,0,0,30,31,0,0,8,0,58,142,104,70,160,984,33,7,0,0,0,0,34,0,527,2,0,0,0,0,0,21,14,0,45,0,24,62,0,38,0,12,0,0,14,0,0,49,54,2
"O8-19",0,0,178,0,1237,610,0,8,1060,319,219,51,41,6,13,0,0,14,34,23,9,38,0,2,0,4,24,2,0,2,0,0,0,18,12,6,0,0,0,0,2,7,0,0,812,0,0,0,0,7,0,0,0,0,18,0,216,827,0,0,182,0,111,9,106,2,0,5,0,0,84,0,0,378,99,59,0,0,0,6,0,18,28,0,16,10,0,74,337,208,0,0,46,0,22,10,0,0,72,0,0,98,8,172,23,23,0,0,0,0,0,0,0,0,0,0,21,9,8,0,0,0,0,97,0,17,3,0,27,0,7,0,0,0,132,0,0,0,13,0,626,0,0,21,0,0,0,0,0,12,0,34,0,0,0,15,24,0,0,25,0,0,66,5,27,31,0,0,5,31,0,0,0,0,50,0,0,18,0,0,0,0,91,0,59,0,0,0,0,0,0,0,32,0,10,0,96,6,0,0,5,42,38,2,0,425,0,0,61,0,0,0,96,7,0,0,27,0,0,12,0,0,27,15,0,0,10,0,61,171,109,80,172,1229,46,0,0,0,0,0,30,0,562,0,0,17,0,0,0,10,39,0,26,0,36,76,0,43,0,54,0,0,10,0,0,50,33,14
"O8-20",0,0,37,0,450,206,0,2,308,114,72,11,12,0,3,0,0,0,0,3,11,19,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,263,0,0,0,0,0,0,0,0,0,5,5,95,322,0,0,30,0,51,0,36,3,0,0,0,0,27,0,0,109,37,14,0,0,0,2,0,3,8,0,6,5,0,25,132,39,0,0,8,0,10,0,0,0,15,2,0,26,10,51,4,12,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,29,0,24,0,0,0,0,4,0,0,0,42,0,0,0,1,0,165,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,9,0,0,15,0,0,32,0,0,3,0,0,0,8,0,0,0,0,10,0,0,10,0,0,0,0,58,0,36,0,0,0,0,0,0,0,15,0,5,0,6,0,0,0,0,7,11,0,0,110,0,0,26,0,0,0,7,3,0,0,6,0,0,0,0,0,2,22,0,0,0,0,28,25,19,16,47,289,13,0,0,0,0,0,13,0,208,0,0,0,0,0,0,0,5,0,11,0,0,26,0,13,2,14,0,0,0,0,0,9,5,5
"O8-21",0,0,22,4,363,84,0,0,278,11,9,1,2,0,0,0,0,0,0,2,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0,7,3,91,304,0,0,18,0,26,0,20,2,0,0,0,0,7,0,0,116,40,0,0,0,0,0,0,6,0,0,0,0,0,18,38,12,0,0,6,0,0,0,0,0,0,0,0,42,13,42,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,117,0,16,0,0,15,0,2,0,0,0,37,0,0,0,0,0,163,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,9,0,0,0,0,0,24,0,0,2,0,0,0,12,0,0,0,0,25,0,0,2,0,0,0,0,30,2,14,0,0,0,0,0,0,0,19,0,0,0,5,0,0,0,0,0,11,0,0,104,0,0,16,0,0,0,3,2,0,0,3,0,0,2,0,0,2,13,0,0,0,0,18,37,22,24,42,198,13,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,3,0,3,0,0,18,0,10,0,0,0,0,0,0,0,0,0,0
"O8-22",0,0,161,2,875,365,2,3,719,149,111,23,21,8,13,0,0,0,13,15,12,21,0,0,0,3,2,0,0,3,0,8,0,3,0,0,0,0,0,0,4,0,0,0,627,0,0,0,0,4,0,0,0,3,17,5,189,616,0,0,54,6,82,3,80,0,0,0,0,0,56,0,0,286,76,37,0,0,0,8,0,13,12,0,3,2,0,49,159,288,0,0,14,0,0,0,0,0,30,0,8,28,17,160,11,25,0,0,0,0,0,0,0,0,0,0,13,0,8,0,0,0,0,137,4,48,2,0,10,0,2,0,0,0,92,0,0,0,3,0,421,0,0,14,0,0,0,10,0,7,0,24,0,0,0,0,18,0,0,15,0,0,60,2,0,10,4,0,9,31,0,0,0,0,31,0,0,27,0,0,0,9,80,10,30,4,0,0,0,0,0,0,61,0,15,0,72,4,0,0,2,26,24,0,2,300,0,0,44,5,4,8,80,20,0,0,23,0,0,10,0,0,11,36,0,0,8,0,44,175,58,72,142,1044,35,6,0,0,0,0,22,0,1222,0,0,9,0,0,0,21,16,0,12,2,11,63,2,21,6,23,0,0,0,0,0,20,13,7
"O8-23",0,0,138,9,1899,679,29,14,1082,423,331,33,29,4,14,5,0,0,37,17,18,50,0,3,0,2,10,2,0,5,0,26,0,11,0,0,2,0,6,0,8,6,15,0,613,0,0,0,0,11,0,0,0,8,21,7,231,806,0,0,158,5,119,8,100,4,4,0,0,0,78,0,9,343,93,60,0,0,0,14,0,11,25,0,26,7,0,83,393,305,0,0,55,0,22,0,0,5,119,0,8,101,19,156,30,14,2,0,0,0,0,0,0,0,0,2,31,4,8,0,0,0,0,240,0,39,4,0,19,0,11,33,0,0,97,0,0,3,16,0,463,0,3,16,0,0,0,6,0,40,0,53,0,0,0,17,34,0,0,32,0,0,103,21,47,20,5,0,0,32,0,0,0,0,40,2,0,26,0,0,0,0,115,0,83,3,0,0,0,0,0,0,66,0,6,0,104,4,0,0,5,25,25,0,2,296,5,0,38,8,0,11,69,7,0,2,17,0,0,32,0,3,24,39,0,0,10,4,58,139,40,70,153,1029,43,0,0,0,0,0,32,0,593,0,0,10,0,0,0,16,12,0,48,0,13,66,0,24,7,52,0,0,11,0,0,71,90,15
"O8-24",0,0,131,0,1995,817,17,9,1020,274,217,34,26,9,20,4,0,5,30,15,14,48,0,0,0,6,8,2,0,8,0,26,0,13,14,0,0,0,7,0,10,7,7,0,439,4,3,0,0,17,0,5,0,5,22,15,194,1026,0,0,130,13,96,20,131,0,7,3,0,0,361,0,18,373,97,59,0,0,0,14,0,16,19,0,18,2,0,98,277,324,0,0,35,0,14,3,0,8,111,0,9,95,10,172,29,35,0,0,0,0,0,0,0,0,0,0,21,30,14,0,0,0,0,233,0,27,4,5,15,0,11,9,0,0,112,0,0,4,20,0,519,4,0,26,0,0,0,4,0,14,0,67,0,0,0,34,25,0,0,93,0,0,115,5,30,26,6,0,3,38,2,0,0,0,55,0,4,25,0,0,0,13,124,13,78,0,0,0,0,0,0,0,79,0,9,0,63,3,0,0,6,26,40,0,0,247,7,4,63,5,2,13,85,26,0,2,39,2,0,24,0,0,20,73,0,0,14,9,54,239,71,87,216,1216,44,2,0,0,0,0,35,16,739,0,0,9,0,0,0,13,23,0,42,0,29,81,0,33,0,61,0,0,14,0,0,42,39,17
"O8-25",0,0,161,10,1731,770,4,0,1077,259,240,41,42,10,25,7,0,10,32,7,23,48,0,0,0,0,9,0,0,6,0,29,0,9,17,0,0,0,6,0,5,9,0,0,562,0,5,0,3,30,0,0,0,6,23,11,182,1084,0,0,161,10,99,21,157,0,3,2,0,0,490,0,19,362,103,52,0,0,0,9,3,15,30,0,9,6,0,93,434,296,0,0,55,0,18,0,12,2,129,0,7,69,15,179,24,24,0,0,0,0,0,0,0,0,0,0,21,39,15,0,0,0,0,226,0,19,0,0,24,0,6,10,0,0,124,0,0,0,24,0,547,0,0,28,0,0,0,3,0,10,0,80,0,0,0,15,37,0,0,36,0,0,89,3,23,22,2,0,7,33,0,0,0,6,52,0,2,26,0,0,0,13,94,0,74,0,0,0,0,0,0,0,59,3,8,0,94,9,0,0,5,46,31,6,7,310,8,0,91,11,10,18,109,15,0,5,36,0,0,24,0,0,20,64,0,0,10,4,45,187,79,80,198,1324,50,7,0,0,0,0,33,0,758,0,0,4,0,0,0,16,22,0,34,0,28,76,0,34,5,80,0,0,0,0,0,36,26,16
"O8-26",0,0,61,0,613,207,0,0,265,30,24,10,10,3,0,0,0,0,6,0,14,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,200,0,0,0,0,0,0,0,0,0,7,4,55,357,0,0,49,2,24,6,33,0,0,0,0,0,34,0,6,123,35,25,0,0,0,6,0,2,5,0,0,0,0,23,45,78,0,0,9,3,7,0,0,0,12,0,0,54,4,66,4,3,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,111,0,7,0,0,9,0,2,0,0,0,29,0,0,0,0,0,207,0,0,20,0,0,0,0,0,0,0,32,0,0,0,16,0,0,0,11,0,0,28,0,0,2,0,0,0,5,0,0,0,0,18,0,0,0,0,0,0,0,48,7,25,0,0,0,0,0,0,0,16,0,0,0,9,2,0,0,0,5,16,0,0,75,0,0,14,0,0,0,21,3,0,0,6,0,0,0,0,0,5,19,0,0,3,0,17,51,23,18,51,278,13,0,0,0,0,0,8,0,224,0,0,0,0,0,0,3,0,0,4,0,4,16,0,3,2,11,0,0,0,0,0,5,4,0
"O8-27",0,0,167,10,1703,835,26,0,984,271,173,28,24,13,16,8,0,5,28,14,29,56,0,6,2,0,5,9,0,4,0,53,0,14,19,0,0,0,18,6,8,4,0,0,538,14,5,0,3,31,0,3,0,0,36,8,200,861,0,3,86,14,101,24,158,0,3,0,0,0,675,0,9,249,61,73,0,0,0,20,3,18,6,0,12,6,0,65,242,287,0,0,68,0,10,4,0,0,93,4,5,53,14,212,29,28,0,0,0,0,8,0,0,0,0,0,23,29,26,0,0,3,10,459,0,55,6,3,37,0,10,9,0,14,130,0,0,0,17,3,665,0,0,31,0,0,0,7,0,16,0,99,0,5,0,20,0,0,0,0,5,0,114,17,17,5,3,0,3,15,2,0,0,4,34,0,0,59,6,0,0,15,173,20,83,0,0,0,0,0,2,0,93,0,5,0,141,2,0,0,7,32,34,2,4,373,13,0,56,4,5,23,128,30,0,0,18,5,0,10,0,0,20,74,0,0,13,3,52,275,75,103,227,1436,46,5,9,0,0,0,30,1,486,0,2,5,4,0,0,20,20,0,54,0,23,79,3,35,3,78,0,0,5,0,0,18,21,8
"O8-28",0,0,255,21,2772,1212,12,9,1450,466,319,54,38,10,39,7,0,0,52,14,34,60,0,5,0,2,7,6,0,7,0,30,0,19,20,7,0,0,19,0,12,5,0,3,708,11,4,0,7,18,2,0,0,9,42,13,277,1441,0,0,179,10,131,26,172,2,6,7,0,2,446,0,27,503,144,91,9,0,0,8,3,26,29,0,11,8,0,107,561,341,0,0,56,2,21,0,3,4,159,0,13,115,16,267,33,36,0,0,0,4,8,0,0,0,0,0,32,64,32,0,0,3,0,448,0,31,7,0,27,0,8,23,0,13,155,0,3,2,24,3,616,7,0,48,0,2,0,4,0,26,0,136,0,0,0,62,59,0,0,0,6,0,120,21,54,20,4,0,8,47,7,0,0,4,66,3,0,57,0,3,0,28,158,8,108,5,0,0,0,0,0,0,71,0,14,0,173,8,4,0,9,45,40,10,7,378,8,4,95,12,6,32,139,21,0,7,58,2,0,34,0,0,32,175,0,7,18,4,78,353,102,107,291,1693,63,0,0,0,0,0,37,8,895,4,0,13,0,0,8,32,28,0,86,0,31,89,0,35,7,70,0,0,13,0,0,59,44,13
