"","Solibacteraceae.Subgroup.3.","Blastocatellaceae","uncultured","Nocardioidaceae","Streptomycetaceae","Streptosporangiaceae","Fimbriimonadaceae","Prevotellaceae","Chitinophagaceae","Saprospiraceae","Hymenobacteraceae","SpirosomaceaeD_5_.Dyadobacter","Spirosomaceae","Flavobacteriaceae","Weeksellaceae","Sphingobacteriaceae","Chlorobiaceae","CandidatusKapabacteria.sp..59.99.","unculturedsludge.bacterium.A12b.","unculturedsludge.bacterium.","LF045","Anaerolineaceae","Ardenticatenaceae","A4b","unculturedCaldilineaceae.bacterium.","Chloroflexaceae","Herpetosiphonaceae","Roseiflexaceae","AKYG1722","Plasmoparaviticola.","Phormidiaceae","Thiovulaceae","metagenome","Fibrobacteraceae","Bacillaceae","Clostridiaceae1","Lachnospiraceae","Erysipelotrichaceae","Gemmatimonadaceae","CandidatusKomeilibacteria.bacterium.RIFCSPHIGHO2_01_FULL_52_14.","CandidatusKomeilibacteria.bacterium.RIFOXYC1_FULL_37_11.","CandidatusPeregrinibacteria.bacterium.RIFCSPLOWO2_01_FULL_48_20.","bacteriumWH3.1.","CandidatusPeribacteria.bacterium.RIFCSPHIGHO2_02_FULL_53_20.","groundwatermetagenome.","unculturedbacterium.GKS2.174.","CandidatusRoizmanbacteria.bacterium.RIFCSPLOWO2_01_FULL_40_32.","unculturedbacterium.","Saccharimonadaceae","soilbacterium.WF55.","Phycisphaeraceae","Tepidisphaeraceae","D2101.soil.group.","D2101.soil.group","Gemmataceae","Isosphaeraceae","Pirellulaceae","Rubinisphaeraceae","Schlesneriaceae","Acetobacteraceae","UnknownFamily.","Azospirillaceae","Caulobacteraceae","Holosporaceae","A0839","Hyphomicrobiaceae","Rhizobiaceae","Xanthobacteraceae","Rhodobacteraceae","Sphingomonadaceae","Geminicoccaceae","Burkholderiaceae","Moraxellaceae","Pseudomonadaceae","Leptospiraceae","Spirochaetaceae","Synergistaceae","Kosmotogaceae","Petrotogaceae","Fervidobacteriaceae","Rubritaleaceae","Verrucomicrobiaceae"
"2006-02-04",28,0,39680,471,2,0,0,2,302,0,0,0,6,33,5,0,0,0,0,0,3,4,13,0,9,7,0,3,0,0,0,0,7,0,2,4,6,19,11,5,6,0,0,0,0,0,0,0,0,214,11,0,0,0,36,7,0,149,0,7,0,0,168,0,43,7,342,0,2100,1266,0,987,2,0,0,0,0,0,0,0,4,3
"2006-05-06",0,0,55967,238,8,0,0,0,418,0,0,2,5,161,0,0,0,0,0,0,0,5,0,0,2,11,0,0,0,0,0,0,0,0,0,2,0,26,3,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,7,22,0,358,0,11,0,0,91,0,0,18,1094,0,5452,2159,2,1011,3,0,0,0,0,0,0,0,11,0
"2006-10-28",0,0,2245,7,0,0,0,0,19,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,22,0,97,143,0,40,0,0,4,0,0,0,0,0,0,0
"2007-02-04",0,0,6442,2,0,0,0,0,25,0,0,0,0,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,25,0,0,0,76,0,170,287,0,64,0,0,20,0,0,0,0,0,0,0
"2007-05-06",7,0,54073,51,2,0,0,0,473,0,0,0,3,131,0,3,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2,41,0,0,5,4,33,22,0,0,0,0,0,0,0,0,0,0,529,10,0,0,0,0,5,0,408,0,25,0,0,197,3,0,180,531,0,2237,2143,0,1613,0,3,11,0,6,0,0,0,10,0
"2007-08-19",0,0,5049,423,0,0,0,0,141,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,6,0,2,0,0,2,0,24,0,49,2,215,91,0,26,0,0,0,0,0,0,0,0,0,0
"2007-10-28",4,0,52567,314,2,0,0,0,1811,0,0,0,59,912,0,2,0,0,0,0,0,0,0,0,6,0,0,46,0,33,0,0,5,0,0,8,13,40,37,0,0,0,0,0,0,0,0,0,0,142,17,0,0,0,108,20,0,145,3,21,0,0,194,0,4,0,407,0,4015,1938,0,3157,17,13,3,0,0,0,0,0,0,0
"2008-02-04",12,0,11364,108,0,0,0,0,182,0,0,0,8,48,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,3,0,0,2,0,8,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,27,0,0,35,0,3,0,0,56,0,2,2,85,0,418,343,0,167,0,0,0,0,0,0,0,0,0,0
"2008-05-06",6,0,13334,28,0,0,0,0,174,0,0,0,3,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,21,0,10,0,0,8,5,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,26,4,0,56,0,4,0,0,44,0,4,3,77,0,203,489,0,64,0,0,9,0,0,0,0,0,0,0
"2008-08-19",0,0,9115,11,0,0,0,0,106,0,0,0,16,227,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,2,0,0,22,0,0,6,87,0,1078,692,0,924,3,7,0,0,0,0,0,0,0,0
"2008-10-28",0,0,24142,9,0,0,0,0,172,0,0,0,4,44,0,3,0,0,0,2,0,5,1,0,0,17,0,6,0,0,0,0,2,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,2,0,33,0,3,0,0,55,0,0,0,182,0,603,553,0,284,0,0,0,0,0,0,0,0,3,0
"2009-02-04",11,0,31188,47,3,0,0,0,180,0,0,0,34,53,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,4,6,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,61,0,0,2,0,72,0,3,4,248,0,1870,768,0,460,0,4,2,0,0,0,0,0,0,2
"2009-05-06",24,0,68473,189,139,0,0,2,1024,48,0,0,294,1918,3,0,0,0,4,0,0,0,3,0,4,0,0,3,0,2,0,0,8,4,2,4,14,39,29,0,0,0,0,0,0,0,0,0,0,49,3,0,0,0,63,7,2,208,0,97,0,0,111,0,47,7,567,0,4132,2248,0,2683,12,7,97,2,0,0,0,0,2,0
"2009-08-19",0,0,3982,3,0,0,0,3,28,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,9,0,0,0,10,0,88,98,0,27,0,0,4,0,0,0,0,0,0,0
"2009-10-28",2,0,10267,42,0,0,0,0,111,0,0,0,7,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,20,0,0,0,0,25,0,0,0,118,0,353,341,0,74,0,0,0,0,0,0,0,0,0,0
"2010-02-04",2,0,65232,64,2,0,0,0,1614,0,0,0,93,1120,0,15,0,0,0,0,0,0,2,0,0,0,0,7,0,5,0,0,0,0,0,7,10,47,24,0,0,0,0,0,0,0,2,0,0,137,5,0,0,0,41,6,0,382,0,16,0,0,384,0,57,6,784,0,4929,2643,0,3081,9,8,3,0,0,0,0,0,2,0
"2010-05-06",0,0,11575,56,0,0,0,2,94,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,0,3,0,0,28,0,11,0,84,0,773,217,0,121,0,0,0,0,0,0,0,0,3,0
"2010-08-19",7,0,37572,183,4,0,0,0,243,0,0,0,46,223,3,8,0,0,0,0,0,2,2,0,0,3,2,0,0,0,0,0,32,0,0,5,4,21,13,0,4,0,0,0,0,0,0,0,0,0,2,5,0,0,3,0,0,159,0,13,5,0,121,5,0,52,370,0,1666,1346,0,1162,4,2,6,0,0,0,0,0,3,0
"2010-10-28",12,0,59356,105,0,0,0,0,338,0,0,0,14,121,0,0,0,0,0,0,0,8,0,0,0,0,0,153,0,4,0,0,4,0,0,5,7,33,30,0,0,0,0,0,0,0,0,0,0,427,22,0,0,0,2,58,0,158,0,5,2,0,62,0,0,47,433,0,3649,1679,0,650,0,0,3,0,0,0,0,0,9,0
"2011-02-04",3,0,62029,33,0,0,3,0,417,0,0,0,14,5,0,0,0,0,0,0,0,0,0,0,12,24,0,0,0,0,0,0,36,0,0,2,0,9,34,0,0,5,0,0,0,0,0,0,0,119,2,0,0,2,37,14,0,97,2,5,0,0,77,0,10,0,203,0,1342,734,0,322,0,0,0,0,0,0,0,0,0,4
"2011-08-19",2,0,47667,21,2,0,0,0,593,0,0,0,27,77,0,0,0,0,0,0,0,6,4,0,0,0,0,0,115,0,0,2,0,0,0,4,6,49,43,3,0,0,4,0,0,0,0,0,0,42,0,0,0,0,0,10,2,178,0,9,0,0,67,0,0,10,656,16,2507,1450,0,1453,0,3,5,0,0,0,0,0,6,0
"2012-02-04",15,0,33501,85,0,0,0,0,960,0,0,0,19,94,0,0,0,0,0,0,0,0,0,0,10,15,0,12,0,4,0,0,82,0,17,3,4,21,118,0,0,0,0,0,0,0,8,0,0,40,3,0,0,0,32,62,0,42,2,19,0,0,101,0,179,4,134,0,1670,615,0,459,0,0,2,0,0,0,0,0,0,0
