"","Solibacteraceae.Subgroup.3.","Blastocatellaceae","uncultured","Nocardioidaceae","Streptomycetaceae","Streptosporangiaceae","Fimbriimonadaceae","Prevotellaceae","Chitinophagaceae","Saprospiraceae","Hymenobacteraceae","SpirosomaceaeD_5_.Dyadobacter","Spirosomaceae","Flavobacteriaceae","Weeksellaceae","Sphingobacteriaceae","Chlorobiaceae","CandidatusKapabacteria.sp..59.99.","unculturedsludge.bacterium.A12b.","unculturedsludge.bacterium.","LF045","Anaerolineaceae","Ardenticatenaceae","A4b","unculturedCaldilineaceae.bacterium.","Chloroflexaceae","Herpetosiphonaceae","Roseiflexaceae","AKYG1722","Plasmoparaviticola.","Phormidiaceae","Thiovulaceae","metagenome","Fibrobacteraceae","Bacillaceae","Clostridiaceae1","Lachnospiraceae","Erysipelotrichaceae","Gemmatimonadaceae","CandidatusKomeilibacteria.bacterium.RIFCSPHIGHO2_01_FULL_52_14.","CandidatusKomeilibacteria.bacterium.RIFOXYC1_FULL_37_11.","CandidatusPeregrinibacteria.bacterium.RIFCSPLOWO2_01_FULL_48_20.","bacteriumWH3.1.","CandidatusPeribacteria.bacterium.RIFCSPHIGHO2_02_FULL_53_20.","groundwatermetagenome.","unculturedbacterium.GKS2.174.","CandidatusRoizmanbacteria.bacterium.RIFCSPLOWO2_01_FULL_40_32.","unculturedbacterium.","Saccharimonadaceae","soilbacterium.WF55.","Phycisphaeraceae","Tepidisphaeraceae","D2101.soil.group.","D2101.soil.group","Gemmataceae","Isosphaeraceae","Pirellulaceae","Rubinisphaeraceae","Schlesneriaceae","Acetobacteraceae","UnknownFamily.","Azospirillaceae","Caulobacteraceae","Holosporaceae","A0839","Hyphomicrobiaceae","Rhizobiaceae","Xanthobacteraceae","Rhodobacteraceae","Sphingomonadaceae","Geminicoccaceae","Burkholderiaceae","Moraxellaceae","Pseudomonadaceae","Leptospiraceae","Spirochaetaceae","Synergistaceae","Kosmotogaceae","Petrotogaceae","Fervidobacteriaceae","Rubritaleaceae","Verrucomicrobiaceae"
"2010-05-06",6,0,22634,14,2,0,0,0,177,0,0,0,0,42,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,56,0,0,0,0,60,0,7,0,162,0,497,786,0,326,0,0,28,0,0,0,0,0,4,0
"2010-08-19",4,3,51532,44,2,0,0,0,514,0,0,0,8,238,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,42,0,0,5,0,0,5,6,42,0,0,0,0,3,0,0,0,0,0,0,85,0,0,0,2,8,8,0,325,0,2,0,0,128,0,7,19,850,0,3496,2240,0,1353,2,14,0,0,0,0,0,0,4,0
"2010-10-28",5,0,26831,432,0,0,0,0,289,0,0,0,10,19,0,0,0,0,0,2,0,5,39,0,0,6,0,5,0,0,0,0,7,0,2,0,3,15,9,0,3,0,0,0,0,0,0,0,0,174,2,0,0,0,12,13,5,115,0,2,0,0,127,0,14,0,432,0,1457,858,0,521,0,0,2,0,0,0,0,0,2,0
"2011-02-04",11,0,44501,51,0,0,0,0,393,0,0,0,16,7,0,0,0,0,0,0,0,3,13,0,4,13,0,0,12,0,0,0,14,0,0,3,0,15,15,0,0,0,6,0,0,0,0,0,0,114,12,0,0,2,0,11,0,241,0,2,0,0,159,0,2,46,366,0,2329,2534,0,879,0,0,4,0,0,0,0,0,11,3
"2011-08-19",15,0,33710,134,0,0,0,0,237,0,0,0,21,101,3,2,0,0,0,0,0,4,9,0,0,2,0,2,0,0,0,0,26,0,0,0,0,24,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,137,0,30,4,0,95,6,3,73,242,0,1366,1134,0,853,0,0,30,0,0,0,0,0,7,0
"2011-10-28",29,0,53487,29,0,0,2,0,1288,0,0,0,10,90,0,6,0,43,0,0,2,56,0,0,0,0,0,0,0,0,0,0,4,0,0,12,4,10,90,2,0,0,0,0,0,0,0,0,0,332,0,0,0,0,11,15,0,60,0,14,0,0,219,0,0,0,412,0,2166,1446,0,1336,0,0,8,4,0,0,0,0,2,0
"2012-02-04",8,479,60596,0,0,0,0,0,156,0,0,0,2,1320,0,0,0,0,0,0,0,0,0,0,0,286,0,5,0,0,0,0,0,0,68,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1003,0,0,0,0,2,0,90,0,81,0,0,228,0,0,0,2551,0,2058,1641,0,301,0,0,0,0,0,0,0,0,16,0
"2012-05-06",22,0,62778,29,16,0,2,0,925,0,0,0,4,109,0,0,0,0,0,0,0,4,7,0,13,0,2,24,0,16,3,0,57,0,0,8,2,33,4,0,0,0,0,6,0,0,0,0,0,464,20,0,0,0,292,113,54,257,2,9,0,5,139,0,181,29,759,0,2033,1034,0,613,0,3,0,0,0,0,0,0,0,32
"2012-08-19",30,0,47086,38,0,0,0,0,853,0,0,0,19,14,0,0,0,0,0,0,0,2,0,0,11,13,0,14,0,0,0,0,45,0,72,0,4,24,61,0,0,3,0,0,0,6,3,0,0,0,13,0,0,0,70,113,0,106,0,34,0,0,104,0,221,11,205,0,1221,965,0,374,0,0,4,0,0,0,0,0,0,0
"2012-10-28",0,0,6546,5,0,0,0,2,36,0,0,0,3,2,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,2,0,0,21,0,0,0,72,0,283,260,0,91,0,0,4,0,0,0,0,0,0,0
"2013-02-04",0,0,13675,59,0,0,0,0,68,0,0,0,13,54,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,30,0,0,5,127,0,638,880,0,161,0,0,2,0,0,0,0,0,2,0
"2013-05-06",0,0,47443,191,192,0,0,0,342,0,0,2,30,169,0,2,0,0,0,0,0,7,30,0,8,194,0,27,0,0,0,0,6,0,0,0,0,13,14,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,24,23,9,267,8,107,2,3,92,0,14,8,996,0,5255,1119,2,525,6,0,0,0,0,0,0,0,0,0
"2013-08-19",31,0,49849,33,0,0,2,0,515,0,0,0,34,46,0,0,0,0,0,0,0,6,0,0,17,11,0,26,0,0,0,0,2,0,0,4,8,27,4,0,0,0,0,0,0,0,0,0,0,408,2,0,2,0,71,69,0,61,3,9,0,0,275,0,79,9,726,0,2442,1482,0,927,0,5,0,0,0,0,0,0,15,0
"2013-10-28",0,0,7851,39,0,0,0,0,96,0,0,0,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,0,19,0,0,0,0,34,0,6,0,72,0,365,210,0,276,0,0,0,0,0,0,0,0,0,0
