"","Solibacteraceae.Subgroup.3.","Blastocatellaceae","uncultured","Nocardioidaceae","Streptomycetaceae","Streptosporangiaceae","Fimbriimonadaceae","Prevotellaceae","Chitinophagaceae","Saprospiraceae","Hymenobacteraceae","SpirosomaceaeD_5_.Dyadobacter","Spirosomaceae","Flavobacteriaceae","Weeksellaceae","Sphingobacteriaceae","Chlorobiaceae","CandidatusKapabacteria.sp..59.99.","unculturedsludge.bacterium.A12b.","unculturedsludge.bacterium.","LF045","Anaerolineaceae","Ardenticatenaceae","A4b","unculturedCaldilineaceae.bacterium.","Chloroflexaceae","Herpetosiphonaceae","Roseiflexaceae","AKYG1722","Plasmoparaviticola.","Phormidiaceae","Thiovulaceae","metagenome","Fibrobacteraceae","Bacillaceae","Clostridiaceae1","Lachnospiraceae","Erysipelotrichaceae","Gemmatimonadaceae","CandidatusKomeilibacteria.bacterium.RIFCSPHIGHO2_01_FULL_52_14.","CandidatusKomeilibacteria.bacterium.RIFOXYC1_FULL_37_11.","CandidatusPeregrinibacteria.bacterium.RIFCSPLOWO2_01_FULL_48_20.","bacteriumWH3.1.","CandidatusPeribacteria.bacterium.RIFCSPHIGHO2_02_FULL_53_20.","groundwatermetagenome.","unculturedbacterium.GKS2.174.","CandidatusRoizmanbacteria.bacterium.RIFCSPLOWO2_01_FULL_40_32.","unculturedbacterium.","Saccharimonadaceae","soilbacterium.WF55.","Phycisphaeraceae","Tepidisphaeraceae","D2101.soil.group.","D2101.soil.group","Gemmataceae","Isosphaeraceae","Pirellulaceae","Rubinisphaeraceae","Schlesneriaceae","Acetobacteraceae","UnknownFamily.","Azospirillaceae","Caulobacteraceae","Holosporaceae","A0839","Hyphomicrobiaceae","Rhizobiaceae","Xanthobacteraceae","Rhodobacteraceae","Sphingomonadaceae","Geminicoccaceae","Burkholderiaceae","Moraxellaceae","Pseudomonadaceae","Leptospiraceae","Spirochaetaceae","Synergistaceae","Kosmotogaceae","Petrotogaceae","Fervidobacteriaceae","Rubritaleaceae","Verrucomicrobiaceae"
"2006-02-04",0,0,10816,33,0,0,0,0,53,0,0,0,4,32,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,2,0,0,24,3,20,0,136,0,449,665,0,170,0,2,3,0,0,0,0,0,0,0
"2007-02-04",6,0,12353,68,0,0,0,0,208,0,0,0,6,57,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,3,0,2,2,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,32,0,0,0,0,19,0,0,3,97,0,374,566,0,167,0,0,2,0,0,0,0,0,0,0
"2007-08-19",9,0,44560,30,3,0,0,0,175,0,0,0,18,53,0,0,0,0,0,0,0,0,3,0,0,11,0,16,0,0,0,0,1,0,8,4,5,20,21,0,0,0,0,0,0,0,0,0,0,334,3,0,0,0,6,6,0,345,0,13,2,0,122,0,82,360,401,0,1686,1709,0,1256,0,0,6,0,0,0,0,0,0,5
"2008-05-06",4,0,94232,81,2,0,0,0,1484,0,0,0,39,1096,4,0,0,0,0,0,2,0,35,0,5,63,11,25,0,25,0,0,9,0,8,5,5,44,20,0,0,0,0,0,0,0,0,0,0,33,6,0,0,0,55,14,0,558,0,6,4,0,69,3,70,181,563,0,3739,2822,0,1444,0,5,2,0,0,0,0,0,7,2
"2008-08-19",46,0,42625,50,0,0,0,0,263,0,0,0,95,90,0,9,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,6,0,0,2,12,29,43,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,2,2,0,67,0,8,0,0,189,0,0,8,295,0,3382,1170,0,1258,0,0,0,0,0,0,0,0,3,0
"2008-10-28",6,0,44023,15,0,0,5,0,1236,0,0,0,31,96,0,12,0,0,0,0,0,4,78,0,5,66,3,290,0,5,0,0,0,0,4,2,2,2,31,0,0,0,0,0,0,7,2,0,0,13,9,0,0,0,47,47,2,167,15,7,0,0,61,0,3,6,569,0,1235,1368,0,3133,0,0,0,0,0,0,0,0,0,0
"2009-02-04",0,0,8271,0,0,0,0,0,42,0,0,0,0,14,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,0,19,0,2,0,0,33,0,0,2,41,0,153,138,0,68,0,0,2,0,0,0,0,0,2,0
"2009-05-06",2,0,11329,10,0,0,0,0,34,0,0,0,2,47,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,10,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,12,0,0,0,73,0,195,371,0,149,0,0,58,0,0,0,0,0,2,0
"2009-10-28",0,0,6480,5,0,0,0,0,40,0,0,0,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,11,0,0,0,0,23,0,0,0,109,0,491,310,0,374,0,0,0,0,0,0,0,0,0,0
"2010-02-04",36,0,42374,33,0,0,2,0,238,0,0,0,32,97,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,0,0,4,11,30,67,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,4,10,0,83,0,26,0,0,120,0,0,9,280,0,2822,1090,0,1082,2,0,8,0,0,0,0,0,2,2
