"","Solibacteraceae.Subgroup.3.","Blastocatellaceae","uncultured","Nocardioidaceae","Streptomycetaceae","Streptosporangiaceae","Fimbriimonadaceae","Prevotellaceae","Chitinophagaceae","Saprospiraceae","Hymenobacteraceae","SpirosomaceaeD_5_.Dyadobacter","Spirosomaceae","Flavobacteriaceae","Weeksellaceae","Sphingobacteriaceae","Chlorobiaceae","CandidatusKapabacteria.sp..59.99.","unculturedsludge.bacterium.A12b.","unculturedsludge.bacterium.","LF045","Anaerolineaceae","Ardenticatenaceae","A4b","unculturedCaldilineaceae.bacterium.","Chloroflexaceae","Herpetosiphonaceae","Roseiflexaceae","AKYG1722","Plasmoparaviticola.","Phormidiaceae","Thiovulaceae","metagenome","Fibrobacteraceae","Bacillaceae","Clostridiaceae1","Lachnospiraceae","Erysipelotrichaceae","Gemmatimonadaceae","CandidatusKomeilibacteria.bacterium.RIFCSPHIGHO2_01_FULL_52_14.","CandidatusKomeilibacteria.bacterium.RIFOXYC1_FULL_37_11.","CandidatusPeregrinibacteria.bacterium.RIFCSPLOWO2_01_FULL_48_20.","bacteriumWH3.1.","CandidatusPeribacteria.bacterium.RIFCSPHIGHO2_02_FULL_53_20.","groundwatermetagenome.","unculturedbacterium.GKS2.174.","CandidatusRoizmanbacteria.bacterium.RIFCSPLOWO2_01_FULL_40_32.","unculturedbacterium.","Saccharimonadaceae","soilbacterium.WF55.","Phycisphaeraceae","Tepidisphaeraceae","D2101.soil.group.","D2101.soil.group","Gemmataceae","Isosphaeraceae","Pirellulaceae","Rubinisphaeraceae","Schlesneriaceae","Acetobacteraceae","UnknownFamily.","Azospirillaceae","Caulobacteraceae","Holosporaceae","A0839","Hyphomicrobiaceae","Rhizobiaceae","Xanthobacteraceae","Rhodobacteraceae","Sphingomonadaceae","Geminicoccaceae","Burkholderiaceae","Moraxellaceae","Pseudomonadaceae","Leptospiraceae","Spirochaetaceae","Synergistaceae","Kosmotogaceae","Petrotogaceae","Fervidobacteriaceae","Rubritaleaceae","Verrucomicrobiaceae"
"2006-02-04",15,0,50622,39,2,0,0,0,455,0,0,0,31,227,0,0,0,0,0,0,0,18,3,0,0,5,0,0,0,0,0,0,61,0,0,3,5,26,32,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,119,0,17,0,0,129,0,0,20,484,0,3617,1545,0,1308,0,0,7,0,0,0,0,0,0,0
"2006-05-06",31,0,69842,49,2,0,0,2,439,4,0,0,34,390,2,7,0,0,0,0,0,12,9,0,0,9,0,0,4,0,0,0,108,6,0,2,15,40,59,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,215,0,48,0,0,218,0,5,10,557,0,3445,2291,0,2043,0,2,329,0,0,0,0,0,0,3
"2006-10-28",0,0,41642,317,24,0,0,0,436,0,0,0,8,185,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,15,3,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,41,25,0,416,0,9,0,0,105,0,26,9,588,0,2729,2293,0,640,6,3,0,0,0,0,0,0,2,0
"2007-02-04",0,0,17175,13,0,0,0,0,77,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,35,0,0,0,0,30,0,0,2,119,0,481,368,0,164,0,0,0,0,0,0,0,0,4,0
"2007-05-06",0,0,5627,8,0,0,0,0,55,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,11,0,0,0,14,0,169,149,0,21,0,0,5,0,0,0,0,0,0,0
"2007-08-19",0,0,8275,2,0,0,0,0,15,0,0,0,2,19,0,7,0,0,0,2,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,2,4,3,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,14,0,0,0,0,53,0,10,2,34,0,174,100,0,65,0,0,0,0,0,0,0,0,0,0
"2007-10-28",22,0,40016,148,0,0,0,0,1526,0,0,0,33,176,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,17,2,0,2,7,33,28,3,0,2,0,0,0,0,2,0,0,0,10,0,0,0,159,41,0,359,0,9,0,0,192,2,21,0,331,0,1392,755,0,560,0,2,4,0,0,0,0,0,0,0
"2008-02-04",7,0,17225,62,0,0,2,0,152,0,0,0,5,16,0,0,0,0,0,0,0,0,3,0,6,6,0,2,0,0,0,0,10,0,0,0,0,5,44,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,18,20,2,36,4,0,0,0,23,0,6,0,88,0,679,591,0,408,0,0,0,0,0,0,0,0,0,2
"2008-05-06",0,0,14855,8,4,0,0,0,59,0,0,0,0,26,0,0,0,0,0,3,0,0,0,0,0,8,0,2,0,0,0,0,2,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,8,0,22,0,0,0,0,26,0,0,0,73,0,266,296,0,103,0,0,0,0,0,0,0,0,0,0
"2008-08-19",2,0,10789,23,2,0,0,0,32,0,0,0,6,72,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,7,0,0,29,0,0,11,123,0,496,923,0,217,0,0,0,0,0,0,0,0,4,0
"2008-10-28",2,0,41054,235,0,0,0,0,410,0,0,0,0,125,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,4,4,19,3,0,0,0,0,0,0,0,0,0,0,5,22,0,0,0,24,10,0,123,2,4,2,0,376,0,75,4,425,0,1843,1496,0,698,0,0,0,0,3,0,0,0,13,0
"2009-02-04",158,0,29039,86,0,0,0,0,518,0,0,0,15,18,0,0,0,0,0,0,0,4,0,0,8,9,0,35,0,0,0,0,1,0,0,4,5,9,18,0,0,0,0,0,0,0,3,0,0,27,5,0,2,0,27,26,1,27,2,6,0,0,104,0,27,2,181,0,1055,780,0,469,0,0,0,3,2,0,0,0,0,0
"2009-05-06",2,0,71776,3,2,0,2,0,749,0,0,0,2,51,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,11,0,0,9,6,22,8,0,0,0,0,0,0,0,6,0,0,540,2,0,0,0,27,21,0,103,0,2,2,0,194,0,104,5,791,0,5610,1375,0,2195,0,0,0,0,0,0,0,0,0,0
"2009-08-19",13,0,50531,67,35,0,0,0,301,2,0,0,18,65,2,0,0,0,0,0,0,2,106,7,13,46,0,8,0,0,0,0,11,2,0,3,24,52,24,0,0,0,0,0,0,0,0,0,0,44,0,0,4,0,10,37,14,91,9,20,0,0,130,0,34,6,403,0,6732,1326,0,564,0,15,2,0,0,0,0,0,16,0
"2009-10-28",6,0,46488,84,0,0,0,0,777,0,0,0,25,84,0,2,0,0,0,0,0,2,2,0,9,4,0,0,0,0,0,0,11,0,0,5,4,59,41,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,11,22,2,79,3,5,0,0,231,0,20,0,428,0,4422,1390,0,1050,0,3,0,0,0,0,0,0,2,0
"2010-02-04",4,0,14003,53,0,0,0,0,46,0,0,0,14,29,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,2,2,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,55,0,5,3,0,38,0,0,15,140,0,522,863,0,180,0,0,14,0,0,0,0,0,0,0
"2010-05-06",7,0,47487,13,2,0,4,0,704,0,0,0,13,209,5,0,0,0,0,0,0,2,4,0,11,0,2,0,0,4,0,0,6,0,0,2,10,56,4,0,0,0,0,0,0,0,0,0,0,321,0,0,0,0,43,22,0,112,0,30,0,0,142,0,2,2,457,0,2303,1662,0,1578,0,2,4,0,0,0,0,0,0,0
"2010-08-19",0,0,18209,8,0,0,0,0,254,0,0,0,7,24,0,5,0,0,0,0,0,0,0,0,0,177,0,8,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,95,3,0,0,0,5,3,0,37,0,0,0,0,90,0,5,0,220,0,459,437,0,83,0,0,0,0,0,0,0,0,0,0
"2010-10-28",0,0,54544,219,4,0,0,0,539,0,0,3,15,339,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,4,9,44,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,5,6,0,201,0,2,0,0,642,0,17,0,731,0,5143,1942,0,1362,0,7,0,0,0,0,0,0,15,0
"2011-02-04",0,0,21259,51,0,0,0,0,150,0,0,0,14,23,0,0,0,0,0,0,0,0,5,0,0,4,0,0,6,0,0,0,0,0,0,0,0,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,42,0,2,0,0,71,0,0,8,235,0,2070,848,0,705,0,0,0,0,0,0,0,0,21,0
