"","Solibacteraceae.Subgroup.3.","Blastocatellaceae","uncultured","Nocardioidaceae","Streptomycetaceae","Streptosporangiaceae","Fimbriimonadaceae","Prevotellaceae","Chitinophagaceae","Saprospiraceae","Hymenobacteraceae","SpirosomaceaeD_5_.Dyadobacter","Spirosomaceae","Flavobacteriaceae","Weeksellaceae","Sphingobacteriaceae","Chlorobiaceae","CandidatusKapabacteria.sp..59.99.","unculturedsludge.bacterium.A12b.","unculturedsludge.bacterium.","LF045","Anaerolineaceae","Ardenticatenaceae","A4b","unculturedCaldilineaceae.bacterium.","Chloroflexaceae","Herpetosiphonaceae","Roseiflexaceae","AKYG1722","Plasmoparaviticola.","Phormidiaceae","Thiovulaceae","metagenome","Fibrobacteraceae","Bacillaceae","Clostridiaceae1","Lachnospiraceae","Erysipelotrichaceae","Gemmatimonadaceae","CandidatusKomeilibacteria.bacterium.RIFCSPHIGHO2_01_FULL_52_14.","CandidatusKomeilibacteria.bacterium.RIFOXYC1_FULL_37_11.","CandidatusPeregrinibacteria.bacterium.RIFCSPLOWO2_01_FULL_48_20.","bacteriumWH3.1.","CandidatusPeribacteria.bacterium.RIFCSPHIGHO2_02_FULL_53_20.","groundwatermetagenome.","unculturedbacterium.GKS2.174.","CandidatusRoizmanbacteria.bacterium.RIFCSPLOWO2_01_FULL_40_32.","unculturedbacterium.","Saccharimonadaceae","soilbacterium.WF55.","Phycisphaeraceae","Tepidisphaeraceae","D2101.soil.group.","D2101.soil.group","Gemmataceae","Isosphaeraceae","Pirellulaceae","Rubinisphaeraceae","Schlesneriaceae","Acetobacteraceae","UnknownFamily.","Azospirillaceae","Caulobacteraceae","Holosporaceae","A0839","Hyphomicrobiaceae","Rhizobiaceae","Xanthobacteraceae","Rhodobacteraceae","Sphingomonadaceae","Geminicoccaceae","Burkholderiaceae","Moraxellaceae","Pseudomonadaceae","Leptospiraceae","Spirochaetaceae","Synergistaceae","Kosmotogaceae","Petrotogaceae","Fervidobacteriaceae","Rubritaleaceae","Verrucomicrobiaceae"
"2009-08-19",12,0,58713,641,2,0,0,0,430,0,0,2,15,579,0,0,0,0,0,0,0,3,155,0,2,17,0,0,0,5,0,0,9,0,0,5,22,56,30,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,9,30,0,117,0,4,0,0,66,0,0,163,789,0,2013,1784,0,2307,5,18,2,0,0,0,0,0,2,0
"2009-10-28",38,0,53428,63,0,0,0,0,479,0,0,0,24,36,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,0,4,0,16,12,0,0,0,0,0,0,0,0,0,0,99,5,0,0,0,24,12,2,176,0,2,0,0,61,0,23,0,237,0,1624,1349,0,562,0,2,2,0,0,0,0,0,0,0
"2010-02-04",0,0,16435,35,91,0,0,0,359,0,0,2,4,145,0,0,0,0,0,0,0,0,14,0,0,27,0,6,0,4,0,0,2,0,0,0,3,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,10,61,0,7,0,0,30,0,4,0,240,0,2120,387,4,378,0,0,0,0,0,0,0,0,0,0
"2010-05-06",13,0,41685,47,3,0,0,0,478,0,0,0,11,412,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,28,0,0,3,8,32,4,2,0,0,0,0,0,10,2,0,2,6,2,0,0,2,16,2,0,81,0,18,0,0,116,0,62,38,245,0,873,1090,0,1254,0,10,5,2,0,0,0,0,2,0
"2010-08-19",0,0,16281,17,0,0,0,0,101,0,0,0,3,9,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,10,3,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,2,0,0,3,0,2,0,0,34,0,0,6,192,0,1517,316,0,298,0,0,0,0,0,0,0,0,2,0
"2010-10-28",0,0,20670,35,0,0,0,0,633,0,0,0,17,65,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,13,9,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,4,22,0,18,0,5,0,0,194,0,0,0,216,0,2206,783,0,567,0,0,0,0,0,0,0,0,0,0
"2011-02-04",21,0,21158,69,0,0,7,0,311,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,6,0,4,0,0,2,0,0,0,0,2,5,7,13,0,0,0,0,0,0,0,0,0,0,101,2,0,0,0,0,17,0,24,0,4,0,0,79,0,17,0,73,0,1219,383,0,552,0,2,9,0,0,0,0,0,5,0
"2011-05-06",0,0,5351,4,0,0,0,0,28,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,3,0,85,0,214,175,0,23,0,0,0,0,0,0,0,0,0,0
"2011-08-19",37,0,31499,44,0,0,3,0,382,12,0,0,2,0,0,21,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,32,2,6,2,6,14,15,0,0,10,0,0,0,0,0,0,0,135,4,0,0,0,3,31,0,39,0,15,0,0,35,0,18,3,129,0,871,418,0,571,0,5,8,0,0,4,0,0,0,0
"2012-02-04",0,0,23354,14,0,0,0,0,577,0,0,0,5,136,2,0,0,0,0,0,0,0,0,0,5,2,0,28,0,2,0,0,0,0,0,0,2,6,11,0,0,0,0,0,0,0,0,0,0,343,0,0,0,0,9,27,0,35,8,0,0,0,140,0,21,0,220,0,1527,603,0,432,0,0,0,0,0,0,0,0,0,0
"2012-05-06",2,0,14134,38,0,0,0,0,254,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,9,0,0,0,0,6,43,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,28,10,0,20,9,5,0,0,45,0,12,0,95,0,724,553,0,369,0,0,0,0,0,0,0,0,0,0
"2012-08-19",0,0,6694,212,0,0,0,0,115,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,2,0,0,4,0,7,0,78,7,226,124,0,29,0,0,0,0,0,0,0,0,0,0
"2012-10-28",7,0,81420,88,432,0,0,0,3208,0,0,0,79,524,3,0,0,0,0,0,0,11,13,0,0,8,6,34,4,7,0,0,34,0,0,2,6,24,36,0,0,0,2,0,0,0,0,0,0,237,12,0,0,0,130,22,0,418,0,40,2,3,434,0,80,16,1077,0,5783,3818,0,1527,0,3,0,0,0,0,0,0,0,0
"2013-02-04",0,0,3634,16,0,0,0,0,9,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,20,0,0,0,54,0,182,224,0,40,0,0,0,0,0,0,0,0,0,0
"2013-05-06",0,29,63388,2,0,0,0,0,0,0,0,0,10,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,184,0,387,0,0,14,0,0,0,1853,1,1068,649,0,54,0,0,0,0,0,0,0,0,0,0
"2013-08-19",0,0,15337,9,0,0,3,0,65,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,8,0,2,0,0,0,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,2,0,28,0,0,0,0,37,0,0,3,112,0,270,298,0,135,0,0,2,0,0,0,0,0,0,0
"2013-10-28",2,0,39757,42,2,0,0,0,611,0,0,0,40,371,0,10,0,0,0,0,0,0,4,0,0,0,0,0,30,2,0,0,5,0,0,4,6,44,44,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,3,0,249,0,9,0,0,69,0,0,28,357,0,3145,1714,0,2233,0,11,0,0,0,0,0,0,7,0
