"","unculturedarchaeon.","Koribacteraceae","Solibacteraceae.Subgroup.3..","Solibacteraceae.Subgroup.3.","unculturedbacterium.","metagenome","unculturedAcidobacteriales.bacterium.","unculturedAcidobacterium.sp..","uncultured","Blastocatellaceae","unculturedAcidobacteria.bacterium.","Holophagaceae","freshwatersediment.metagenome.","unculturedbacterium.SJA.36.","unculturedsoil.bacterium.","unculturedorganism.","Acidobacteriabacterium.SCN.69.37.","unculturedsludge.bacterium.H3.","Thermoanaerobaculaceae","Iamiaceae","Ilumatobacteraceae","Microtrichaceae","Actinomycetaceae","Bifidobacteriaceae","Corynebacteriaceae","Mycobacteriaceae","Nocardiaceae","Cryptosporangiaceae","Nakamurellaceae","Kineosporiaceae","Dermatophilaceae","Intrasporangiaceae","Microbacteriaceae","Nocardioidaceae","Propionibacteriaceae","Atopobiaceae","Coriobacteriaceae","Gaiellaceae","6714.","6714","Solirubrobacteraceae","Armatimonadaceae","Fimbriimonadaceae","Bacteroidaceae","BacteroidetesBD2.2.","BacteroidetesvadinHA17.","BacteroidetesvadinHA17","Muribaculaceae","Paludibacteraceae","Prevotellaceae","Prolixibacteraceae","Rikenellaceae","SB5","Tannerellaceae","3713.","3713","Chitinophagaceae","Saprospiraceae","Cyclobacteriaceae","Hymenobacteraceae","Microscillaceae","Crocinitomicaceae","NS9marine.group.","Weeksellaceae","AKYH767","KD393.","KD393","Lentimicrobiaceae","LiUU11.161.","NS1112.marine.group.","envOPS.17.","envOPS.17","LDRB.34.","PHOSHE36.","PHOSHE36","BSV26","MSB3C8.","CandidatusKapabacteria.sp..59.99.","unculturedBacteroidetes.Chlorobi.group.bacterium.","unculturedChlorobiales.bacterium.","unculturedsludge.bacterium.A12b.","Chlorobibacterium.OLB5.","Calditrichaceae","Chlamydiaceae","Parachlamydiaceae","Simkaniaceae","cvE6","unculturedChloroflexia.bacterium.","Anaerolineaceae","Caldilineaceae","hotsprings.metagenome.","unculturedAnaerolineaceae.bacterium.","unculturedCaldilineaceae.bacterium.","unculturedCaldilineae.bacterium.","unculturedanaerobic.ammonium.oxidizing.bacterium.","unculturedbacterium.SBR1108.","unculturedbacterium.UASB_TL14.","unculturedsludge.bacterium.A31.","A4b","unculturedGemmatimonadetes.bacterium.","unculturedsludge.bacterium.H5.","wastewatermetagenome.","unculturedBellilinea.sp..","Roseiflexaceae","JG30KF.CM45.","unculturedChloroflexi.bacterium.","unculturedcandidate.division.SAM.bacterium.","Melosiravarians.","uncultureddiatom.","Cyanobiaceae","unculturedDesulfuromonadaceae.bacterium.","Deinococcaceae","Thermaceae","Babeliaceae","Vermiphilaceae","groundwatermetagenome.","unculturedprokaryote.","Arcobacteraceae","Sulfurospirillaceae","unculturedSyntrophaceae.bacterium.","Bacillaceae","Carnobacteriaceae","Lactobacillaceae","Streptococcaceae","Christensenellaceae","Clostridiaceae1.","Eubacteriaceae","Lachnospiraceae","Peptostreptococcaceae","Ruminococcaceae","Erysipelotrichaceae","Veillonellaceae","Fusobacteriaceae","Leptotrichiaceae","Gemmatimonadaceae","Hydrogenedensaceae","Latescibacteraceae","unculturedPelobacter.sp..","unculturedPlanctomycetales.bacterium.","unculturedsoil.bacterium.PBS.III.30.","Nitrospiraceae","Omnitrophaceae","unculturedbeta.proteobacterium.","unculturedParcubacteria.group.bacterium.","unculturedcandidate.division.SR1.bacterium.","CandidatusAbawacabacteria.bacterium.RBG_16_42_10.","CandidatusPeregrinibacteria.bacterium.RIFCSPLOWO2_01_FULL_48_20.","unculturedbacterium.GKS2.174.","CandidatusHarrisonbacteria.bacterium.RIFCSPHIGHO2_02_FULL_40_20.","Parcubacteriagroup.bacterium.CG1_02_50_68.","Parcubacteriagroup.bacterium.GW2011_GWA1_60_11.","Saccharimonadaceae","soilbacterium.WF55.","unculturedbacterium.SBR2060.","unculturedbacterium.SBR2096.","unculturedcandidate.division.WS5.bacterium.","unculturedgamma.proteobacterium.","CandidatusBerkelbacteria.bacterium.RIFCSPHIGHO2_12_FULL_50_11.","unculturedplanctomycete.","Brocadiaceae","planctomyceteA.2.","unculturedCrater.Lake.bacterium.CL500.15.","Phycisphaeraceae","Gemmataceae","Isosphaeraceae","Acetobacteraceae","AzospirillalesIncertae.Sedis.","Caedibacteraceae","Caulobacteraceae","Hyphomonadaceae","Dongiaceae","Micropepsaceae","Paracaedibacteraceae","Reyranellaceae","A0839","Beijerinckiaceae","Devosiaceae","Hyphomicrobiaceae","Labraceae","Pleomorphomonadaceae","Rhizobiaceae","RhizobialesIncertae.Sedis.","Xanthobacteraceae","Rhodobacteraceae","Rhodopirillaceae","Rhodospirillaceae","Terasakiellaceae","AB1","Midichloriaceae","Mitochondria","Rickettsiaceae","SM2D12","Sphingomonadaceae","unculturedBradyrhizobiaceae.bacterium.","unculturedactinobacterium.","Bacteriovoracaceae","Bdellovibrionaceae","Desulfarculaceae","Desulfomicrobiaceae","Desulfovibrionaceae","unculturedproteobacterium.","Archangiaceae","BIrii41","Blfdi19","Eel36e1D6.","Haliangiaceae","KD310.","KD310","Nannocystaceae","P3OB42.","P3OB42","Phaselicystidaceae","Polyangiaceae","Sandaracinaceae","Vulgatibacteraceae","bacteriap25","mle127.","mle127","unculturedDesulfuromonadales.bacterium.","03196G20.","03196G20","Oligoflexaceae","Acidithiobacillaceae","Aeromonadaceae","Marinobacteraceae","Arenicellaceae","A21b","Aquaspirillaceae","B17BS.","Burkholderiaceae","Chitinimonadaceae","Hydrogenophilaceae","Nitrosomonadaceae","Rhodocyclaceae","SCI.84.","SCI.84","TRA320.","TRA320","Cellvibrionaceae","Porticoccaceae","Spongiibacteraceae","Chromatiaceae","Competibacteraceae","Coxiellaceae","Diplorickettsiaceae","UnknownFamily.","Immundisolibacteraceae","Legionellaceae","Methylococcaceae","Methylomonaceae","Halomonadaceae","Saccharospirillaceae","Moraxellaceae","Pseudomonadaceae","unculturedHalochromatium.sp..","Steroidobacteraceae","Thiotrichaceae","Rhodanobacteraceae","Xanthomonadaceae","Leptospiraceae","Spirochaetaceae","Mycoplasmataceae","Methylacidiphilaceae","Opitutaceae","Puniceicoccaceae","Pedosphaeraceae","Verrucomicrobiaceae","bacteriumenrichment.culture.clone.Anammox_55."
"O8-1XH",0,0,81,0,665,291,0,0,503,21,28,11,10,0,0,0,0,0,3,6,23,30,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,9,6,2,0,350,0,0,0,0,0,0,0,0,0,5,3,94,452,0,0,110,7,52,2,50,3,0,0,0,0,33,0,8,135,47,41,0,0,0,7,0,6,22,0,0,0,0,37,91,109,0,0,13,2,8,0,0,0,7,0,0,61,6,59,9,6,0,0,0,0,0,0,0,0,3,0,0,3,2,0,0,0,0,119,0,8,0,0,21,0,8,0,0,0,29,0,0,0,0,0,235,0,0,8,0,0,0,6,0,0,0,7,0,0,0,13,0,0,0,0,0,0,63,0,2,4,0,0,0,12,0,0,0,0,51,0,0,0,0,0,0,0,47,3,22,0,0,0,0,0,0,0,22,0,5,0,16,7,0,0,0,9,25,0,0,96,0,0,17,0,0,0,37,4,0,0,10,0,0,19,0,0,9,8,0,0,9,0,18,68,26,28,50,254,15,0,0,0,0,0,7,0,117,0,0,0,0,0,0,11,10,0,17,0,2,11,0,19,5,27,0,0,0,0,0,3,4,0
"O8-14XH",0,0,38,0,701,253,0,0,333,129,85,5,9,0,3,0,0,0,0,0,11,18,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,6,0,0,0,0,3,4,91,316,0,0,65,0,39,0,53,0,0,0,0,0,34,0,0,101,33,13,0,0,0,0,0,8,0,0,10,14,0,44,130,109,0,0,11,0,0,0,0,0,12,0,0,67,3,56,9,22,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,105,0,22,0,0,20,0,8,19,0,0,11,0,0,0,0,0,238,0,0,12,0,0,0,0,0,8,0,13,0,0,0,10,0,0,0,9,0,0,39,2,19,2,0,0,0,7,0,0,0,0,24,0,0,12,0,0,0,0,55,0,25,0,0,0,0,0,0,0,22,0,2,0,5,0,0,0,0,0,16,0,0,93,0,0,16,0,0,0,9,0,0,0,5,0,0,0,0,0,9,20,0,0,0,0,20,22,3,27,37,384,11,0,0,0,0,0,13,0,280,0,0,0,0,0,0,3,7,0,3,0,10,15,0,3,0,16,0,0,0,0,0,15,20,8
"O8-28XH",0,0,255,21,2772,1212,12,9,1450,466,319,54,38,10,39,7,0,0,52,14,34,60,0,5,0,2,7,6,0,7,0,30,0,19,20,7,0,0,19,0,12,5,0,3,708,11,4,0,7,18,2,0,0,9,42,13,277,1441,0,0,179,10,131,26,172,2,6,7,0,2,446,0,27,503,144,91,9,0,0,8,3,26,29,0,11,8,0,107,561,341,0,0,56,2,21,0,3,4,159,0,13,115,16,267,33,36,0,0,0,4,8,0,0,0,0,0,32,64,32,0,0,3,0,448,0,31,7,0,27,0,8,23,0,13,155,0,3,2,24,3,616,7,0,48,0,2,0,4,0,26,0,136,0,0,0,62,59,0,0,0,6,0,120,21,54,20,4,0,8,47,7,0,0,4,66,3,0,57,0,3,0,28,158,8,108,5,0,0,0,0,0,0,71,0,14,0,173,8,4,0,9,45,40,10,7,378,8,4,95,12,6,32,139,21,0,7,58,2,0,34,0,0,32,175,0,7,18,4,78,353,102,107,291,1693,63,0,0,0,0,0,37,8,895,4,0,13,0,0,8,32,28,0,86,0,31,89,0,35,7,70,0,0,13,0,0,59,44,13
"O9-10XH",0,0,106,2,1719,1199,9,7,1293,656,269,44,16,9,19,4,0,0,23,30,36,89,0,2,0,0,0,10,0,12,0,60,0,10,10,3,2,0,19,0,8,5,0,4,299,2,4,0,6,8,0,0,0,0,50,24,242,987,0,4,121,8,106,5,132,2,0,2,0,0,159,3,2,268,83,43,5,0,0,4,0,13,20,0,18,4,0,113,286,367,0,0,43,0,20,0,5,4,106,0,7,49,4,170,31,33,0,0,0,0,4,0,0,0,0,4,31,2,6,0,0,0,6,303,0,45,5,0,25,0,5,27,0,2,93,0,0,2,32,0,289,8,0,34,0,0,0,2,3,11,0,87,0,0,0,70,0,0,0,0,2,0,65,7,10,18,4,0,6,35,4,0,0,0,51,2,0,42,0,0,0,12,118,9,39,0,0,0,0,0,0,0,53,0,7,0,118,3,0,0,4,31,28,4,0,357,4,2,58,9,0,8,72,20,0,3,21,8,0,27,2,0,8,44,0,2,10,0,36,163,77,136,173,899,42,0,0,0,0,0,23,5,422,0,0,11,0,0,5,17,23,0,56,2,12,83,6,47,4,69,0,0,8,0,0,49,41,11
"O9-26XH",0,0,93,4,1523,1602,25,6,1657,508,208,66,17,6,31,12,0,8,89,12,42,87,0,4,0,1,7,6,0,9,0,78,0,15,13,0,0,0,12,0,29,7,0,0,151,3,4,0,2,41,5,0,4,0,37,12,204,917,0,10,125,29,205,3,330,0,14,0,0,6,954,4,22,670,206,53,8,0,0,23,0,15,15,0,11,0,0,221,333,532,0,0,48,0,7,5,0,3,91,0,8,65,8,209,37,52,0,3,0,0,5,10,0,0,0,0,21,16,12,0,0,0,13,477,3,65,3,0,47,0,5,68,0,4,95,0,4,0,14,0,521,12,0,16,0,0,0,0,0,2,0,61,0,7,0,48,40,0,0,0,3,0,51,3,10,53,4,0,9,89,2,0,0,2,93,0,2,52,0,0,0,24,155,12,79,3,0,21,0,0,4,4,79,0,21,0,226,3,0,4,13,46,48,10,0,195,12,0,185,24,5,15,90,45,0,39,76,31,0,102,14,0,14,71,0,4,5,0,47,214,98,104,194,1006,46,7,0,0,0,0,53,13,622,0,0,18,0,0,0,42,22,0,104,0,21,115,11,32,9,104,5,0,4,0,0,38,39,3
"O10-15XH",0,0,135,8,2029,878,12,4,1664,377,109,54,7,0,38,10,0,0,15,25,42,87,0,5,0,0,5,9,0,9,0,79,0,33,3,4,3,0,23,0,7,6,0,0,230,14,0,0,2,14,0,0,0,5,49,18,313,1055,0,6,201,16,281,6,343,6,4,5,0,3,460,22,5,477,112,79,8,0,0,56,0,21,13,0,17,129,10,62,428,520,0,0,52,0,19,2,6,3,152,0,9,62,13,283,43,22,0,0,0,0,0,17,0,0,5,8,26,26,13,0,0,0,11,111,0,78,7,0,22,0,5,12,0,0,168,3,0,0,22,0,472,14,0,43,0,0,0,2,0,16,0,28,0,0,0,56,0,0,0,0,0,0,143,12,18,17,15,0,0,67,3,0,0,4,63,0,4,47,0,0,0,7,135,6,36,6,0,14,0,0,3,0,64,0,10,0,199,3,0,0,10,20,35,17,0,357,10,0,94,11,14,10,92,26,0,4,28,12,0,71,4,29,6,22,0,3,3,0,41,187,150,92,220,985,37,2,0,0,0,0,11,4,182,0,0,17,0,0,4,34,42,0,75,3,7,128,5,58,17,122,0,0,4,0,0,58,51,7
"O10-30XH",0,0,162,8,1836,625,16,8,1588,325,105,84,20,10,61,10,0,10,28,41,49,104,0,9,0,5,8,13,0,4,0,84,0,33,15,0,3,0,26,0,20,0,0,0,279,9,0,0,3,16,9,0,2,3,75,18,322,820,0,3,198,7,258,11,425,10,17,0,0,0,972,14,20,1096,222,72,8,0,0,86,0,28,21,0,26,42,0,69,375,481,0,0,31,0,6,5,4,2,137,0,14,36,17,211,42,30,0,0,0,0,5,6,0,0,26,0,27,30,9,0,0,0,5,190,3,33,8,0,23,0,2,20,0,5,224,0,3,5,22,0,729,23,0,57,0,0,0,0,0,9,0,32,0,10,0,35,83,0,0,0,2,0,81,8,13,40,10,0,3,166,5,0,0,4,157,2,5,42,0,0,0,18,99,17,60,9,0,12,0,0,7,27,68,0,17,0,415,5,0,2,21,16,43,30,3,309,16,0,142,34,16,6,76,53,0,22,91,26,0,181,49,0,4,39,0,4,3,0,61,220,259,88,266,1093,53,8,0,0,0,0,32,13,186,0,0,14,0,0,0,61,40,0,88,0,7,189,24,52,28,141,4,0,7,7,0,55,33,7
"O11-14XH",0,0,201,0,1766,652,12,4,1310,354,77,53,17,11,11,11,0,10,27,28,66,255,2,16,0,4,3,12,0,13,0,153,0,63,12,4,3,0,53,0,26,3,3,0,324,0,0,0,0,7,0,0,0,0,50,22,408,1072,0,9,172,7,228,5,381,20,0,0,0,0,203,0,11,587,116,64,0,0,0,55,0,29,24,0,0,17,0,45,283,515,0,0,39,0,8,15,0,9,148,0,15,54,2,293,87,31,0,0,0,0,0,0,0,0,13,8,25,26,11,0,0,0,4,183,0,44,11,2,63,0,2,9,0,0,233,0,0,0,19,0,748,11,0,29,0,0,0,5,0,27,0,89,0,0,0,27,60,0,0,0,0,0,52,9,15,35,15,0,0,68,0,0,0,0,111,6,0,62,0,0,2,24,171,12,41,10,0,8,0,0,10,13,79,0,13,0,143,7,0,0,32,8,57,21,2,379,16,0,146,34,7,16,102,30,0,0,108,0,0,17,0,0,8,12,0,0,0,0,51,317,207,94,231,1060,63,13,0,0,0,0,15,14,203,2,2,14,0,0,7,46,52,0,107,0,2,259,10,60,22,62,6,0,3,0,0,17,33,0
"O11-27XH",0,0,34,0,275,117,0,0,286,72,21,17,8,0,0,0,0,0,0,4,14,18,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,27,15,141,278,0,0,134,3,89,0,116,8,0,0,0,0,100,0,0,101,41,17,0,0,0,11,0,5,14,0,0,0,0,9,57,49,0,0,7,0,4,0,0,0,9,0,0,0,0,45,13,6,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,11,0,14,7,0,7,0,0,0,0,0,57,0,0,0,0,0,200,0,0,3,0,0,0,3,0,11,0,15,0,0,0,6,15,0,0,0,0,0,21,0,0,5,0,0,0,17,0,0,0,0,27,4,0,3,0,0,0,0,28,0,5,0,0,0,0,0,0,0,12,0,2,0,13,0,0,0,0,0,12,0,0,98,0,0,37,6,0,0,23,9,0,7,23,0,0,0,0,0,0,2,0,0,0,0,15,38,30,8,51,325,13,0,0,0,0,0,0,0,30,0,0,0,0,0,0,8,2,0,5,0,3,79,0,13,0,11,0,0,0,0,0,0,5,0
"O12-11XH",0,0,47,0,634,207,0,0,459,155,33,10,6,0,5,0,0,0,0,10,15,54,2,0,0,0,0,2,0,0,0,26,0,11,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,5,0,0,0,0,18,17,146,412,0,0,115,0,67,0,79,10,0,0,0,0,184,0,0,106,50,18,0,0,0,0,0,6,0,0,12,0,0,13,150,77,0,0,4,0,0,0,0,0,34,0,0,4,4,70,9,8,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,11,0,15,4,0,21,0,0,15,0,0,22,0,0,0,0,0,103,0,0,26,0,0,0,0,0,17,0,86,0,0,0,5,0,0,0,0,0,0,20,0,4,5,0,0,0,17,0,0,0,0,30,0,0,6,0,0,0,0,24,0,3,8,0,0,0,0,0,0,17,0,8,0,12,0,0,0,0,0,11,0,0,52,0,0,10,0,0,0,8,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,8,16,23,8,25,225,2,0,0,0,0,0,0,0,41,0,0,0,0,0,0,9,3,0,41,0,0,33,0,19,0,3,0,0,0,0,0,11,24,8
"O12-25XH",0,0,88,0,1338,552,11,0,968,417,73,46,6,0,13,0,0,2,15,52,29,85,0,5,0,114,2312,9,0,8,0,149,2,67,5,0,2,0,13,8,2,0,20,0,281,0,0,0,0,13,0,0,0,0,54,24,272,846,0,0,208,7,167,3,217,79,6,0,0,0,829,0,0,162,86,42,0,0,0,8,7,27,5,0,8,0,0,23,131,253,0,0,17,0,2,10,0,6,79,0,6,5,0,178,49,73,0,0,0,0,0,0,0,0,35,0,8,35,1,0,0,14,0,7,0,15,18,0,34,0,2,8,0,0,84,0,0,0,7,0,225,0,0,13,0,0,0,0,0,12,0,295,0,26,0,0,0,0,0,0,0,0,63,4,6,32,11,0,3,55,0,0,0,0,33,3,0,15,0,0,0,0,41,5,12,4,0,0,0,0,0,0,123,0,7,0,123,8,0,0,3,2,20,3,2,332,30,0,38,6,5,4,92,28,0,0,68,0,0,13,0,0,109,10,0,0,0,0,44,182,288,30,80,980,15,2,0,0,13,0,3,0,110,0,0,7,0,0,0,26,67,0,365,0,0,79,12,299,16,139,0,0,3,0,10,25,74,4
"O1-13XH",0,0,45,0,567,219,0,0,577,209,33,33,26,12,8,0,0,0,0,16,15,30,0,0,0,11,194,7,0,0,0,42,0,12,2,0,0,0,0,0,11,0,0,0,56,0,0,0,0,0,0,0,0,0,37,37,168,632,0,0,85,0,79,0,66,21,0,0,0,0,157,0,0,48,52,8,0,0,0,3,0,23,3,0,2,0,0,4,109,48,0,0,10,0,0,10,0,2,30,0,0,9,7,81,19,12,0,0,0,0,0,0,0,0,14,0,2,26,0,0,0,0,0,3,0,8,2,0,6,0,0,0,0,0,59,0,0,0,12,0,109,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,46,0,0,0,0,0,22,0,0,13,0,0,0,35,0,0,0,0,25,0,0,11,0,0,0,0,33,0,4,11,0,0,0,0,0,0,18,0,12,0,25,0,0,0,0,9,14,0,0,161,0,0,32,1,0,0,8,16,0,0,20,0,0,0,0,0,31,7,0,0,0,0,24,69,43,22,79,375,22,0,0,0,0,0,0,0,56,0,0,11,0,0,0,0,24,0,114,0,0,49,0,87,9,46,0,0,0,0,0,11,7,0
"O1-23XH",0,0,118,2,1351,636,8,0,1468,328,68,117,29,17,35,3,0,11,35,68,69,108,5,2,0,105,3776,13,0,6,0,169,4,65,6,0,0,0,39,0,46,5,11,0,98,0,3,0,0,11,0,0,0,4,67,40,406,1231,0,0,267,14,262,3,280,40,6,7,16,0,806,28,0,118,112,22,0,0,0,5,7,57,9,0,3,4,0,15,221,299,0,0,23,0,5,22,0,0,120,0,3,14,9,441,49,47,0,0,0,0,0,0,0,0,23,0,8,24,5,0,0,0,0,3,0,22,21,0,45,0,6,0,0,0,142,0,0,1,17,0,258,0,0,1,0,0,0,8,0,4,0,298,0,15,62,0,71,0,0,0,0,0,101,6,11,42,11,0,12,78,0,7,0,5,57,5,5,15,0,0,0,3,57,0,11,22,0,0,0,8,0,0,65,0,15,0,186,11,0,0,4,11,31,12,0,445,15,8,64,6,8,43,127,50,0,9,84,0,0,64,11,12,479,12,0,0,7,2,51,220,172,25,174,899,27,2,0,0,0,10,4,0,97,2,0,16,0,0,0,22,88,0,304,2,3,103,6,436,11,145,0,0,0,0,0,28,51,4
"O2-2XH",0,0,164,0,1605,575,18,0,1362,550,110,112,40,20,40,5,0,5,32,36,33,67,0,2,6,74,2306,3,0,0,0,83,6,30,3,0,0,0,45,0,17,0,40,0,141,9,4,0,0,0,0,0,0,0,47,23,494,1278,0,0,347,2,376,4,238,52,9,3,23,0,295,0,5,146,136,35,0,0,0,29,9,54,6,0,3,3,0,7,403,258,0,0,14,0,2,18,3,4,206,0,6,95,7,380,38,24,0,0,0,0,0,19,0,0,26,7,17,33,4,0,0,3,0,0,0,22,16,0,61,0,5,2,0,0,158,3,0,15,24,0,278,0,0,3,0,0,0,9,0,16,0,205,5,10,87,0,39,0,0,0,0,0,232,8,29,20,25,0,5,84,4,8,12,6,67,2,6,18,0,0,0,4,41,2,7,10,0,0,0,0,0,0,26,3,13,2,130,0,0,0,11,5,33,5,2,389,18,0,38,8,4,25,79,33,0,11,81,24,0,60,24,0,361,12,0,0,5,0,21,193,61,16,171,529,24,0,0,0,0,6,5,8,42,0,0,11,0,0,3,20,76,0,151,0,0,104,10,277,13,51,0,0,2,0,0,65,68,7
"O2-16XH",0,0,20,0,205,111,0,0,241,149,0,18,10,0,4,0,0,2,0,14,0,5,0,0,0,11,307,2,0,0,0,15,0,12,0,0,2,0,0,0,3,0,0,0,27,0,0,0,0,0,0,0,0,0,5,11,136,253,0,0,81,0,48,0,37,7,0,0,0,0,78,0,0,22,34,7,0,0,0,0,0,6,3,0,0,0,0,2,63,50,0,0,6,0,0,0,0,0,9,0,0,6,0,33,8,11,0,0,0,0,0,0,0,0,7,0,5,2,0,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,19,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,14,0,0,17,0,12,0,0,0,0,0,17,0,0,9,0,0,0,10,0,0,0,0,20,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,6,0,3,0,3,0,0,0,0,0,5,0,0,35,0,0,0,0,0,0,2,5,0,0,3,0,0,6,0,0,49,0,0,0,5,0,2,34,21,2,33,103,7,0,0,0,0,0,0,0,12,0,0,2,0,0,0,11,6,0,39,0,0,28,0,23,0,8,0,0,0,0,0,3,8,2
"O2-24XH",0,0,0,0,195,100,0,0,176,90,15,15,8,0,2,0,0,0,16,12,15,11,0,0,0,10,290,0,0,0,0,29,0,11,0,0,0,0,0,0,2,0,4,0,26,0,0,0,0,0,0,0,0,4,0,3,121,289,0,0,21,0,47,7,31,21,0,0,0,0,34,0,0,29,29,5,0,0,0,0,0,5,2,0,0,0,0,4,21,64,0,0,4,0,0,0,0,0,0,0,0,61,0,64,8,15,0,0,0,0,0,0,0,0,0,0,0,48,4,0,0,0,0,7,0,4,3,0,11,0,2,0,0,0,4,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,30,0,0,11,0,18,0,0,0,0,0,7,0,0,0,3,0,0,21,0,0,0,0,48,0,0,2,0,0,0,0,19,2,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,2,0,0,54,0,0,5,0,0,0,7,0,0,0,17,0,0,7,0,0,55,0,0,0,4,0,6,47,18,3,40,126,7,0,0,0,0,0,12,0,22,0,3,0,0,0,1,6,5,0,23,0,0,16,0,15,4,4,0,0,0,0,0,2,0,0
