"","Solibacteraceae.Subgroup.3.","Blastocatellaceae","uncultured","Nocardioidaceae","Streptomycetaceae","Streptosporangiaceae","Fimbriimonadaceae","Prevotellaceae","Chitinophagaceae","Saprospiraceae","Hymenobacteraceae","SpirosomaceaeD_5_.Dyadobacter","Spirosomaceae","Flavobacteriaceae","Weeksellaceae","Sphingobacteriaceae","Chlorobiaceae","CandidatusKapabacteria.sp..59.99.","unculturedsludge.bacterium.A12b.","unculturedsludge.bacterium.","LF045","Anaerolineaceae","Ardenticatenaceae","A4b","unculturedCaldilineaceae.bacterium.","Chloroflexaceae","Herpetosiphonaceae","Roseiflexaceae","AKYG1722","Plasmoparaviticola.","Phormidiaceae","Thiovulaceae","metagenome","Fibrobacteraceae","Bacillaceae","Clostridiaceae1","Lachnospiraceae","Erysipelotrichaceae","Gemmatimonadaceae","CandidatusKomeilibacteria.bacterium.RIFCSPHIGHO2_01_FULL_52_14.","CandidatusKomeilibacteria.bacterium.RIFOXYC1_FULL_37_11.","CandidatusPeregrinibacteria.bacterium.RIFCSPLOWO2_01_FULL_48_20.","bacteriumWH3.1.","CandidatusPeribacteria.bacterium.RIFCSPHIGHO2_02_FULL_53_20.","groundwatermetagenome.","unculturedbacterium.GKS2.174.","CandidatusRoizmanbacteria.bacterium.RIFCSPLOWO2_01_FULL_40_32.","unculturedbacterium.","Saccharimonadaceae","soilbacterium.WF55.","Phycisphaeraceae","Tepidisphaeraceae","D2101.soil.group.","D2101.soil.group","Gemmataceae","Isosphaeraceae","Pirellulaceae","Rubinisphaeraceae","Schlesneriaceae","Acetobacteraceae","UnknownFamily.","Azospirillaceae","Caulobacteraceae","Holosporaceae","A0839","Hyphomicrobiaceae","Rhizobiaceae","Xanthobacteraceae","Rhodobacteraceae","Sphingomonadaceae","Geminicoccaceae","Burkholderiaceae","Moraxellaceae","Pseudomonadaceae","Leptospiraceae","Spirochaetaceae","Synergistaceae","Kosmotogaceae","Petrotogaceae","Fervidobacteriaceae","Rubritaleaceae","Verrucomicrobiaceae"
"2006-02-04",22,0,46702,0,0,0,0,0,331,13,0,0,1,110,0,0,0,19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,0,5,4,17,47,15,0,0,0,0,0,0,0,0,0,0,244,7,0,0,0,0,4,0,45,0,19,0,0,77,0,0,0,201,0,1653,751,0,637,4,2,24,0,0,0,0,0,5,0
"2006-05-06",12,0,119679,93,4,0,0,0,1022,3,0,0,476,329,0,5,0,0,0,0,0,15,75,0,5,64,26,0,4,3,0,0,82,0,4,10,14,95,60,16,0,0,3,5,0,0,0,0,2,5,15,0,0,0,0,21,0,394,8,29,0,0,198,0,2,0,556,0,5175,3113,0,3189,0,10,4,4,2,0,0,0,6,6
"2006-08-19",3,0,10244,35,2,0,0,0,155,0,0,0,14,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,59,0,0,0,0,21,0,3,0,102,0,714,551,0,90,0,0,3,0,0,0,0,0,0,0
"2006-10-28",36,0,68051,80,0,0,5,6,593,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,18,3,34,0,4,0,0,12,0,8,2,2,7,25,0,0,0,0,0,0,0,2,0,0,457,33,0,0,0,9,9,5,147,0,20,0,0,96,0,0,25,276,0,2592,1172,0,536,0,3,3,0,0,0,0,0,0,3
"2007-02-04",12,0,53710,52,2,0,0,0,354,2,0,0,21,115,0,0,0,0,0,0,0,0,4,0,0,48,0,64,0,3,0,0,11,0,15,2,0,7,9,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,146,26,0,281,0,6,6,0,83,0,132,125,207,0,1274,669,0,401,0,0,4,0,0,0,0,0,0,2
"2007-05-06",0,0,16800,25,0,0,0,0,306,0,0,0,10,107,0,5,0,0,0,0,0,0,3,0,0,0,0,0,14,0,0,0,4,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,145,0,12,2,0,40,0,0,21,218,0,1462,1123,0,1103,0,0,0,0,0,0,0,0,0,0
"2007-08-19",2,0,18006,12,0,0,0,0,44,0,0,0,0,34,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,2,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,0,3,0,0,19,0,0,0,87,0,344,815,0,261,0,0,40,0,0,0,0,0,2,0
"2007-10-28",0,0,7933,16,0,0,0,0,38,0,0,0,10,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,11,0,2,0,0,35,0,2,3,103,0,859,270,0,350,0,0,0,0,0,0,0,0,0,0
"2008-02-04",0,0,63643,343,0,0,0,2,402,0,0,0,12,330,0,4,0,0,0,0,0,4,5,0,0,0,0,6,0,20,0,0,12,0,4,2,0,22,14,0,0,0,0,0,0,0,0,0,0,38,14,0,0,0,11,6,0,144,0,5,0,0,93,0,0,8,317,0,4086,763,0,588,0,2,0,0,0,0,0,0,0,0
"2008-05-06",0,0,5351,4,0,0,0,0,22,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,9,0,0,0,58,0,254,204,0,62,0,0,0,0,0,0,0,0,0,0
