"","Solibacteraceae.Subgroup.3.","Blastocatellaceae","uncultured","Nocardioidaceae","Streptomycetaceae","Streptosporangiaceae","Fimbriimonadaceae","Prevotellaceae","Chitinophagaceae","Saprospiraceae","Hymenobacteraceae","SpirosomaceaeD_5_.Dyadobacter","Spirosomaceae","Flavobacteriaceae","Weeksellaceae","Sphingobacteriaceae","Chlorobiaceae","CandidatusKapabacteria.sp..59.99.","unculturedsludge.bacterium.A12b.","unculturedsludge.bacterium.","LF045","Anaerolineaceae","Ardenticatenaceae","A4b","unculturedCaldilineaceae.bacterium.","Chloroflexaceae","Herpetosiphonaceae","Roseiflexaceae","AKYG1722","Plasmoparaviticola.","Phormidiaceae","Thiovulaceae","metagenome","Fibrobacteraceae","Bacillaceae","Clostridiaceae1","Lachnospiraceae","Erysipelotrichaceae","Gemmatimonadaceae","CandidatusKomeilibacteria.bacterium.RIFCSPHIGHO2_01_FULL_52_14.","CandidatusKomeilibacteria.bacterium.RIFOXYC1_FULL_37_11.","CandidatusPeregrinibacteria.bacterium.RIFCSPLOWO2_01_FULL_48_20.","bacteriumWH3.1.","CandidatusPeribacteria.bacterium.RIFCSPHIGHO2_02_FULL_53_20.","groundwatermetagenome.","unculturedbacterium.GKS2.174.","CandidatusRoizmanbacteria.bacterium.RIFCSPLOWO2_01_FULL_40_32.","unculturedbacterium.","Saccharimonadaceae","soilbacterium.WF55.","Phycisphaeraceae","Tepidisphaeraceae","D2101.soil.group.","D2101.soil.group","Gemmataceae","Isosphaeraceae","Pirellulaceae","Rubinisphaeraceae","Schlesneriaceae","Acetobacteraceae","UnknownFamily.","Azospirillaceae","Caulobacteraceae","Holosporaceae","A0839","Hyphomicrobiaceae","Rhizobiaceae","Xanthobacteraceae","Rhodobacteraceae","Sphingomonadaceae","Geminicoccaceae","Burkholderiaceae","Moraxellaceae","Pseudomonadaceae","Leptospiraceae","Spirochaetaceae","Synergistaceae","Kosmotogaceae","Petrotogaceae","Fervidobacteriaceae","Rubritaleaceae","Verrucomicrobiaceae"
"2006-02-04",92,0,63092,105,0,0,0,0,839,0,0,0,62,486,0,0,0,0,0,0,0,4,0,0,2,2,0,14,0,7,0,0,1,0,0,2,19,54,21,0,0,0,0,0,0,0,0,0,0,463,6,0,0,0,15,12,0,69,2,30,0,0,508,2,3,23,702,0,4558,2173,0,1209,2,2,0,0,0,0,0,0,7,0
"2006-05-06",0,0,16235,0,0,0,0,0,231,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,10,7,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,7,0,28,0,0,0,0,107,3,17,0,191,0,1472,483,0,1001,0,0,0,0,0,0,0,0,0,0
"2006-08-19",8,0,44240,283,6,0,0,0,812,0,0,0,60,427,0,0,0,0,0,0,0,0,52,0,8,21,0,19,0,4,0,0,7,0,0,5,12,56,16,0,0,0,2,2,0,0,0,0,0,73,4,0,0,0,60,13,8,245,0,8,0,0,122,3,22,7,443,0,3819,1245,0,899,0,5,0,2,0,0,0,0,6,0
"2006-10-28",5,0,44553,33,0,0,0,0,250,0,0,0,79,51,0,0,0,0,0,0,0,6,42,0,6,20,0,0,2,0,0,0,12,0,0,4,6,28,10,5,0,0,0,0,0,0,0,0,0,47,4,0,0,0,0,8,0,195,3,29,0,0,255,0,4,2,441,0,3344,1341,0,1767,0,3,0,0,0,0,0,0,4,0
"2007-02-04",0,0,11076,2,3,0,0,0,24,0,0,0,11,9,0,2,0,0,0,5,0,0,19,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,3,0,0,0,0,32,0,9,4,52,0,272,238,0,103,0,0,0,0,0,0,0,0,0,0
"2007-05-06",0,47,18684,0,0,0,0,0,8,0,0,0,69,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,40,0,134,0,0,11,0,0,0,436,0,780,948,0,150,0,0,0,0,0,0,0,0,0,0
"2007-08-19",2,0,29571,138,0,0,0,0,424,0,0,0,6,51,0,0,0,0,0,0,0,2,31,0,5,46,0,6,0,2,0,0,18,0,0,0,3,10,15,2,0,0,0,0,0,2,0,0,0,41,0,0,0,0,66,24,12,122,0,4,4,0,89,0,64,10,268,0,1506,589,0,356,0,0,0,0,0,0,0,0,0,2
"2007-10-28",44,17,60382,464,3,0,2,0,1264,12,0,0,65,202,0,3,0,0,0,0,0,0,9,0,26,17,0,3,0,0,2,0,80,0,2,8,14,60,127,5,0,0,0,2,0,4,0,0,0,0,8,0,0,2,74,37,18,186,21,19,0,0,136,0,202,0,374,0,2135,2088,0,917,0,0,3,0,0,0,0,0,0,7
"2008-02-04",0,0,5543,21,0,0,0,0,13,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,17,0,140,290,0,91,0,0,15,0,0,0,0,0,0,0
"2008-05-06",0,0,5765,10,0,0,0,0,32,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,2,0,0,13,0,0,0,0,14,0,4,5,62,0,360,190,0,259,0,0,0,0,0,0,0,0,0,2
