"","Thermoprotei","Iainarchaeia","Micrarchaeia","Methanobacteria","Methanomicrobia","Thermococci","Thermoplasmata","Woesearchaeia","uncultured","Nitrososphaeria","Acetothermiia","Acidobacteriia","Aminicenantia","Blastocatellia.Subgroup.4..","Blastocatellia.Subgroup.4.","Holophagae","Subgroup11.","Subgroup11","Subgroup17.","Subgroup17","Subgroup22.","Subgroup22","Subgroup6.","Subgroup6","Thermoanaerobaculia","c5LKS83","Acidimicrobiia","Actinobacteria","Coriobacteriia","KISTJJY010.","MBA2.108.","MBA2.108","Thermoleophilia","WCHB181.","unculturedanaerobic.bacterium.","unculturedbacterium.","Aquificae","Armatimonadia","Chthonomonadetes","Fimbriimonadia","Caldatribacteriia","JS1","Omnitrophicabacterium.OLB16.","metagenome","unculturedsoil.bacterium.PRR.11.","Bacteroidia","Ignavibacteria","OC31","Rhodothermia","Caldisericia","Calditrichia","Chlamydiae","LD1PA32.","Anaerolineae","Chloroflexia","Dehalococcoidia","JG30KF.CM66.","JG30KF.CM66","KD496.","KD496","Ktedonobacteria","OLB14","TK10","Cloacimonadia","Coprothermobacteria","Melainabacteria","Oxyphotobacteria","Sericytochromatia","Dadabacteriia","Deferribacteres","Deinococci","Babeliae","Elusimicrobia","Endomicrobia","LineageIIa.","LineageIIa","LineageIIb.","LineageIIb","LineageIIc.","LineageIIc","Campylobacteria","Chitinivibrionia","Fibrobacteria","BRHc20a.","Bacilli","Clostridia","Erysipelotrichia","Negativicutes","Fusobacteriia","BD211.terrestrial.group","Gemmatimonadetes","MD2902B12.","Hydrogenedentia","Kiritimatiellae","Latescibacteria","saltmarshclone.LCP.67.","unculturedAcidobacterium.sp..","unculturedBacteroidetes.bacterium.","unculturedFibrobacteres.bacterium.","unculturedLatescibacteria.bacterium.","unculturedPelobacter.sp..","unculturedbacterium.mle1.16.","unculturedorganism.","unculturedplanctomycete.","unculturedprokaryote.","unculturedsoil.bacterium.PBS.II.5.","unculturedsoil.bacterium.PBS.III.30.","Lentisphaeria","Oligosphaeria","Moduliflexia","P9X2b3D02","Nitrospira","Thermodesulfovibrionia","Omnitrophia","OmnitrophicaWOR_2.bacterium.RIFCSPLOWO2_12_FULL_51_24.","groundwatermetagenome.","mixedculture.isolate.koll11.","unculturedbeta.proteobacterium.","ABY1","Berkelbacteria","CPR2","Gracilibacteria","Microgenomatia","Parcubacteria","Saccharimonadia","WWE3","028H05P.BN.P5.","028H05P.BN.P5","BD711.","BD711","Brocadiae","OM190","Phycisphaerae","Pla3lineage.","Pla3lineage","Pla4lineage.","Pla4lineage","Planctomycetacia","vadinHA49","Alphaproteobacteria","Deltaproteobacteria","Gammaproteobacteria","Brachyspirae","Leptospirae","MVP15.","MVP15","Spirochaetia","V2072189E03.","V2072189E03","Synergistia","Mollicutes","Thermotogae","Verrucomicrobiae","Burkholderialesbacterium.Beta_02.","bacteriumenrichment.culture.clone.Anammox_3.","hydrothermalvent.metagenome.","unculturedsoil.bacterium.","bacteriumenrichment.culture.clone.Anammox_55.","bacteriumenrichment.culture.clone.SRAO_37.","bioreactormetagenome.","uncultureddelta.proteobacterium."
"SRR8298142",0,0,0,10,0,0,0,31,700,0,0,119,0,1146,0,59,0,0,77,12,0,0,13,55,59,0,62,75,3,0,0,0,13,0,0,190,3,7,5,149,0,0,0,23,0,6241,791,2,0,0,12,256,0,648,129,0,0,4,0,0,0,57,2,0,0,50,0,28,0,0,15,59,140,0,2,2,25,0,4,4,15,26,7,0,65,168,28,7,107,0,133,0,4,66,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,701,0,0,0,4,0,0,42,0,0,165,27,328,161,0,2,0,24,0,2,166,199,0,52,30,11,655,0,871,1564,4631,0,77,0,0,6,0,0,0,0,0,276,0,0,0,0,0,0,0,0
"SRR8301025",0,0,3,4,19,3,0,9,318,0,0,32,1,157,0,195,0,0,19,17,0,0,96,16,342,0,455,704,20,0,0,0,237,0,0,6,0,0,0,75,0,0,0,8,0,3283,703,0,0,112,0,78,0,2693,45,0,20,5,9,17,0,669,2,0,0,3,0,0,0,0,0,11,11,0,0,0,0,5,0,0,0,68,0,0,54,271,14,0,0,0,39,0,4,19,0,0,0,1,0,0,4,0,0,8,46,0,0,0,0,0,0,171,0,0,0,0,0,0,156,0,7,93,16,37,127,0,0,0,2,0,0,74,51,0,0,0,0,166,0,1769,638,2865,0,0,0,0,34,0,0,10,0,0,78,0,0,0,0,9,0,26,0
"SRR8298102",0,0,0,0,0,0,0,0,11,0,0,4,0,13,0,689,0,0,0,0,0,0,0,0,0,0,18,109,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,8534,25,0,0,0,0,9,0,15,0,0,0,0,0,0,0,0,0,27,16,0,0,76,0,0,0,16,0,0,0,0,0,0,0,0,518,0,2,0,47,153,80,5,38,0,170,0,56,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,87,6,27,61,0,0,0,0,0,0,19,4,0,0,0,0,23,0,881,2019,6675,0,5,2,0,2,0,0,0,0,3,323,0,0,0,0,0,0,0,0
"SRR8301872",0,0,0,0,0,0,0,2,97,0,0,55,0,84,7,0,0,0,11,0,0,0,4,21,6,0,148,324,0,0,0,0,104,0,0,2,0,0,0,9,0,0,0,10,0,2266,132,0,0,0,0,12,0,373,74,0,0,0,2,0,0,46,2,0,0,65,4,0,0,0,0,0,41,0,3,0,4,0,0,0,77,0,0,0,87,51,10,0,3,0,155,0,6,10,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,706,0,0,0,0,0,0,6,0,0,7,2,46,0,0,4,0,20,0,0,201,190,0,0,2,6,115,0,1342,1053,5274,0,162,0,0,6,0,0,0,0,0,150,0,0,0,0,0,0,0,0
"SRR8301213",0,0,0,0,0,0,0,0,274,0,0,61,0,442,9,4,0,0,22,0,0,0,3,10,11,0,93,36,0,0,0,0,9,0,0,3,0,0,0,27,0,0,0,9,0,7182,194,0,0,0,11,43,0,509,19,0,0,0,0,2,0,38,0,0,0,40,2,6,0,0,0,10,26,0,0,0,6,6,0,0,103,16,142,0,13,50,3,0,19,0,14,0,17,3,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,482,0,17,0,0,0,0,25,0,0,49,12,84,132,0,0,0,5,0,0,89,103,0,0,0,4,101,0,562,424,3270,0,84,0,0,3,0,0,0,0,0,105,0,0,0,0,0,0,0,0
"SRR8301242",0,0,0,0,0,0,0,0,107,0,0,28,0,307,0,106,0,0,0,36,0,0,39,45,69,0,313,115,0,0,0,0,41,0,0,0,0,0,0,93,0,0,0,28,0,4919,225,0,0,2,0,116,0,747,34,0,0,0,12,0,0,104,13,0,0,13,0,2,101,0,0,15,2,0,0,0,0,0,0,0,6,0,0,0,24,272,70,0,0,0,599,0,14,3,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,80,0,0,0,2,0,0,0,0,0,22,9,45,15,0,0,0,0,0,0,88,70,0,0,0,4,133,0,2313,1148,5243,0,31,0,0,6,0,0,10,3,0,25,0,0,0,0,0,0,0,0
"SRR8298195",0,0,0,3,0,0,0,0,139,0,0,36,0,94,4,0,0,0,4,0,0,0,36,12,2,0,355,139,0,0,0,0,8,0,0,0,0,11,0,26,0,0,0,14,0,10814,201,0,0,0,0,71,0,335,164,0,0,0,0,0,0,45,0,0,0,17,0,0,0,0,0,18,46,0,0,0,21,0,0,0,43,0,8,0,2,31,4,0,47,0,32,0,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,93,9,5,658,0,0,0,2,0,0,46,33,0,0,0,4,44,4,495,550,3976,0,13,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0
"SRR8301654",0,0,0,5,0,0,0,3,211,0,0,41,0,330,7,251,0,0,38,14,3,0,4,30,7,0,171,146,2,3,0,0,116,0,0,0,0,0,0,30,0,0,0,34,1,6736,160,47,21,5,0,78,0,504,313,0,0,0,6,3,0,71,0,2,0,69,0,16,0,0,0,49,118,0,0,5,18,0,0,0,36,0,5,0,27,95,2,2,0,0,213,0,14,15,0,0,9,0,0,0,12,0,0,0,0,0,0,0,0,0,0,450,0,2,0,4,0,0,0,0,0,64,16,113,2,0,2,0,0,0,0,82,155,0,0,2,5,157,0,1407,2787,7313,0,278,0,0,17,0,2,4,0,0,232,0,0,0,0,0,0,0,0
"SRR8301777",0,0,0,0,0,0,0,0,57,0,0,31,0,318,11,17,0,0,38,0,0,0,5,31,13,0,107,99,0,0,0,0,51,0,0,0,0,0,0,9,0,0,0,22,0,3538,187,0,0,0,0,0,0,291,10,0,0,0,0,0,0,28,3,0,0,57,0,0,0,0,2,2,12,0,4,0,0,0,0,0,72,0,0,0,6,31,4,2,22,0,80,0,2,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,254,0,0,0,4,0,0,0,0,0,17,0,161,40,0,0,0,12,0,0,127,184,0,0,0,0,105,0,787,1082,10089,0,100,0,0,33,0,0,0,0,0,98,0,0,0,0,0,0,0,0
"SRR8301273",0,0,0,0,0,0,0,31,137,0,0,60,0,325,13,14,0,0,11,2,0,0,2,11,9,0,21,11,0,0,0,0,27,0,0,4,0,0,0,28,0,0,0,14,0,4086,128,0,0,0,111,23,0,421,15,0,0,0,0,0,0,27,0,0,0,33,8,16,0,0,0,9,305,0,0,6,85,12,0,0,265,3,106,0,20,53,5,2,14,0,24,0,4,2,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,339,0,84,0,3,0,0,23,0,0,39,3,251,6,0,2,0,55,0,0,93,120,0,0,6,21,78,5,541,956,4718,0,80,0,0,2,0,0,0,0,0,333,0,0,0,0,0,0,0,0
