"","Thermoprotei","Iainarchaeia","Micrarchaeia","Methanobacteria","Methanomicrobia","Thermococci","Thermoplasmata","Woesearchaeia","uncultured","Nitrososphaeria","Acetothermiia","Acidobacteriia","Aminicenantia","Blastocatellia.Subgroup.4..","Blastocatellia.Subgroup.4.","Holophagae","Subgroup11.","Subgroup11","Subgroup17.","Subgroup17","Subgroup22.","Subgroup22","Subgroup6.","Subgroup6","Thermoanaerobaculia","c5LKS83","Acidimicrobiia","Actinobacteria","Coriobacteriia","KISTJJY010.","MBA2.108.","MBA2.108","Thermoleophilia","WCHB181.","unculturedanaerobic.bacterium.","unculturedbacterium.","Aquificae","Armatimonadia","Chthonomonadetes","Fimbriimonadia","Caldatribacteriia","JS1","Omnitrophicabacterium.OLB16.","metagenome","unculturedsoil.bacterium.PRR.11.","Bacteroidia","Ignavibacteria","OC31","Rhodothermia","Caldisericia","Calditrichia","Chlamydiae","LD1PA32.","Anaerolineae","Chloroflexia","Dehalococcoidia","JG30KF.CM66.","JG30KF.CM66","KD496.","KD496","Ktedonobacteria","OLB14","TK10","Cloacimonadia","Coprothermobacteria","Melainabacteria","Oxyphotobacteria","Sericytochromatia","Dadabacteriia","Deferribacteres","Deinococci","Babeliae","Elusimicrobia","Endomicrobia","LineageIIa.","LineageIIa","LineageIIb.","LineageIIb","LineageIIc.","LineageIIc","Campylobacteria","Chitinivibrionia","Fibrobacteria","BRHc20a.","Bacilli","Clostridia","Erysipelotrichia","Negativicutes","Fusobacteriia","BD211.terrestrial.group","Gemmatimonadetes","MD2902B12.","Hydrogenedentia","Kiritimatiellae","Latescibacteria","saltmarshclone.LCP.67.","unculturedAcidobacterium.sp..","unculturedBacteroidetes.bacterium.","unculturedFibrobacteres.bacterium.","unculturedLatescibacteria.bacterium.","unculturedPelobacter.sp..","unculturedbacterium.mle1.16.","unculturedorganism.","unculturedplanctomycete.","unculturedprokaryote.","unculturedsoil.bacterium.PBS.II.5.","unculturedsoil.bacterium.PBS.III.30.","Lentisphaeria","Oligosphaeria","Moduliflexia","P9X2b3D02","Nitrospira","Thermodesulfovibrionia","Omnitrophia","OmnitrophicaWOR_2.bacterium.RIFCSPLOWO2_12_FULL_51_24.","groundwatermetagenome.","mixedculture.isolate.koll11.","unculturedbeta.proteobacterium.","ABY1","Berkelbacteria","CPR2","Gracilibacteria","Microgenomatia","Parcubacteria","Saccharimonadia","WWE3","028H05P.BN.P5.","028H05P.BN.P5","BD711.","BD711","Brocadiae","OM190","Phycisphaerae","Pla3lineage.","Pla3lineage","Pla4lineage.","Pla4lineage","Planctomycetacia","vadinHA49","Alphaproteobacteria","Deltaproteobacteria","Gammaproteobacteria","Brachyspirae","Leptospirae","MVP15.","MVP15","Spirochaetia","V2072189E03.","V2072189E03","Synergistia","Mollicutes","Thermotogae","Verrucomicrobiae","Burkholderialesbacterium.Beta_02.","bacteriumenrichment.culture.clone.Anammox_3.","hydrothermalvent.metagenome.","unculturedsoil.bacterium.","bacteriumenrichment.culture.clone.Anammox_55.","bacteriumenrichment.culture.clone.SRAO_37.","bioreactormetagenome.","uncultureddelta.proteobacterium."
"SRR8301641",0,0,0,6,3,0,0,0,385,0,0,33,0,61,0,3,0,0,66,0,0,0,34,77,48,0,331,205,0,0,0,0,38,0,0,0,0,0,0,331,0,0,0,11,0,7230,353,6,3,0,0,147,0,1045,15,0,12,0,10,2,0,277,7,0,0,0,0,3,0,0,0,93,2,0,4,0,0,0,0,0,56,0,0,0,36,182,12,17,0,0,120,0,80,58,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,174,0,0,0,3,0,0,12,0,0,89,186,669,283,0,0,0,0,0,0,66,54,0,0,2,7,249,0,1141,1708,5643,0,16,0,0,3,0,0,2,0,0,113,0,0,0,0,0,0,0,0
"SRR8301122",0,0,0,0,0,0,0,5,217,0,0,52,0,662,10,2,0,0,86,12,0,0,6,35,8,0,284,53,0,0,0,0,32,0,0,34,0,0,0,43,0,0,0,9,0,6291,171,0,0,0,75,125,0,326,64,2,0,0,4,0,0,33,4,0,0,86,0,9,0,0,0,9,0,0,0,0,20,0,0,0,345,38,13,0,30,139,11,2,41,0,68,0,28,0,0,0,4,0,3,0,7,0,0,0,0,0,0,0,0,0,0,1409,0,8,0,3,0,0,70,0,0,48,0,202,32,0,0,0,49,0,0,262,277,0,0,4,11,188,6,1183,1396,5347,0,247,0,0,2,0,0,0,0,0,255,0,0,0,0,0,0,0,0
"SRR8301312",0,0,0,7,8,0,0,3,219,0,0,52,0,203,0,85,0,0,4,15,0,0,19,32,31,0,1097,1323,11,12,0,0,176,0,0,0,0,0,0,128,0,0,5,25,0,6837,759,0,0,0,0,53,0,3436,70,0,4,2,9,10,0,265,11,0,0,5,0,0,0,0,0,12,30,0,4,0,0,0,0,0,19,14,0,0,79,450,31,19,4,0,162,0,3,28,0,0,0,0,0,0,3,0,0,0,20,0,0,0,0,0,0,232,0,0,0,0,0,0,49,0,0,62,50,678,335,18,0,0,0,0,0,61,105,0,0,2,3,238,0,1385,723,6359,0,13,3,0,23,0,0,13,0,0,171,0,0,0,0,0,0,0,0
"SRR8301501",0,0,0,0,0,0,0,0,228,0,0,27,0,627,0,27,0,0,72,6,0,0,53,33,43,0,268,152,4,0,0,0,120,0,0,24,0,0,0,100,0,0,0,7,0,4150,462,0,5,0,0,106,0,913,48,3,8,0,6,4,0,182,2,0,0,16,9,0,0,0,0,64,27,0,0,0,0,0,0,0,2,7,0,0,43,232,17,2,0,0,401,0,4,0,0,0,0,0,0,0,19,0,0,0,10,0,0,0,0,0,0,317,0,0,0,0,0,0,20,0,0,32,44,70,149,7,2,0,8,0,0,138,99,0,0,2,5,182,0,959,775,3805,0,16,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0
"SRR8298230",0,0,0,3,0,0,0,4,203,0,0,36,0,606,2,107,0,0,29,67,0,0,12,23,38,0,416,130,7,2,0,0,239,0,0,4,0,0,0,70,0,0,0,8,0,3897,172,16,0,0,2,15,0,761,149,2,0,0,6,27,0,47,2,0,0,43,66,0,0,0,0,17,27,0,0,0,11,0,0,0,59,17,0,0,14,125,12,0,15,0,179,0,22,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,17,0,0,46,10,25,12,0,0,0,0,0,0,90,96,0,7,0,2,231,2,923,1296,4318,0,53,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0
"SRR8301618",0,0,0,0,0,0,0,0,90,0,0,99,0,14,0,6,0,0,0,0,0,0,25,11,0,0,106,209,0,0,0,0,2,0,0,0,0,11,0,9,0,0,0,7,0,7808,40,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,16,0,0,0,13,0,0,2,0,18,0,0,0,0,0,0,0,16,0,26,0,10,41,3,6,28,0,19,0,44,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,3,107,26,0,0,0,0,0,0,7,31,0,0,0,0,41,7,1611,991,8059,0,71,0,0,17,0,0,10,0,0,449,0,0,0,0,0,0,0,0
"SRR8301078",0,0,0,22,15,0,0,6,120,0,7,12,54,16,0,154,0,0,13,0,0,0,5,51,24,0,113,264,0,0,0,0,9,0,0,0,0,0,0,0,2,7,0,14,0,6549,540,0,0,0,0,0,0,917,5,0,0,0,0,0,0,25,0,250,0,27,4,37,0,0,0,0,38,0,0,0,0,0,0,0,40,0,0,0,70,384,30,39,0,0,19,0,12,25,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,153,45,683,134,2,0,0,0,0,0,0,2,0,0,3,0,91,0,691,586,4594,0,55,9,3,33,0,2,0,2,108,179,0,0,0,0,0,0,0,0
"SRR8298098",0,0,0,0,0,0,0,0,28,0,0,10,0,185,0,29,0,0,0,3,0,0,5,21,2,0,186,848,0,13,0,0,76,0,0,0,0,0,0,11,0,0,0,0,0,6732,22,0,0,0,0,21,0,208,8,0,0,0,6,3,0,40,2,0,0,0,0,0,0,0,0,68,0,0,4,0,0,0,0,0,30,11,0,0,22,1869,10,2,0,0,78,0,8,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,12,37,0,0,0,0,0,9,13,35,0,0,0,0,25,0,518,221,14836,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
"SRR8298157",0,0,0,2,0,0,0,0,269,0,0,35,0,507,2,128,0,0,84,47,0,0,26,26,33,0,263,348,0,7,0,0,258,0,0,0,0,0,0,105,0,0,0,2,0,4002,122,2,0,0,0,36,0,789,100,4,0,4,8,14,0,117,3,0,0,23,3,5,0,0,0,25,14,0,0,3,4,4,0,0,39,44,18,0,76,161,16,0,12,0,72,0,10,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,623,0,0,0,0,0,0,0,0,0,31,19,17,32,0,2,0,0,0,0,87,130,0,9,0,2,318,0,1082,1222,2773,0,63,0,0,13,0,0,0,0,0,157,0,0,0,0,0,0,0,0
"SRR8301843",0,0,0,2,5,0,0,78,100,0,0,37,0,3,0,116,0,0,0,0,0,0,0,0,3,0,45,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7763,1976,0,0,0,0,0,0,330,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,720,0,7,0,36,118,10,11,16,0,29,0,3,9,0,0,0,0,0,0,0,0,0,37,31,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,86,16,296,0,0,0,0,0,0,0,3,6,0,0,5,15,8,0,388,538,6457,0,3,18,30,57,0,0,6,7,0,337,0,0,0,0,27,0,0,0
"SRR8300968",0,0,0,2,0,0,0,6,118,0,0,51,0,306,14,19,0,0,25,2,0,0,6,29,13,0,114,66,2,0,0,0,38,0,0,0,0,3,0,30,0,0,0,0,0,5096,60,8,0,0,7,70,0,791,30,0,0,0,0,0,0,54,0,0,0,37,0,0,0,0,0,4,100,0,0,0,4,0,0,0,48,0,42,0,95,52,4,21,4,0,64,0,12,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,263,0,2,0,0,0,0,10,0,0,75,29,138,13,0,0,0,6,0,0,98,53,0,0,0,7,136,7,727,1131,7041,0,105,2,0,9,0,0,0,0,0,264,0,0,0,0,0,0,0,0
"SRR8298187",0,0,0,4,0,0,0,0,16,0,0,33,0,28,0,62,0,0,0,0,0,0,0,23,0,0,18,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10417,251,0,2,0,0,4,0,164,0,0,0,0,0,0,0,0,0,10,0,12,0,73,0,0,0,42,0,0,0,0,0,0,0,0,239,0,7,0,64,67,9,39,29,0,68,0,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,641,0,796,35,0,0,0,0,0,0,0,3,0,0,0,0,46,0,1476,2258,6350,0,229,0,0,5,0,0,3,0,0,152,0,0,0,0,0,0,0,0
"SRR8298078",0,0,2,9,0,0,0,0,148,0,0,76,0,191,9,49,0,0,0,0,0,0,9,12,0,0,30,42,0,0,0,0,4,0,0,0,0,0,0,40,0,0,0,77,0,8719,1004,0,0,0,0,7,0,481,19,0,0,0,0,0,0,25,0,0,0,57,0,28,0,0,0,25,169,0,0,0,6,0,0,0,101,57,27,0,49,148,0,53,45,0,12,0,21,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,0,2,0,4,0,0,4,0,0,218,12,218,55,0,3,0,14,0,2,25,39,0,0,0,0,265,2,393,898,7769,0,80,0,0,25,0,0,4,0,0,361,0,0,0,0,0,0,0,0
"SRR8301113",0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2446,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,274,0,3,0,9,11,4,2,54,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,1282,58,6533,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
"SRR8301283",0,0,0,47,0,0,0,2,271,0,0,0,3,473,0,10,0,0,7,75,0,0,14,90,173,0,1799,2660,17,2,0,0,516,2,0,4,0,0,0,115,0,0,0,0,0,974,143,0,0,0,0,0,0,1042,138,0,7,2,31,32,0,43,19,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,208,600,36,0,7,0,78,0,2,337,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,229,0,6,325,0,0,0,0,0,11,5,46,0,2,0,3,242,0,796,374,3814,0,0,0,0,0,0,0,3,0,0,150,0,0,0,0,0,0,0,0
"SRR8301132",0,0,0,2,0,0,0,38,602,0,0,124,0,806,23,11,2,0,148,24,0,0,24,51,34,0,557,103,0,0,0,0,65,0,0,59,0,0,0,126,0,0,0,22,0,8713,129,0,0,0,208,150,0,730,136,6,0,0,13,9,0,59,0,0,0,86,0,28,0,0,0,20,9,0,0,0,8,8,0,0,472,41,16,0,36,201,14,8,57,0,132,0,24,2,0,0,7,0,4,0,10,0,0,0,0,0,2,0,0,0,0,1790,0,8,0,10,0,0,100,0,0,52,10,261,60,0,2,0,28,0,0,267,351,0,0,4,8,345,8,1922,2085,8133,0,95,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,0
"SRR8298236",0,0,0,0,3,0,0,0,12,0,0,32,0,4,0,29,0,0,0,0,0,0,0,3,0,0,49,293,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,8272,274,0,0,0,0,5,2,310,4,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,28,0,0,0,11,79,10,0,2,0,32,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,49,0,85,133,0,0,0,0,0,0,0,0,0,0,0,0,87,0,795,237,4094,0,0,0,0,0,0,0,2,0,0,196,0,0,0,0,0,0,0,0
"SRR8298112",0,0,0,2,0,0,0,4,97,0,0,24,0,210,6,6,0,0,44,2,0,0,15,3,2,0,178,158,0,0,0,0,25,0,0,0,0,2,0,40,0,0,0,0,0,6646,488,20,0,0,0,113,0,430,31,0,0,0,0,0,0,38,0,0,0,43,208,0,0,0,0,2,34,0,0,0,0,0,0,0,117,0,8,0,30,117,7,12,6,0,67,0,27,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,199,0,0,0,2,0,0,0,0,0,28,7,82,4,0,5,0,0,0,0,64,39,0,0,0,0,133,0,1060,3486,5464,0,40,0,0,3,0,0,0,0,0,249,0,0,0,0,0,0,0,0
"SRR8298217",0,0,0,2,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,70,430,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,2,0,4954,29,0,0,0,0,16,0,52,18,0,0,0,0,0,0,0,0,37,5,0,0,5,0,0,0,42,0,0,0,0,0,0,0,0,78,0,0,0,22,60,6,7,85,0,3,0,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,1297,603,15902,0,3,0,0,2,0,0,5,0,0,300,0,0,0,0,0,0,0,0
"SRR8301459",0,0,0,9,9,0,0,0,218,0,0,40,0,208,0,78,0,0,22,21,0,0,16,20,37,0,293,154,3,0,0,0,31,0,0,0,0,0,0,46,0,0,0,11,3,6193,78,4,0,0,0,116,0,947,13,0,0,0,5,0,0,117,9,0,0,15,0,0,0,0,0,22,19,0,0,0,0,0,0,0,31,12,2,0,24,275,16,10,4,0,39,0,17,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,203,0,0,0,0,0,0,7,0,0,197,64,90,149,0,2,0,0,0,0,14,8,0,0,0,0,216,0,1180,1588,4254,0,73,0,0,5,0,0,3,0,0,125,0,0,0,0,0,0,0,0
"SRR8301021",0,0,0,8,3,0,0,2,457,0,0,43,0,312,0,17,0,0,53,28,0,0,20,37,74,0,615,193,7,13,0,0,224,0,0,2,0,0,0,250,0,0,0,4,0,5009,265,0,0,2,4,146,0,1106,49,3,0,3,3,4,0,267,6,0,0,7,0,0,0,0,0,106,70,0,0,0,2,2,0,10,6,29,0,0,56,366,24,7,0,0,125,0,8,20,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,0,0,106,0,0,0,0,0,0,12,0,0,15,31,52,277,0,0,0,14,0,0,130,121,0,0,2,12,254,0,1190,821,3579,0,11,0,0,7,0,0,4,0,0,66,0,0,0,0,0,0,0,0
"SRR8301144",0,0,3,12,9,0,0,0,612,0,0,134,0,621,0,100,0,0,437,16,0,0,145,203,454,0,3803,739,38,0,0,0,207,0,0,20,0,45,12,490,0,0,0,8,0,12469,498,0,3,0,0,70,0,2927,143,10,17,18,85,66,0,1245,39,0,0,4,0,2,0,0,0,99,0,0,6,0,26,0,0,0,14,7,0,0,133,776,76,4,0,0,718,0,28,53,0,0,0,0,0,0,8,0,0,0,27,0,0,0,0,0,0,1725,0,0,0,4,0,0,37,0,0,11,32,27,118,0,0,0,0,0,0,303,189,0,0,0,3,1138,0,3817,1617,13953,0,15,0,0,0,0,0,6,0,0,209,0,0,0,0,216,0,0,0
"SRR8301129",0,0,0,2,0,0,0,9,98,0,0,99,6,163,0,297,0,0,22,4,0,0,3,12,4,0,34,230,0,0,0,0,22,0,0,0,0,0,0,4,0,0,0,19,0,3490,257,0,0,0,0,20,0,585,4,0,0,0,0,0,0,26,0,6,0,25,0,29,0,0,0,0,20,0,0,0,2,0,0,0,93,14,18,0,15,53,2,5,49,0,64,0,2,18,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,436,0,2,0,0,0,0,0,0,0,117,0,195,233,0,0,0,0,0,0,25,64,2,0,0,5,47,0,450,830,4735,0,47,0,0,13,0,0,4,0,5,235,0,0,0,0,0,0,0,0
"SRR8301774",0,0,0,0,0,0,0,0,172,0,0,45,0,255,0,15,0,0,28,0,0,0,4,27,2,0,82,276,0,0,0,0,62,0,0,0,0,2,0,5,0,0,0,8,0,3642,151,0,0,0,0,19,0,269,243,0,0,0,0,4,0,11,0,0,0,51,0,0,0,0,0,3,20,0,11,0,19,0,0,0,70,0,9,0,6,22,4,0,8,0,98,0,3,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,20,0,0,5,0,136,2,0,9,0,6,0,0,159,82,0,0,0,0,125,0,1174,3769,3872,0,44,0,0,6,0,0,0,0,0,240,0,0,0,0,0,0,0,0
"SRR8301495",0,0,0,0,2,0,0,0,9,0,0,15,0,11,0,10,0,0,15,0,0,0,7,24,0,0,121,640,0,0,0,0,131,0,0,0,0,0,0,13,0,0,0,10,0,1417,370,0,0,0,0,5,0,206,25,0,0,0,38,18,0,7,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,19,160,9,0,0,0,1104,0,4,26,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,2,0,0,35,0,0,4,0,0,0,2,0,0,77,184,0,0,0,6,246,0,889,570,8891,0,13,0,0,31,0,0,0,2,0,123,0,0,0,0,0,0,0,0
"SRR8301031",0,0,0,3,0,0,0,0,154,0,0,72,0,123,0,1179,0,0,9,0,0,0,24,11,4,0,232,1203,3,0,0,0,96,0,0,0,0,0,0,12,0,0,0,14,0,9546,817,0,0,2,0,59,0,388,303,0,0,0,0,2,0,14,0,0,0,12,0,2,0,0,78,46,217,0,0,0,45,0,0,0,155,0,132,0,360,116,11,10,21,0,127,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,84,0,264,2,0,0,0,0,0,0,18,62,0,0,0,0,93,0,2326,3178,9360,0,48,0,0,0,0,0,0,0,0,478,0,0,0,0,0,0,0,0
"SRR8301035",0,0,0,17,7,0,0,0,38,0,0,78,0,27,0,809,0,0,39,0,0,0,16,20,0,0,358,224,2,0,0,0,32,0,0,0,0,0,0,2,0,0,0,2,0,10557,42,0,0,0,0,22,0,299,14,0,0,0,0,0,0,0,0,0,0,32,0,4,0,0,0,6,0,2,0,0,8,0,0,0,80,0,2,0,186,202,9,23,31,0,290,0,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,105,2,31,21,0,0,0,6,0,0,70,93,0,0,0,0,110,9,1317,2863,10926,0,21,0,0,0,0,0,0,0,0,497,0,0,0,0,0,0,0,0
"SRR8301528",0,0,0,0,0,0,0,0,43,0,0,10,0,3,0,16,0,0,0,0,0,0,0,9,0,0,26,85,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,4424,0,0,0,0,0,57,0,45,0,0,0,0,0,0,0,0,0,0,0,89,0,2,0,0,0,25,0,0,3,0,0,0,0,0,597,0,0,0,17,32,0,0,78,0,42,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,22,0,0,0,0,0,0,0,16,37,0,0,0,0,11,0,530,1413,5434,0,322,0,0,5,0,0,0,0,0,187,0,0,0,0,0,0,0,0
"SRR8301361",0,0,0,0,0,0,0,4,180,0,0,27,0,68,0,40,0,0,12,0,0,0,4,18,2,0,70,49,2,0,0,0,6,0,0,2,0,0,0,9,0,0,0,14,0,4282,922,20,0,4,0,7,0,390,0,0,0,0,0,0,0,22,0,0,0,64,0,15,0,0,0,172,49,0,0,0,0,0,0,0,107,0,2,0,19,66,3,6,4,0,46,0,6,3,0,16,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,44,0,11,0,0,0,0,31,0,0,116,4,484,8,2,0,0,0,0,0,13,37,0,0,0,7,40,2,309,794,5698,0,46,2,0,20,0,0,0,0,0,292,0,0,0,0,0,0,0,0
"SRR8301181",0,0,0,8,0,0,0,0,156,0,0,21,0,20,0,3,0,0,4,0,0,0,3,115,15,0,459,366,0,0,0,0,59,0,0,0,0,0,0,16,0,0,0,0,0,5154,0,0,0,0,0,59,0,228,4,0,0,0,2,0,0,0,0,0,0,62,0,2,0,0,0,3,6,0,2,0,4,0,0,0,28,0,0,0,42,339,30,15,26,0,261,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,8,0,0,56,0,5,63,0,0,0,0,0,0,20,43,0,0,0,0,74,0,1384,876,8897,0,43,0,0,0,0,0,0,2,0,146,0,0,0,0,0,0,0,0
"SRR8301109",0,0,0,0,0,0,0,0,123,0,0,2,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2637,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,140,0,4,0,2,4,7,0,40,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,1400,70,6465,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0
"SRR8301720",0,0,0,0,0,0,0,0,57,0,0,31,0,126,0,9,0,0,3,2,0,0,2,16,5,0,154,164,0,0,0,0,94,0,0,0,0,15,0,8,0,0,0,7,0,2406,157,44,59,0,0,55,0,274,15,0,0,0,0,5,0,18,0,0,0,48,14,0,0,0,0,0,0,0,0,0,5,0,0,0,48,0,0,0,2,46,6,0,0,0,88,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,30,0,31,11,0,0,0,4,0,0,88,76,0,0,0,0,100,0,1479,3631,4470,0,83,0,0,2,0,0,0,0,0,247,0,0,0,0,0,0,0,0
"SRR8301110",0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2573,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0,0,0,11,20,7,6,102,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,1430,90,6753,0,0,0,0,2,0,0,0,0,0,45,0,0,0,0,0,0,0,0
"SRR8301729",0,0,0,0,0,0,0,3,107,0,0,65,0,377,2,23,0,0,6,0,0,0,34,15,20,0,46,873,0,0,0,0,9,0,0,0,0,0,0,16,0,0,0,6,0,4121,88,0,0,0,0,35,0,212,720,0,0,0,3,0,0,2,3,0,0,29,0,0,0,0,3,4,2,0,3,0,13,0,0,0,11,0,6,0,152,20,3,0,2,0,281,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,9,0,0,22,0,35,6,0,7,0,4,0,0,197,49,0,0,0,0,120,0,1808,2245,4208,0,90,0,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0
"SRR8301678",0,0,0,0,0,0,0,0,77,0,0,16,0,235,0,2,0,0,12,0,0,0,0,11,0,0,48,182,0,0,0,0,15,0,0,33,0,0,0,31,0,0,0,7,0,4186,194,0,0,0,0,4,0,486,46,0,0,0,0,0,0,17,0,0,0,53,0,0,0,0,0,0,21,0,0,0,0,0,0,0,74,45,124,0,23,41,3,4,16,0,27,0,13,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,156,0,0,0,2,10,0,15,0,0,50,6,34,77,0,0,0,2,0,0,23,73,0,0,0,0,72,7,829,897,4096,0,52,0,0,0,0,0,0,0,0,147,0,0,0,0,3,0,0,0
"SRR8301690",7,0,0,0,0,0,0,0,182,0,0,39,0,174,0,171,0,0,10,0,0,0,8,94,37,0,264,202,4,0,0,0,27,0,0,0,0,0,0,24,0,0,0,19,0,2582,302,0,0,0,0,9,0,575,3,0,0,0,0,0,0,7,0,0,0,99,8,4,0,0,0,30,4,0,0,2,0,0,0,0,136,0,0,0,16,173,11,5,15,0,292,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,21,0,0,0,0,0,43,0,73,23,0,8,0,0,0,0,241,138,0,0,0,0,97,0,1062,1339,9811,0,47,0,0,5,0,0,0,0,0,234,0,0,0,0,0,0,0,0
"SRR8301145",0,0,2,9,8,0,0,0,354,0,0,74,0,297,0,49,0,0,330,7,0,0,82,117,186,0,1591,375,24,0,0,0,75,0,0,21,0,20,2,197,0,0,0,12,0,5932,225,0,2,0,0,43,0,1669,50,6,14,9,34,23,0,653,19,0,0,2,0,0,0,0,0,108,0,0,4,0,25,0,0,0,7,2,0,0,103,444,27,0,0,0,332,0,30,39,0,0,0,0,0,0,6,0,0,0,19,0,0,0,0,0,0,754,0,0,0,8,0,0,17,0,0,9,28,21,67,0,0,0,0,0,0,149,85,0,0,0,3,608,0,2146,1182,6597,0,20,0,0,0,0,0,3,2,0,103,0,0,0,0,121,0,0,0
